species,Tree,date,sampling_period,burn_status,R25_stem,Q10,Photosynthesis (umol m-2 s-1),PARi (umol m-2 s-1),Stomatal conductance (mol m-2 s-1),Ci (umol mol-1),Transpiration (mmol m-2 s-1),position,leaf respiraton at 30degC,sapwood cross sectional area (cm2),leaf fresh weight (g),dry weight to fresh weight ratio,leaf dry weight (kg),SW area per leaf dry mass (cm2 kg-1),specific leaf area (m2 kg-1),SW area per leaf area (cm2 m-2),diameter,diameter under bark,bark_thickness,context
Corymbia bleeseri,EB1,6/21/2004,June,unburnt,1.18,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Corymbia bleeseri,EB2,6/21/2004,June,unburnt,1.05,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Corymbia bleeseri,EB3,6/21/2004,June,unburnt,1.7,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Corymbia bleeseri,EB4,6/21/2004,June,unburnt,1.95,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Corymbia bleeseri,EB5,6/21/2004,June,unburnt,2.85,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Corymbia bleeseri,EB6,6/21/2004,June,unburnt,1.26,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Eucalyptus miniata,EM1,6/21/2004,June,unburnt,0.51,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Eucalyptus miniata,EM2,6/21/2004,June,unburnt,0.9,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Eucalyptus miniata,EM3,6/21/2004,June,unburnt,1.37,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Eucalyptus miniata,EM4,6/21/2004,June,unburnt,1,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Eucalyptus miniata,EM5,6/21/2004,June,unburnt,0.84,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Eucalyptus miniata,EM6,6/21/2004,June,unburnt,0.73,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Eucalyptus tetrodonta,ET1,6/21/2004,June,unburnt,0.87,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Eucalyptus tetrodonta,ET2,6/21/2004,June,unburnt,2.55,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Eucalyptus tetrodonta,ET3,6/21/2004,June,unburnt,2.23,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Eucalyptus tetrodonta,ET4,6/21/2004,June,unburnt,1.01,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Eucalyptus tetrodonta,ET5,6/21/2004,June,unburnt,0.92,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Eucalyptus tetrodonta,ET6,6/21/2004,June,unburnt,0.88,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in June
Corymbia bleeseri,EB1,7/15/2004,July,unburnt,1.17,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Corymbia bleeseri,EB2,7/15/2004,July,unburnt,0.79,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Corymbia bleeseri,EB3,7/15/2004,July,unburnt,1.08,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Corymbia bleeseri,EB4,7/15/2004,July,unburnt,1.1,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Corymbia bleeseri,EB5,7/15/2004,July,unburnt,1.11,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
