site_name,trait_name,unit,value,notes
Kakadu fireplot 15,longitude,deg,NA,
Kakadu fireplot 15,latitude,deg,NA,
Kakadu fireplot 15,soil_total_C,NA,1.66,
Kakadu fireplot 15,soil_total_N,NA,0.051964,
Kakadu fireplot 15,soil_C:N,NA,31.94519283,
Kakadu fireplot 15,soil_total_P,NA,80.9713175,
Kakadu fireplot 33,longitude,deg,NA,
Kakadu fireplot 33,latitude,deg,NA,
Kakadu fireplot 33,soil_total_C,NA,0.7359,
Kakadu fireplot 33,soil_total_N,NA,0.029337,
Kakadu fireplot 33,soil_C:N,NA,25.08436445,
Kakadu fireplot 33,soil_total_P,NA,84.16936354,
Kakadu fireplot 37,longitude,deg,NA,
Kakadu fireplot 37,latitude,deg,NA,
Kakadu fireplot 37,soil_total_C,NA,0.5837,
Kakadu fireplot 37,soil_total_N,NA,0.027368,
Kakadu fireplot 37,soil_C:N,NA,21.32782812,
Kakadu fireplot 37,soil_total_P,NA,38.59029728,
Kakadu fireplot 41,longitude,deg,NA,
Kakadu fireplot 41,latitude,deg,NA,
Kakadu fireplot 41,soil_total_C,NA,1.381,
Kakadu fireplot 41,soil_total_N,NA,0.068519,
Kakadu fireplot 41,soil_C:N,NA,20.15499351,
Kakadu fireplot 41,soil_total_P,NA,77.86034133,
Western Arnhem Land WALFA plot 31,longitude,deg,NA,
Western Arnhem Land WALFA plot 31,latitude,deg,NA,
Western Arnhem Land WALFA plot 32,longitude,deg,NA,
Western Arnhem Land WALFA plot 32,latitude,deg,NA,
Western Arnhem Land WALFA plot 32,soil_total_C,NA,0.2686,
Western Arnhem Land WALFA plot 32,soil_total_N,NA,0.00737,
Western Arnhem Land WALFA plot 32,soil_C:N,NA,36.44504749,
Western Arnhem Land WALFA plot 32,soil_total_P,NA,10.25633453,
Western Arnhem Land WALFA plot 33,longitude,deg,NA,
Western Arnhem Land WALFA plot 33,latitude,deg,NA,
Western Arnhem Land WALFA plot 33,soil_total_C,NA,0.7359,
Western Arnhem Land WALFA plot 33,soil_total_N,NA,0.029337,
Western Arnhem Land WALFA plot 33,soil_C:N,NA,25.08436445,
Western Arnhem Land WALFA plot 33,soil_total_P,NA,84.16936354,
Western Arnhem Land WALFA plot 58,longitude,deg,NA,
Western Arnhem Land WALFA plot 58,latitude,deg,NA,
Western Arnhem Land WALFA plot 59,longitude,deg,NA,
Western Arnhem Land WALFA plot 59,latitude,deg,NA,
Western Arnhem Land WALFA plot 70,longitude,deg,NA,
Western Arnhem Land WALFA plot 70,latitude,deg,NA,
Western Arnhem Land WALFA plot 70,soil_total_C,NA,0.6702,
Western Arnhem Land WALFA plot 70,soil_total_N,NA,0.020372,
Western Arnhem Land WALFA plot 70,soil_C:N,NA,32.89809543,
Western Arnhem Land WALFA plot 70,soil_total_P,NA,28.16073542,
Western Arnhem Land WALFA plot 71,longitude,deg,NA,
Western Arnhem Land WALFA plot 71,latitude,deg,NA,
Western Arnhem Land WALFA plot 72,longitude,deg,NA,
Western Arnhem Land WALFA plot 72,latitude,deg,NA,
Western Arnhem Land WALFA plot 72,soil_total_C,NA,1.345,
Western Arnhem Land WALFA plot 72,soil_total_N,NA,0.049291,
Western Arnhem Land WALFA plot 72,soil_C:N,NA,27.28692865,
Western Arnhem Land WALFA plot 72,soil_total_P,NA,50.15677547,
Western Arnhem Land WALFA plot 73,longitude,deg,NA,
Western Arnhem Land WALFA plot 73,latitude,deg,NA,
