"site_name","trait_name","unit","value"
"Kakadu fireplot 15","soil C (0-10cm)",NA,"1.66"
"Kakadu fireplot 33","soil C (0-10cm)",NA,"0.7359"
"Kakadu fireplot 37","soil C (0-10cm)",NA,"0.5837"
"Kakadu fireplot 41","soil C (0-10cm)",NA,"1.381"
"Western Arnhem Land WALFA plot 31","soil C (0-10cm)",NA,NA
"Western Arnhem Land WALFA plot 32","soil C (0-10cm)",NA,"0.2686"
"Western Arnhem Land WALFA plot 33","soil C (0-10cm)",NA,"0.7359"
"Western Arnhem Land WALFA plot 58","soil C (0-10cm)",NA,NA
"Western Arnhem Land WALFA plot 59","soil C (0-10cm)",NA,NA
"Western Arnhem Land WALFA plot 70","soil C (0-10cm)",NA,"0.6702"
"Western Arnhem Land WALFA plot 71","soil C (0-10cm)",NA,NA
"Western Arnhem Land WALFA plot 72","soil C (0-10cm)",NA,"1.345"
"Western Arnhem Land WALFA plot 73","soil C (0-10cm)",NA,NA
"Kakadu fireplot 15","soil N (0-10cm)",NA,"0.051964"
"Kakadu fireplot 33","soil N (0-10cm)",NA,"0.029337"
"Kakadu fireplot 37","soil N (0-10cm)",NA,"0.027368"
"Kakadu fireplot 41","soil N (0-10cm)",NA,"0.068519"
"Western Arnhem Land WALFA plot 31","soil N (0-10cm)",NA,NA
"Western Arnhem Land WALFA plot 32","soil N (0-10cm)",NA,"0.00737"
"Western Arnhem Land WALFA plot 33","soil N (0-10cm)",NA,"0.029337"
"Western Arnhem Land WALFA plot 58","soil N (0-10cm)",NA,NA
"Western Arnhem Land WALFA plot 59","soil N (0-10cm)",NA,NA
"Western Arnhem Land WALFA plot 70","soil N (0-10cm)",NA,"0.020372"
"Western Arnhem Land WALFA plot 71","soil N (0-10cm)",NA,NA
"Western Arnhem Land WALFA plot 72","soil N (0-10cm)",NA,"0.049291"
"Western Arnhem Land WALFA plot 73","soil N (0-10cm)",NA,NA
"Kakadu fireplot 15","soil C:N",NA,"31.94519283"
"Kakadu fireplot 33","soil C:N",NA,"25.08436445"
"Kakadu fireplot 37","soil C:N",NA,"21.32782812"
"Kakadu fireplot 41","soil C:N",NA,"20.15499351"
"Western Arnhem Land WALFA plot 31","soil C:N",NA,NA
"Western Arnhem Land WALFA plot 32","soil C:N",NA,"36.44504749"
"Western Arnhem Land WALFA plot 33","soil C:N",NA,"25.08436445"
"Western Arnhem Land WALFA plot 58","soil C:N",NA,NA
"Western Arnhem Land WALFA plot 59","soil C:N",NA,NA
"Western Arnhem Land WALFA plot 70","soil C:N",NA,"32.89809543"
"Western Arnhem Land WALFA plot 71","soil C:N",NA,NA
"Western Arnhem Land WALFA plot 72","soil C:N",NA,"27.28692865"
"Western Arnhem Land WALFA plot 73","soil C:N",NA,NA
"Kakadu fireplot 15","soil P (0-10cm)",NA,"80.9713175"
"Kakadu fireplot 33","soil P (0-10cm)",NA,"84.16936354"
"Kakadu fireplot 37","soil P (0-10cm)",NA,"38.59029728"
"Kakadu fireplot 41","soil P (0-10cm)",NA,"77.86034133"
"Western Arnhem Land WALFA plot 31","soil P (0-10cm)",NA,NA
"Western Arnhem Land WALFA plot 32","soil P (0-10cm)",NA,"10.25633453"
"Western Arnhem Land WALFA plot 33","soil P (0-10cm)",NA,"84.16936354"
"Western Arnhem Land WALFA plot 58","soil P (0-10cm)",NA,NA
"Western Arnhem Land WALFA plot 59","soil P (0-10cm)",NA,NA
"Western Arnhem Land WALFA plot 70","soil P (0-10cm)",NA,"28.16073542"
"Western Arnhem Land WALFA plot 71","soil P (0-10cm)",NA,NA
"Western Arnhem Land WALFA plot 72","soil P (0-10cm)",NA,"50.15677547"
"Western Arnhem Land WALFA plot 73","soil P (0-10cm)",NA,NA
