var_name,character,unit
"TRAIT: Growth Form CATEGORICAL: EP epiphyte (mistletoe)
F fern
G grass
H herb
S shrub
T tree
V vine",growth form,
TRAIT: SLA UNITS: mm2/g,specific leaf area,mm2/g
TRAIT: Leaf Size UNITS: mm2,leaf area,mm2
TRAIT: Leaf Dry Mass UNITS: g,leaf dry mass,g
TRAIT: LeafWidth UNITS: mm,leaf width,mm
TRAIT: Height UNITS: m,plant height,m
