var_name,trait_name,unit
leaf N (microg g^-1),leaf_N_per_dry_mass,mg/g
d15N (permil Air),leaf_delta15N,per mille
d13C (permil VPDB),leaf_delta13C,per mille
leaf C (%),leaf_C_per_dry_mass,%
leaf P (microg g^-1),leaf_P_per_dry_mass,ug/g
