species,leaf N (microg g^-1),d15N (permil Air),d13C (permil VPDB),leaf C (%),leaf P (microg g^-1),site
Banksia menziesii ,7982.9738,-1.356125875,-28.40489695,50.74581015,272.8740952,Jurien Bay
Banksia menziesii ,8262.81126,-3.236925079,-29.05651548,49.93521437,259.3486952,Jurien Bay
Banksia menziesii ,9450.48653,0.318095188,-27.47057823,48.75193385,256.5663952,Jurien Bay
Banksia menziesii ,7574.9523,1.376851515,-26.23529737,49.79192005,229.4493952,Jurien Bay
Banksia menziesii ,6776.80538,-0.668531016,-26.86089235,51.11019829,241.6446952,Jurien Bay
Banksia menziesii ,7617.87804,1.038691352,-27.06803672,50.11542399,211.2533952,Jurien Bay
Banksia menziesii ,7610.14253,1.219648923,-27.04897157,50.09789407,206.4798952,Jurien Bay
Banksia menziesii ,6837.69056,-1.28774657,-27.25876381,48.56170502,255.0853952,Jurien Bay
Banksia menziesii ,6472.92351,-1.478093865,-26.72810504,49.07155476,252.8324952,Jurien Bay
Jacksonia floribunda ,12981.90138,-0.518983474,-28.43904766,47.8874755,274.2110952,Jurien Bay
Jacksonia floribunda ,14922.11921,-1.209164987,-28.99626681,48.23728635,348.4509952,Jurien Bay
Jacksonia floribunda ,13312.0533,1.295903235,-26.76089868,48.34771655,224.4974952,Jurien Bay
Jacksonia floribunda ,13928.63128,0.898762252,-27.61590352,47.82496334,256.3770952,Jurien Bay
Jacksonia floribunda ,14823.06512,0.830300761,-27.43666448,48.25503544,266.7964952,Jurien Bay
Jacksonia floribunda ,14523.62788,0.744058565,-27.2700098,48.5642231,255.3302952,Jurien Bay
Jacksonia floribunda ,15032.50155,0.765239903,-26.84919232,48.08558942,345.6238952,Jurien Bay
Jacksonia floribunda ,14633.77876,-0.922594793,-27.0468402,48.36610858,258.7631952,Jurien Bay
Jacksonia floribunda ,13586.68876,-0.328589992,-28.08603688,48.26225936,207.5675952,Jurien Bay
Hardenbergia comptoniana ,28399.53802,-0.479805436,-27.73822693,49.22028711,2235.385795,Jurien Bay
Hardenbergia comptoniana ,17422.08699,-0.888268571,-27.1703168,47.47697246,842.1774952,Jurien Bay
Hardenbergia comptoniana ,18461.7293,-1.781278901,-27.73453606,41.40167513,770.3729952,Jurien Bay
Hardenbergia comptoniana ,20632.2058,-1.852051779,-25.35423014,46.34919893,988.5601952,Jurien Bay
Hardenbergia comptoniana ,18349.67353,-1.32769698,-28.16554847,46.5307553,656.9605952,Jurien Bay
Banksia attenuata ,8417.89155,-1.138144077,-28.21420688,48.73329572,276.2508952,Jurien Bay
Banksia attenuata ,5724.71665,-0.137991928,-28.70444173,48.68854437,230.7584952,Jurien Bay
Banksia attenuata ,5229.72506,-0.411225438,-28.57788254,47.56904025,157.3195952,Jurien Bay
Banksia attenuata ,8118.19289,-0.253914709,-27.30295376,48.25504828,217.0181952,Jurien Bay
Banksia attenuata ,7228.32206,0.051036324,-27.77930337,48.91928999,206.7526952,Jurien Bay
Banksia attenuata ,7618.77061,0.115309005,-27.2531426,48.66497371,182.0516952,Jurien Bay
Banksia attenuata ,6387.96837,0.223975129,-27.18967373,48.59695911,196.7459952,Jurien Bay
Banksia attenuata ,5463.49536,-1.184673383,-27.31826689,48.16700868,217.4827952,Jurien Bay
Banksia attenuata ,5890.57364,-0.44099902,-26.66274391,48.59098713,257.9191952,Jurien Bay
Acacia rostellifera ,16303.90062,1.493185819,-29.36718717,45.50437479,530.5124952,Jurien Bay
Acacia rostellifera ,17594.33491,-1.090109329,-29.93465164,44.18436706,879.0426952,Jurien Bay
Acacia rostellifera ,18937.18889,0.871285412,-29.78739027,41.94700881,590.1684952,Jurien Bay
Acacia rostellifera ,15767.9012,-0.849814188,-28.2282574,45.33948277,1179.933495,Jurien Bay
Acacia rostellifera ,17628.78438,-0.847204172,-27.86716861,45.26736779,885.8784952,Jurien Bay
Acacia rostellifera ,19932.50581,2.613755014,-27.18527254,44.67621246,802.9646952,Jurien Bay
Acacia rostellifera ,15124.72308,-1.078409604,-28.69848353,42.40794254,463.7391952,Jurien Bay
Acacia rostellifera ,17062.56492,0.604579492,-26.80042223,41.40075125,814.0240952,Jurien Bay
Acacia rostellifera ,17344.57075,0.792394889,-29.46053189,42.47981719,782.4630952,Jurien Bay
Acacia rostellifera ,14019.5581,1.270424727,-28.17286188,42.33519297,516.3433952,Jurien Bay
Acacia rostellifera ,14056.39588,0.495112518,-30.29337952,41.56490229,542.9725952,Jurien Bay
Acacia rostellifera ,18497.25226,1.026166593,-28.31269231,43.80430218,817.5502952,Jurien Bay
Acacia rostellifera ,15483.88391,2.200589004,-28.86912415,45.10003537,596.9333952,Jurien Bay
Acacia rostellifera ,16779.57878,0.664775287,-27.15239685,42.28303684,1027.203295,Jurien Bay
Acacia rostellifera ,18885.23583,1.221071926,-28.48298858,42.4970041,1168.778095,Jurien Bay
Acacia rostellifera ,16295.69326,-0.285600178,-28.28029424,44.77080001,729.7506952,Jurien Bay
Acacia rostellifera ,19456.28541,-1.627587408,-29.08916934,45.20415581,1024.284595,Jurien Bay
Acacia rostellifera ,12995.78107,-1.673283883,-28.48424107,48.93916102,970.2689952,Jurien Bay
Acacia rostellifera ,22444.6287,-0.299254846,-29.37321422,43.75238815,1166.174095,Jurien Bay
Acacia rostellifera ,15280.17223,0.546511691,-27.05184596,46.45561997,914.3798952,Jurien Bay
Acacia rostellifera ,15346.0441,-0.772572902,-27.44692072,47.73775693,955.2616952,Jurien Bay
Acacia rostellifera ,16054.13611,-1.246065929,-30.3584767,45.52511868,706.2855952,Jurien Bay
Acacia rostellifera ,18854.17879,-1.192068282,-28.51390405,44.4106406,661.4754952,Jurien Bay
Acacia rostellifera ,15083.4268,0.695674961,-28.97965683,44.2839514,1740.341595,Jurien Bay
Acacia rostellifera ,16700.8813,-1.590892437,-27.28217657,48.79433262,2823.451695,Jurien Bay
Acacia rostellifera ,17910.97845,-0.371246175,-28.88748133,44.63710834,1078.845695,Jurien Bay
Acacia rostellifera ,13799.87592,-0.547723522,-29.34364263,43.71666522,380.0765952,Jurien Bay
Acacia rostellifera ,17676.85231,-0.976293996,-28.39604805,44.23640171,401.1809952,Jurien Bay
Acacia rostellifera ,14105.17316,-1.631795463,-29.40109576,42.760076,627.7504952,Jurien Bay
Acacia rostellifera ,17157.11458,-0.784868385,-29.3335754,44.05323716,511.8679952,Jurien Bay
Acacia rostellifera ,17289.01179,1.224552529,-28.08288108,44.57668128,614.4814952,Jurien Bay
Hibbertia hypericoides ,10614.69319,-0.529568384,-29.27831946,44.35455696,329.9310952,Jurien Bay
Hibbertia hypericoides ,9593.67942,-0.506176262,-27.65696733,45.01540031,233.2881952,Jurien Bay
Hibbertia hypericoides ,10201.87117,0.920198288,-28.7213624,44.35894251,243.8843952,Jurien Bay
Hibbertia hypericoides ,9978.0689,0.510589829,-30.1843549,44.57564547,259.3535952,Jurien Bay
Hibbertia hypericoides ,9727.2634,1.45269619,-29.16289387,45.49165193,250.7982952,Jurien Bay
Hibbertia hypericoides ,11243.42884,-1.088724274,-28.83490297,44.16306378,221.2759952,Jurien Bay
Hibbertia hypericoides ,11360.34126,1.569000468,-27.70967137,46.66357491,247.7218952,Jurien Bay
Hibbertia hypericoides ,8106.11519,0.472609992,-28.0561601,43.32706604,222.7395952,Jurien Bay
Hibbertia hypericoides ,9107.05853,-1.426819973,-28.7705348,44.58937911,201.0079952,Jurien Bay
Hibbertia hypericoides ,8830.09739,-1.066225119,-28.89764581,44.72213593,361.8814952,Jurien Bay
Hibbertia hypericoides ,8564.00028,-1.232327773,-27.70469582,44.33989768,300.5661952,Jurien Bay
Hibbertia hypericoides ,8133.76753,-2.329699948,-30.26835649,43.32226736,299.9477952,Jurien Bay
Hibbertia hypericoides ,9452.82457,-2.60760506,-27.93064301,44.60419269,367.3427952,Jurien Bay
Hibbertia hypericoides ,10649.64595,-0.664665093,-28.29080153,44.93709625,333.3627952,Jurien Bay
Hibbertia hypericoides ,9413.49797,-0.834623624,-28.60900918,43.83914505,362.5838952,Jurien Bay
Hibbertia hypericoides ,9146.0593,0.644043822,-28.77693259,45.93514576,347.9163952,Jurien Bay
Hibbertia hypericoides ,9881.87328,-0.499685272,-27.79156219,45.77606567,317.5466952,Jurien Bay
Conostylis candicans subsp. calcicola,10377.13527,-0.271847402,-28.88798852,44.8895017,584.2012952,Jurien Bay
Conostylis candicans subsp. calcicola,8777.73402,0.270928915,-27.52262126,46.02217675,321.8200952,Jurien Bay
Conostylis candicans subsp. calcicola,8088.87081,-0.516968739,-27.85546886,46.39882487,363.4265952,Jurien Bay
Conostylis candicans subsp. calcicola,9782.67848,-0.233215322,-27.79146172,45.27778231,377.0083952,Jurien Bay
Conostylis candicans subsp. calcicola,11488.41782,2.429982918,-27.81252768,45.53821065,577.1204952,Jurien Bay
Conostylis candicans subsp. calcicola,14804.33958,0.616058557,-28.29987782,44.98615816,579.1995952,Jurien Bay
Conostylis candicans subsp. calcicola,11636.32555,-0.137064421,-29.46271278,45.91769384,361.5584952,Jurien Bay
Conostylis candicans subsp. calcicola,9146.69499,0.535374819,-28.82647719,45.89451795,348.8974952,Jurien Bay
Conostylis candicans subsp. calcicola,11854.56603,1.008578662,-28.1499062,44.39348645,399.5109952,Jurien Bay
Conostylis candicans subsp. calcicola,9792.89348,0.815462586,-29.26358709,45.1769621,232.5635952,Jurien Bay
Conostylis candicans subsp. calcicola,9406.50249,3.05214525,-28.6478594,44.91581607,301.7912952,Jurien Bay
Conostylis candicans subsp. calcicola,9068.63887,3.108875755,-28.11131778,44.77184707,274.9712952,Jurien Bay
Conostylis candicans subsp. calcicola,9919.86295,3.496364628,-28.60429307,45.7798682,325.3949952,Jurien Bay
Conostylis candicans subsp. calcicola,9956.27999,1.647876208,-27.46774469,44.69017772,306.9015952,Jurien Bay
Conostylis candicans subsp. calcicola,8517.74743,3.594200734,-28.64528221,46.36036532,241.5369952,Jurien Bay
Conostylis candicans subsp. calcicola,9004.50694,-0.238908891,-28.34741412,46.11780566,339.3077952,Jurien Bay
Conostylis candicans subsp. calcicola,10834.24955,3.942029709,-28.91223844,45.22243731,302.5316952,Jurien Bay
Conostylis candicans subsp. calcicola,10735.09396,3.306021236,-28.63679303,44.64910224,456.5623952,Jurien Bay
Conostylis candicans subsp. calcicola,13113.28349,0.526935073,-27.41438564,45.67253506,476.6636952,Jurien Bay
Conostylis candicans subsp. calcicola,10351.05393,1.371089609,-27.38472273,44.27196412,398.2973952,Jurien Bay
Conostylis candicans subsp. calcicola,10247.17194,-1.458749173,-29.33539803,45.11626503,851.2241952,Jurien Bay
Conostylis candicans subsp. calcicola,9089.13888,-0.087885599,-28.26305965,44.20574888,615.2841952,Jurien Bay
Conostylis candicans subsp. calcicola,10853.38642,-3.537548931,-28.476079,45.28055034,396.1914952,Jurien Bay
Conostylis candicans subsp. calcicola,6711.42935,-2.341570736,-29.3026601,44.91417495,328.7773952,Jurien Bay
Conostylis candicans subsp. calcicola,7899.88167,-1.726123932,-27.1744494,45.34055443,316.5407952,Jurien Bay
Conostylis candicans subsp. calcicola,6875.88507,-0.245708089,-28.9880603,43.84489762,314.8130952,Jurien Bay
Conostylis candicans subsp. calcicola,8961.65216,-0.524720539,-28.19058257,45.94688432,347.0052952,Jurien Bay
Conostylis candicans subsp. calcicola,10929.64101,1.294798125,-28.36118651,45.60736126,633.5684952,Jurien Bay
Conostylis candicans subsp. calcicola,12468.94434,0.801564446,-27.90514553,43.35561551,403.2492952,Jurien Bay
Banksia leptophylla var. melletica,9933.47913,3.071293179,-26.92506553,49.31501662,418.6584952,Jurien Bay
Banksia sessilis var. cygnorum,7607.24784,0.166668598,-26.80639156,49.02762553,279.6414952,Jurien Bay
Banksia leptophylla var. melletica,10672.46256,2.715710794,-27.63832652,48.68356532,427.9525952,Jurien Bay
Banksia sessilis var. cygnorum,8295.97041,1.867253716,-28.37926356,49.31907176,314.9621952,Jurien Bay
Banksia leptophylla var. melletica,8770.46352,3.631799421,-27.73365445,48.64584745,482.8776952,Jurien Bay
