var_name,trait_name,unit
growth form,plant_growth_form,NA
flowering duration,flowering_time,NA
maximum height (m),plant_height_max,m
dispersal mode,dispersal_syndrome,NA
seritony,serotiny,NA
plant longevity,life_history,NA
