Spp,species_name,Plant no. ,Segment,Mid-point distance (cm),Cum. Length,Displ. Weight (g),Displ. Weight (mg),Arch. vol (cm-3),Wood mass (g),Wood mass (mg),Diam. 1 (mm),Diam. 2 (mm),X-sectional area (mm2),Density,leaf_size,specific_leaf_area
Acamyr,Acacia myrtifolia,1,tt,10.5,10.5,0.0225,22.5,22.54509018,0.011,11,1.52,1.98,2.363734313,0.49,,
Acamyr,Acacia myrtifolia,1,b1,5.5,26.5,0.0625,62.5,62.6252505,0.0333,33.3,1.68,1.88,2.480601559,0.53,,
Acamyr,Acacia myrtifolia,1,b2,13.5,45.5,0.1698,169.8,170.1402806,0.0981,98.1,2.7,2.48,5.259026102,0.58,,
Acamyr,Acacia myrtifolia,1,b3,4,63,0.2176,217.6,218.0360721,0.1199,119.9,2.62,2.64,5.432442017,0.55,,
Acamyr,Acacia myrtifolia,2,tt,3.5,3.5,0.0297,29.7,29.75951904,0.0144,14.4,1.84,1.86,2.687946674,0.48,,
Acamyr,Acacia myrtifolia,2,b1,7,14,0.0967,96.7,96.89378758,0.0507,50.7,2.48,2.46,4.791557115,0.52,,
Acamyr,Acacia myrtifolia,2,b2,5,26,0.128,128,128.256513,0.0699,69.9,3.44,3.38,9.131981525,0.55,,
Acamyr,Acacia myrtifolia,2,b3,7.5,38.5,0.255,255,255.511022,0.147,147,4.62,4.92,17.85241441,0.58,,
Acamyr,Acacia myrtifolia,3,tt,6,6,0.0338,33.8,33.86773547,0.0171,17.1,1.42,1.4,1.561371549,0.5,,
Acamyr,Acacia myrtifolia,3,b1,7.5,19.5,0.0854,85.4,85.57114228,0.0433,43.3,2.44,2.42,4.637619075,0.51,,
Acamyr,Acacia myrtifolia,3,b2,9,36,0.1729,172.9,173.246493,0.1069,106.9,4.24,3.87,12.88744138,0.62,,
Acamyr,Acacia myrtifolia,3,b3,11.5,56.5,0.3972,397.2,397.995992,0.2281,228.1,5.28,5.32,22.06152025,0.57,,
Acamyr,Acacia myrtifolia,4,tt,5.5,5.5,0.0302,30.2,30.26052104,0.0151,15.1,1.78,1.72,2.404575017,0.5,,
Acamyr,Acacia myrtifolia,4,b1,5.25,16.25,0.0528,52.8,52.90581162,0.0286,28.6,2.24,2.18,3.835256312,0.54,,
Acamyr,Acacia myrtifolia,4,b2,15,36.5,0.1935,193.5,193.8877756,0.1056,105.6,3.62,3.68,10.46276017,0.54,,
Acamyr,Acacia myrtifolia,4,b3,18,69.5,0.5112,511.2,512.2244489,0.2801,280.1,6.26,5.96,29.30289132,0.55,,
Phyphy,Phyllota phylicoides,1,tt,17,17,0.0848,84.8,84.96993988,0.0529,52.9,2.28,2.38,4.261884594,0.62,,
Phyphy,Phyllota phylicoides,1,b1,36,70,0.4836,483.6,484.5691383,0.3541,354.1,4.7,4.82,17.79240999,0.73,,
Phyphy,Phyllota phylicoides,1,b2,20,126,1.4756,1475.6,1478.557114,1.1444,1144.4,10.42,8.38,68.58065347,0.77,,
Phyphy,Phyllota phylicoides,1,b3,13,159,1.0562,1056.2,1058.316633,0.8172,817.2,9.42,10.04,74.28044502,0.77,,
Phyphy,Phyllota phylicoides,2,tt,11.5,11.5,0.0308,30.8,30.86172345,0.0173,17.3,1.64,1.72,2.215451139,0.56,,
Phyphy,Phyllota phylicoides,2,b1,12.5,35.5,0.1074,107.4,107.6152305,0.0657,65.7,2.92,2.8,6.421415384,0.61,,
