plot,unique,veg,diameter,height,sev,dead,alldead,rs,d.a,burnt,species
16P7,16P7T5,C,10.7,5.5,1,0,0,0,a,1,Allocasuarina verticillata
15P11,15P11T10,D,9,1.8,1,0,0,0,a,1,Leucopogon
15P11,15P11T11,D,7.1,1.5,1,0,0,0,a,1,Leucopogon
15P11,15P11T12,D,8.5,1.5,1,0,0,0,a,1,Leucopogon
19P2,19P2T5,A,5.1,3,1,0,0,0,a,1,Melaleuca ericifolia
19P2,19P2T6,A,6.3,2,1,0,0,0,a,1,Melaleuca ericifolia
13P10,13P10T1,A,8.5,1.5,2,1,1,0,d,1,Acacia
13P10,13P10T14,A,4.7,1.8,2,1,1,0,d,1,Acacia
13P10,13P10T15,A,6.9,1,2,1,1,0,d,1,Acacia
13P10,13P10T4,A,3,1.8,2,1,1,0,d,1,Acacia
13P10,13P10T5,A,5.3,1,2,1,1,0,d,1,Acacia
13P10,13P10T6,A,3.6,1.2,2,1,1,0,d,1,Acacia
13P10,13P10T7,A,3.5,1.3,2,1,1,0,d,1,Acacia
13P10,13P10T8,A,4.2,1.5,2,1,1,0,d,1,Acacia
13P5,13P5T1,A,3.1,2,2,1,1,0,d,1,Acacia
13P5,13P5T2,A,3,2,2,1,1,0,d,1,Acacia
13P5,13P5T3,A,8.7,2.5,2,1,1,0,d,1,Acacia
13P5,13P5T7,A,10.2,2,2,1,1,0,d,1,Acacia
13P5,13P5T9,A,9.4,2,2,1,1,0,d,1,Acacia
13P6,13P6T1,A,14.5,3,2,1,1,0,d,1,Acacia
13P6,13P6T3,A,3,1,2,1,1,0,d,1,Acacia
14P1,14P1T8,A,5.3,1.3,2,1,1,0,d,1,Acacia
14P3,14P3T7,A,4.3,2,2,1,1,0,d,1,Acacia
18P3,18P3T6,A,17,3,2,1,1,0,d,1,Acacia
13P5,13P5T10,A,4.9,1.5,3,1,1,0,d,1,Acacia
13P5,13P5T8,A,7,2,3,1,1,0,d,1,Acacia
13P6,13P6T9,A,4,1,3,1,1,0,d,1,Acacia
18P12,18P12T6,A,4.4,2.5,3,1,1,0,d,1,Acacia
18P1,18P1T1,A,7.4,3.5,3,1,1,0,d,1,Acacia
18P1,18P1T5,A,4,3.5,3,1,1,0,d,1,Acacia
18P3,18P3T10,A,10,3,3,1,1,0,d,1,Acacia
7P1,7P1T9,A,6,1,3,1,1,0,d,1,Acacia
13P5,13P5T5,A,10,1,4,1,1,0,d,1,Acacia
13P5,13P5T6,A,4.2,0.5,4,1,1,0,d,1,Acacia
18P12,18P12T2,A,9,3,4,1,1,0,d,1,Acacia
18P12,18P12T5,A,23.5,3.4,4,1,1,0,d,1,Acacia
18P12,18P12T9,A,4.8,1.2,4,1,1,0,d,1,Acacia
18P3,18P3T9,A,15,2,4,1,1,0,d,1,Acacia
13P2,13P2T10,C,10,3,2,1,1,0,d,1,Acacia
2P1,2P1T13,C,5.8,1,4,1,1,0,d,1,Acacia
16P10,16P10T2,D,27.5,5,2,1,1,0,d,1,Acacia
16P10,16P10T4,D,18.3,3,3,1,1,0,d,1,Acacia
16P10,16P10T5,D,9.5,3,3,1,1,0,d,1,Acacia
16P10,16P10T6,D,11.5,3,3,1,1,0,d,1,Acacia
16P10,16P10T7,D,7.8,2,3,1,1,0,d,1,Acacia
16P10,16P10T1,D,13,3,4,1,1,0,d,1,Acacia
16P8,16P8T10,D,5.1,3,4,1,1,0,d,1,Acacia
15P12,15P12T9,E,4.8,1.2,2,1,1,0,d,1,Acacia
4P10,4P10T1,E,9.6,3,2,1,1,0,d,1,Acacia
15P12,15P12T10,E,3,0.8,3,1,1,0,d,1,Acacia
4P10,4P10T2,E,2.9,3,3,1,1,0,d,1,Acacia
4P2,4P2T11,E,15.6,4,3,1,1,0,d,1,Acacia
4P2,4P2T12,E,11.5,4,3,1,1,0,d,1,Acacia
15P3,15P3T11,E,5,0.8,4,1,1,0,d,1,Acacia
15P3,15P3T12,E,5.4,0.8,4,1,1,0,d,1,Acacia
15P3,15P3T16,E,3.5,0.3,4,1,1,0,d,1,Acacia
15P3,15P3T7,E,4.2,0.7,4,1,1,0,d,1,Acacia
17P14,17P14T11,E,3.2,1.6,4,1,1,0,d,1,Acacia
4P10,4P10T7,E,8.2,2.5,4,1,1,0,d,1,Acacia
4P2,4P2T5,E,5,1,4,1,1,0,d,1,Acacia
15P3,15P3T1,E,4,0.35,5,1,1,0,d,1,Acacia
15P3,15P3T4,E,3.2,0.8,5,1,1,0,d,1,Acacia
15P3,15P3T9,E,4.8,0.4,5,1,1,0,d,1,Acacia
16P2,16P2T10,A,4,2.5,2,1,1,0,d,1,Acacia
16P2,16P2T7,A,5,2,2,1,1,0,d,1,Acacia
10P4,10P4T9,A,7,2,3,1,1,0,d,1,Acacia
9P3,9P3T5,C,4.2,3,1,1,1,0,d,1,Acacia mucronata
9P3,9P3T6,C,3.2,3,1,1,1,0,d,1,Acacia mucronata
9P3,9P3T4,C,4.8,3,2,1,1,0,d,1,Acacia mucronata
9P3,9P3T7,C,4,3,2,1,1,0,d,1,Acacia mucronata
