name_original,nitrate,N mass %,P mass %,K mass %,Ca mass %,Mg mass %,dry_matter_digestibility(%),lignin(%),site,date,P treatment
Eriachne helmsii,0.08,0.63,0.06,0.46,0.91,0.1,38.05,8.63,Hamersley station Pilbara,1996-08,no P addition
Eriachne helmsii,0.02,0.59,0.06,0.29,1.17,0.05,23.02,12.4,Hamersley station Pilbara,1996-11,no P addition
Eriachne helmsii,0.11,0.99,0.08,1.72,0.19,0.77,42.02,7.64,Hamersley station Pilbara,1997-03,no P addition
Eriachne helmsii,0.1,0.63,0.08,0.19,0.78,0.05,29.98,11.05,Hamersley station Pilbara,1997-06,no P addition
Triodia basedowii,0.05,0.61,0.05,0.72,1.09,0.11,34.99,11.88,Hamersley station Pilbara,1996-11,no P addition
Triodia basedowii,0.02,0.5,0.03,0.6,1.3,0.02,24.8,14.51,Hamersley station Pilbara,1996-11,no P addition
Triodia basedowii,0.12,0.89,0.09,1.84,0.21,0.35,36.24,8.65,Hamersley station Pilbara,1997-03,no P addition
Triodia basedowii,0.06,0.48,0.08,0.25,0.89,0.1,22.7,10.63,Hamersley station Pilbara,1997-06,no P addition
Abutilon octocarpum,0.17,1.3,0.13,3.25,0.99,0.18,42.59,8.21,Hamersley station Pilbara,1996-08,no P addition
Cullen cinerum,0.62,1.79,0.22,3.53,0.85,0.2,53.58,6.66,Hamersley station Pilbara,1996-08,no P addition
Sida fibulifera,0.22,1.5,0.2,2.9,1.14,0.36,38.69,7.33,Hamersley station Pilbara,1996-08,no P addition
Abutilon octocarpum,0.37,1.42,0.17,5.06,0.88,1.4,47.52,6,Hamersley station Pilbara,1997-03,no P addition
Cullen cinerum,0.48,1.95,0.16,6.51,0.84,1.22,52.23,5.98,Hamersley station Pilbara,1997-03,no P addition
Sida fibulifera,0.5,1.59,0.16,5.94,0.8,1.56,48.22,7.86,Hamersley station Pilbara,1997-03,no P addition
Paspalidium clementi,0.2,0.52,0.11,2.97,0.23,0.89,46.27,6.89,Hamersley station Pilbara,1997-03,no P addition
Iseilema membranaceu,0.19,0.51,0.08,5.27,0.21,1.38,47.25,7.96,Hamersley station Pilbara,1997-03,no P addition
Abutilon octocarpum,0.15,1.35,0.14,3.4,1.04,0.19,43.6,8.37,Hamersley station Pilbara,1996-08,P addition
Cullen cinerum,0.59,1.65,0.21,3.64,0.9,0.21,52.14,7.19,Hamersley station Pilbara,1996-08,P addition
Sida fibulifera,0.23,1.46,0.21,2.84,1.2,0.34,38.42,6.98,Hamersley station Pilbara,1996-08,P addition
Abutilon octocarpum,0.44,1.52,0.19,5.18,0.82,1.32,46.68,5.8,Hamersley station Pilbara,1997-03,P addition
Cullen cinerum,0.53,2.19,0.19,5.93,0.78,1.14,50.82,6.38,Hamersley station Pilbara,1997-03,P addition
Sida fibulifera,0.56,1.78,0.19,7,0.62,2,48.28,7.56,Hamersley station Pilbara,1997-03,P addition
Paspalidium clementi,0.25,0.73,0.12,3.61,0.15,1.03,45.82,6.2,Hamersley station Pilbara,1997-03,P addition
Iseilema membranaceu,0.25,0.68,0.14,5.9,0.18,2.11,46.1,7.75,Hamersley station Pilbara,1997-03,P addition
Eriachne helmsii,0.09,0.65,0.07,0.45,0.88,0.09,37.91,8.21,Hamersley station Pilbara,1996-08,P addition
Eriachne helmsii,0.03,0.62,0.06,0.3,1.13,0.04,25.5,11.07,Hamersley station Pilbara,1996-11,P addition
Eriachne helmsii,0.17,1.12,0.14,2.95,0.2,0.98,45.82,8.2,Hamersley station Pilbara,1997-03,P addition
Eriachne helmsii,0.12,0.64,0.09,0.21,1.01,0.06,31.81,10.63,Hamersley station Pilbara,1997-06,P addition
Triodia basedowii,0.09,0.62,0.06,0.76,1.12,0.12,36.63,11.58,Hamersley station Pilbara,1996-08,P addition
Triodia basedowii,0.02,0.52,0.04,0.59,1.34,0.03,25.51,14.97,Hamersley station Pilbara,1996-11,P addition
Triodia basedowii,0.18,1.01,0.15,2.02,0.19,0.52,39.71,8.46,Hamersley station Pilbara,1997-03,P addition
Triodia basedowii,0.05,0.49,0.07,0.29,1.01,0.12,24.7,12.81,Hamersley station Pilbara,1997-06,P addition
