species_name,voucher_specimen,generalised_collection_location,arborteum_row,planting_year,genome_size_2C_picograms,cv_sample,cv_solanum_standard,context
Angophora melanoxylon,DN 2552,"St George, QLD",173,1999,0.798397041,3.87,2.68,"voucher DN 2552: collected at St George, QLD and planted in arboretum row 173 in 1999"
Angophora hispida,DN 6746,"St Ives, NSW",295,2015,0.823267641,3.15,2.31,"voucher DN 6746: collected at St Ives, NSW and planted in arboretum row 295 in 2015"
Angophora costata subsp. euryphylla,DN 2082,"Broken Back Range, NSW",152,1998,0.824315722,4.15,2.57,"voucher DN 2082: collected at Broken Back Range, NSW and planted in arboretum row 152 in 1998"
Angophora floribunda,DN 2551,"Roma, QLD",171,1999,0.830927174,4.7,2.46,"voucher DN 2551: collected at Roma, QLD and planted in arboretum row 171 in 1999"
Angophora leiocarpa,DN 2103,"Karara, QLD",84,1998,0.833333333,2.97,2.56,"voucher DN 2103: collected at Karara, QLD and planted in arboretum row 84 in 1998"
Angophora subvelutina,DN 3204,"Mulgoa, NSW",239,2001,0.834407216,3.5,3.05,"voucher DN 3204: collected at Mulgoa, NSW and planted in arboretum row 239 in 2001"
Corymbia calophylla,DN 3421,"Brookton, WA",237,2001,0.844198175,3.23,2.76,"voucher DN 3421: collected at Brookton, WA and planted in arboretum row 237 in 2001"
Angophora inopina,DN 6258,"Wyee, NSW",279,2013,0.844473427,3.91,2.72,"voucher DN 6258: collected at Wyee, NSW and planted in arboretum row 279 in 2013"
Corymbia clandestina,DN 2541,"Drummond Range, QLD",173,1999,0.848901999,4.14,2.96,"voucher DN 2541: collected at Drummond Range, QLD and planted in arboretum row 173 in 1999"
Corymbia trachyphloia subsp. amphistomatica ,DN 2084,"Gungal, NSW",84,1998,0.86075108,3.81,2.95,"voucher DN 2084: collected at Gungal, NSW and planted in arboretum row 84 in 1998"
Angophora costata subsp. costata,DN 2073,"Glenbrook, NSW",158,1998,0.861896839,3.59,2.74,"voucher DN 2073: collected at Glenbrook, NSW and planted in arboretum row 158 in 1998"
Corymbia gummifera,DN 1228,"Ku-Ring-Gai Chase, NSW",93,1996,0.863621207,3.8,2.69,"voucher DN 1228: collected at Ku-Ring-Gai Chase, NSW and planted in arboretum row 93 in 1996"
Corymbia trachyphloia subsp. trachyphloia,DN 5128,"Blencoe Falls, QLD",305,2010,0.867381112,4.42,3.06,"voucher DN 5128: collected at Blencoe Falls, QLD and planted in arboretum row 305 in 2010"
Corymbia torelliana,,"Cultivated tree at Robina, QLD",209,2006,0.867671692,3.68,2.54,"voucher : collected at Cultivated tree at Robina, QLD and planted in arboretum row 209 in 2006"
Corymbia terminalis,DN 2120,"Charleville, QLD",82,1998,0.868544601,3.7,2.56,"voucher DN 2120: collected at Charleville, QLD and planted in arboretum row 82 in 1998"
Corymbia haematoxylon,DN 1147,"Busselton, WA",72,1995,0.869419268,4.14,3.91,"voucher DN 1147: collected at Busselton, WA and planted in arboretum row 72 in 1995"
