Species,Vessel Tangential diameter (um),Vessel Length (um),Vessel Area (mm2),Vessel Frequency (nr/mm2),Rays N° cells,Rays Height (um),Fibre Length (mm),Fibre Width (um),Fibre Wall thickness (um),Runkel ratio,Wall proportion %,Flexibility coefficient,Slenderness ratio,Luce's factor,Vessels (%),Rays (%),Fibre (%),Parenchyma (%)
Eucalyptus camaldulensis,80 ± 19,218 ± 52,0.004 ± 0.002,11,11,148 ± 56,0.670 ± 75,17 ± 0.8,4 ± 0.1,0.79 ± 0.21,43.5 ± 6.5,0.56 ± 0.06,39.4 ± 7.7,0.51 ± 0.08,31,17,44,8
Eucalyptus globulus,72 ± 23,273 ± 53,0.005 ± 0.0005,18,9,153 ± 47,0.716 ± 34,16 ± 0.9,5 ± 0.3,1.75 ± 0.58,62.0 ± 7.6,0.37 ± 0.07,47.1 ± 8.8,0.74 ± 0.08,25,19,33,21
Eucalyptus maculata,79 ± 11,195 ± 69,0.008 ± 0.0002,14,9,141 ± 59,0.794 ± 14,18 ± 1,5 ± 0.7,1.6 ± 0.8,57.8 ± 12,0.42 ± 0.12,44.6 ± 9.9,0.69 ± 0.15,19,29,29,23
Eucalyptus melliodora,79 ± 17,197 ± 49,0.007 ± 0.0009,19,6,129 ± 4,0.777 ± 92,17 ± 2,4 ± 0.2,1.0 ± 0.41,48.4 ± 9.9,0.51 ± 0.09,47.2 ± 9.3,0.57 ± 0.12,22,22,22,22
Eucalyptus ovata,127 ± 19,173 ± 47,0.009 ± 0.0009,13,8,142 ± 53,0.719 ± 49,16 ± 2,4 ± 0.1,1.1 ± 0.54,50.0 ± 9.6,0.49 ± 0.09,46.9 ± 10.5,0.6 ± 0.1,25,15,50,10
Eucalyptus propinqua,62 ± 12,212 ± 48,0.006 ± 0.0008,23,8,164 ± 73,0.755 ± 300,17 ± 1,4 ± 0.3,1.17 ± 0.34,52.7 ± 7.3,0.47 ± 0.07,46.7 ± 7.8,0.63 ± 0.09,21,19,33,25
Eucalyptus sideroxylon,54 ± 9,164 ± 32,0.009 ± 0.002,25,9,116 ± 31,0.742 ± 12,16 ± 3,4 ± 0.2,1.2 ± 0.52,52.4 ± 10,0.47 ± 0.1,48.4 ± 8.8,0.62 ± 0.12,20,22,35,21
Eucalyptus tereticornis,88 ± 13,268 ± 50,0.006 ± 0.0002,27,8,141 ± 42,0.777 ± 11,17 ± 0.4,4 ± 0.1,0.95 ± 0.34,47.5 ± 8.1,0.52 ± 0.08,47.8 ± 11,0.56 ± 0.1,21,23,35,16
Eucalyptus viminalis,81 ± 11,183 ± 42,0.004 ± 0.0002,9,9,155 ± 45,0.806 ± 49,19 ± 1,3 ± 0.5,0.54 ± 0.22,34.1 ± 8.9,0.65 ± 0.08,43.3 ± 9.9,0.39 ± 0.11,23,31,25,21
