sort,order,TRIP,SITE,PLANT GROUP,REP,SPECIES,SPECIES_sheet2,species_name_edited,root/leaf,COMMENT,LAB NUMBER,xylem sap,%C_leaf,del C_leaf,%N_leaf,%N-2_leaf,Del N_leaf,xylem delN root,xylem delN shoot,%C_root,del C_root,%N_root,%N-2_root,Del N_root
1,176,2,Darwin,A,1,A. holo.,A. holo.,Acacia holosericea,leaf,,428,,50.8043,-26.65,2.3132,2.3132,-0.96,-0.24,-0.15,,,,,
2,177,2,Darwin,A,2,A. holo.,A. holo.,Acacia holosericea,leaf,burnt,439,,45.2032,-29.63,2.4344,2.4344,-1.58,-0.36,0.00,,,,,
3,178,2,Darwin,A,3,A. holo.,A. holo.,Acacia holosericea,leaf,,404,,49.7327,-29,2.114,2.114,-1.4,0.7,-1.35,,,,,
4,179,2,Darwin,A,4,A. holo.,A. holo.,Acacia holosericea,leaf,,415,,47.3071,-29.35,2.3738,2.3738,-0.8,-0.83,-1.05,,,,,
5,180,2,Darwin,A,5,A. holo.,A. holo.,Acacia holosericea,leaf,Old,403,,51.8279,-29.76,2.5933,2.5933,-1.06,-0.28,-1.01,,,,,
6,182,2,Darwin,A,2,A. auric,A. auric,Acacia auriculiformis ,leaf,,400,,54.0524,-29.25,2.275,2.275,-1.22,,-1.05,,,,,
7,183,2,Darwin,A,4,A. auric,A. auric,Acacia auriculiformis ,leaf,Burnt,411,,48.5107,-30.2,2.4262,2.4262,-1.04,,0.71,,,,,
8,184,2,Darwin,A,,A. auric,A. auric,Acacia auriculiformis ,leaf,,401,,46.8409,-29.25,2.0684,2.0684,-0.41,,-0.93,,,,,
9,1,1,Darwin,A,1,Acacia,Acacia,Acacia sp.,leaf,,24,101,47.947,-30.21,3.1924,0.8865,-0.97,,,,,,,
10,2,1,Darwin,A,2,Acacia,Acacia,Acacia sp.,leaf,,23,106,47.3841,-30.46,3.3847,1.2457,-0.25,,,,,,,
11,3,1,Darwin,A,2,A. holo.,A. holosericea,Acacia holosericea,leaf,,20,,48.324,-30.08,2.6019,0.9311,-0.52,,,,,,,
12,4,1,Darwin,A,4,A. holo.,A. holosericea,Acacia holosericea,leaf,,11,,48.0723,-30.65,2.5633,0.7766,-1.51,,,,,,,
13,5,1,Darwin,A,5,A. holo.,A. holosericea,Acacia holosericea,leaf,,16,,49.239,-30.95,2.534,0.8375,-1.28,,,,,,,
14,7,1,Darwin,A,1,A. leptocarpa,A. leptocarpa,Acacia leptocarpa,leaf,,18,,49.6806,-30.05,2.2525,0.7861,-1.45,,,,,,,
15,8,1,Darwin,A,2,A. leptocarpa,A. leptocarpa,Acacia leptocarpa,leaf,,19,,46.9207,-30.69,3.1075,0.8339,-0.29,,,,,,,
16,9,1,Darwin,A,3,A. leptocarpa,A. leptocarpa,Acacia leptocarpa,leaf,,28,,47.9717,-30.67,2.3965,1.2898,-1.89,,,,,,,
17,10,1,Darwin,A,4,A. leptocarpa,A. leptocarpa,Acacia leptocarpa,leaf,,30,,49.0673,-32.07,2.4189,1.4634,-1.66,,,,,,,
18,12,1,Darwin,A,1,Acacia,Acacia,Acacia sp.,leaf,15N injection,46,,48.0918,-30.57,2.1906,3.1924,-0.92,,,,,,,
19,13,1,Darwin,A,2,Acacia,Acacia,Acacia sp.,leaf,15N injection,21,,47.801,-30.69,2.6871,3.3847,-0.74,,,,,,,
20,14,1,Darwin,A,3,Acacia,Acacia,Acacia sp.,leaf,15N injection,22,,45.3276,-28.09,1.2421,2.6019,-0.9,,,,,,,
21,186,2,Darwin,E,4,E. tet,E. tet,Eucalyptus tetradonta,leaf,Burnt,402,,51.0101,-29.77,0.8865,2.5633,-0.7,1.45,2.27,,,,,
22,187,2,Darwin,E,,E. tet,E. tet,Eucalyptus tetradonta,leaf,,406,,47.6994,-29.49,1.2457,2.534,-1.02,3.76,-0.86,,,,,
23,188,2,Darwin,E,3,E. tet,E. tet,Eucalyptus tetradonta,leaf,Burnt,429,,49.2808,-29.58,0.9311,2.2525,-1.89,1.85,-0.25,,,,,
24,16,1,Darwin,E,1,E. tet,E. tetradonta,Eucalyptus tetradonta,leaf,,12,,47.4446,-30.55,1.0238,3.1075,-1.66,3.54,2.1,,,,,
25,17,1,Darwin,E,1,E. tet,E. tetradonta,Eucalyptus tetradonta,leaf,,8,110,46.9488,-29.87,0.7551,2.3965,-0.58,1.57,,,,,,
26,18,1,Darwin,E,1,E. tet,E.tetradonta,Eucalyptus tetradonta,leaf,,7,174,46.5934,-29.57,1.1434,2.4189,0.43,0.21,,,,,,
27,19,1,Darwin,E,,E. tet,E. tetradonta,Eucalyptus tetradonta,root,,31,156,,,,,,,,42.7391,-27.79,0.4481,2.6871,3.19
28,20,1,Darwin,E,,E. tet,E. tetradonta,Eucalyptus tetradonta,root,,32,159,,,,,,,,41.2145,-28.56,0.2066,2.1906,-1.22
29,190,2,Darwin,P,,G. pterid,G. pterid,Grevillea pteridifolia,leaf,Burnt,412,,48.5502,-28.83,0.7766,0.8057,2.89,4.85,4.8,,,,,
30,191,2,Darwin,P,4,G. pterid,G. pterid,Grevillea pteridifolia,leaf,Burnt,413,,48.661,-28.2,0.8375,1.2193,4.02,2.31,4.81,,,,,
31,192,2,Darwin,P,3,G. pterid,G. pterid,Grevillea pteridifolia,leaf,,417,,47.9062,-27.9,0.7861,1.8283,0.59,3.02,2.22,,,,,
32,193,2,Darwin,P,,G. pterid,G. pterid,Grevillea pteridifolia,leaf,Burnt,448,,46.6737,-28.16,0.8339,1.5724,2.51,3.88,7.46,,,,,
33,194,2,Darwin,P,1,P. falcata,P. falcata,Persoonia falcata,leaf,,410,,52.0363,-29.95,1.2898,1.6461,4.65,4.65,6.67,,,,,
34,195,2,Darwin,P,,P. falcata,P. falcata,Persoonia falcata,leaf,,438,,53.9597,-30.84,1.4634,1.9239,4.82,5.15,3.11,,,,,
35,31,1,Darwin,P,1,P. falcata,P. falcata,Persoonia falcata,leaf,,26,,46.842,-31.32,1.1745,1.1745,3.2,5.94,3.94,,,,,
36,32,1,Darwin,P,2,P. falcata,P. falcata,Persoonia falcata,leaf,,27,119,47.2569,-30.06,0.9267,0.9267,2.06,,4.09,,,,,
37,33,1,Darwin,P,3,P. falcata,P. falcata,Persoonia falcata,leaf,,104,147,46.9864,-30.85,0.9889,0.9889,5.15,,5.06,,,,,
38,34,1,Darwin,P,4,P. falcata,P. falcata,Persoonia falcata,leaf,,4,,46.273,-30.77,1.3172,1.3172,5.86,,4.93,,,,,
39,35,1,Darwin,P,5,P. falcata,P.falcata,Persoonia falcata,leaf,,114,195,45.9649,-30.67,0.9722,0.9722,5.21,,4.87,,,,,
40,37,1,Darwin,P,,P. falcata,P. falcata,Persoonia falcata,leaf,,93,195,46.0617,-29.79,0.7412,0.7412,5.25,,,,,,,
41,36,1,Darwin,P,,P. falcata,P. falcata,Persoonia falcata,root,,5,145,,,,,,,,35.8581,-28.83,0.2158,0.2158,2.37
42,22,1,Darwin,G,1,Sorghum,Sorghum,Sorghum bicolor,leaf,,14,,43.0173,-12.19,0.9609,1.2421,-0.46,,,,,,,
43,23,1,Darwin,G,2,Sorghum,Sorghum,Sorghum bicolor,leaf,,15,,43.4196,-12.86,0.9629,1.0238,-0.64,,,,,,,
44,24,1,Darwin,G,3,Sorghum,Sorghum,Sorghum bicolor,leaf,,98,,43.0451,-12.45,0.8057,0.7551,0.9,,,,,,,
45,25,1,Darwin,G,4,Sorghum,Sorghum,Sorghum bicolor,leaf,,25,,43.4337,-11.97,1.2193,1.1434,0.79,,,,,,,
46,26,1,Darwin,G,1,Gamba grass,Gamba grass,Andropogon gayanus,,,38,,43.3327,-11.61,1.9239,0.9629,-0.25,,,,,,,
47,27,1,Darwin,G,2,Gamba grass,Gamba grass,Andropogon gayanus,leaf,,39,,43.2647,-11.38,1.8283,0.2066,-0.91,,,,,,,
48,28,1,Darwin,G,3,Gamba grass,Gamba grass,Andropogon gayanus,leaf,,45,,43.3431,-11.74,1.5724,0.4481,0.29,,,,,,,
49,29,1,Darwin,G,4,Gamba grass,Gamba grass,Andropogon gayanus,leaf,,13,,43.5054,-11.85,1.6461,0.9609,1.37,,,,,,,
50,39,1,Katherine,A,1,A. holo.,A. holosericea,Acacia holosericea,leaf,uncleared,92,,48.9974,-29.9,2.5018,,-1.25,-0.68,-0.1,43.5913,-28.37,0.6149,,-2.98
51,40,1,Katherine,A,2,A. holo.,A. holosericea,Acacia holosericea,leaf,uncleared,80,,48.8476,-30.86,2.3303,,-0.88,0.4,-0.45,39.2692,-28.02,0.5778,,-2.06
52,41,1,Katherine,A,3,A. holo.,A. holosericea,Acacia holosericea,leaf,uncleared,40,,48.2733,-29.19,2.5085,,0.11,0.11,,,,,,
53,42,1,Katherine,A,4,A. holo.,A. holosericea,Acacia holosericea,leaf,uncleared,41,,49.1964,-29.58,2.2934,,1.25,,2.18,,,,,
54,43,1,Katherine,A,,A. holo.,A. holosericea,Acacia holosericea,leaf,uncleared,47,,47.8229,-30.22,2.3859,,0.18,,2.38,,,,,
55,197,2,Katherine,A,2,A. holo.,A. holo.,Acacia holosericea,leaf,uncleared,446,,52.4614,-27.6,1.8027,,-1.17,,,,,,,
56,198,2,Katherine,A,3,A. holo.,A. holo.,Acacia holosericea,leaf,uncleared,409,,49.3123,-27.8,1.3844,,-0.97,,,,,,,
57,199,2,Katherine,A,T5,A. holo.,A. holo.,Acacia holosericea,leaf,uncleared,433,,42.3726,-28.4,1.7341,,-0.68,,,,,,,
58,200,2,Katherine,A,3,A. holo.,A. holo.,Acacia holosericea,leaf,uncleared,462,,51.6129,-27.9,1.2525,,-1.47,,,,,,,
59,201,2,Katherine,A,1,A. holo.,A. holo.,Acacia holosericea,leaf,uncleared,463,,46.0621,-28.82,1.6461,,-0.7,,,,,,,
62,202,2,Katherine,A,,A. holo.,A. holo.,Acacia holosericea,root,uncleared,445,,,,,,,,,45.6721,-27.59,0.4304,,-2.13
63,47,1,Katherine,E,1,E. patellaris,E. patellaris,Eucalyptus patellaris,leaf,uncleared,37,,46.836,-29.31,0.8621,,-2.39,0.8,3.79,38.4123,-27.95,0.4966,,-0.91
64,48,1,Katherine,E,4,E. patellaris,E. petallaris,Eucalyptus patellaris,leaf,uncleared,86,46,47.6804,-30.44,1.0692,,-0.45,3.48,0.04,,,,,
65,49,1,Katherine,E,5,E. patellaris,E.patellaris,Eucalyptus patellaris,leaf,uncleared,58,,46.1829,-29.89,0.9625,,1,3.67,0.73,,,,,
66,50,1,Katherine,E,6,E. patellaris,E. patelaris,Eucalyptus patellaris,leaf,uncleared,82,,47.1883,-30.02,1.178,,0.27,,0.76,,,,,
67,51,1,Katherine,E,,E. patellaris,E. patelaris,Eucalyptus patellaris,leaf,uncleared,36,,46.1698,-30.55,0.9062,,-0.17,,,,,,,
68,204,2,Katherine,E,1,E. pallida,E. pallida,Eucalyptus pallida,leaf,uncleared,424,,47.9165,-30.05,1.0162,,-2.35,,,,,,,
69,205,2,Katherine,E,2,E. pallida,E. pallida,Eucalyptus pallida,leaf,uncleared,443,,48.7402,-30.93,0.8299,,-0.96,,,,,,,
70,206,2,Katherine,E,3,E. pate,E. pate,Eucalyptus patellaris,leaf,uncleared,414,,52.1918,-29.03,0.7528,,-0.94,,,,,,,
71,,,,,,Euc.,,Eucalyptus sp.,,,,,48.0708,-31.01,0.8648,,,,,,,,,
72,52,1,Katherine,E,,E. patellaris,E. patelaris,Eucalyptus patellaris,root,uncleared,91,,,,,,,,,40.7717,-29.19,0.5928,,0.03
