var_name,trait_name,unit
SLA (m2 kg-1),specific_leaf_area,mm2/mg
[N] (%),leaf_N_per_dry_mass,%
A (nmol g-1 s-1),photosynthetic_rate_per_dry_mass,nmolCO2/g/s
