site_TEXT,species,leaf longevity,LfSize(mm2),LMA(g/m2),,
Frodshams Pass_16,Acacia_mucronata,ever,96,289,,
Frodshams Pass_16,Agastachys_odorata,ever,390,273,,
Frodshams Pass_16,Banksia_marginata,ever,149,205,,
Frodshams Pass_16,Cenarrhenes_nitida,ever,2150,226,,
Frodshams Pass_16,Gaultheria_hispida,ever,183,174,,
Frodshams Pass_16,Leptospermum_nitidum,ever,24,144,,
Frodshams Pass_16,Melaleuca_squarrosa,ever,53,149,,
Frodshams Pass_16,Monotoca_glauca,ever,39,166,,
Frodshams Pass_16,Persoonia_gunnii,ever,119,236,,
Mt_Read_16,Agastachys_odorata,ever,474,305,,
Mt_Read_16,Anodopetalum_biglandulosum,ever,159,189,,
Mt_Read_16,Archeria_serpyllifolia,ever,11,248,,
Mt_Read_16,Bellendena_montana,ever,117,219,,
Mt_Read_16,Leptecophylla_juniperina,ever,12,169,,
Mt_Read_16,Nothofagus_cunninghamii,ever,50,201,,
Mt_Read_16,Olearia_persoonioides,ever,174,181,,
Mt_Read_16,Orites_acicularis,ever,30,606,,
Mt_Read_16,Orites_milliganii,ever,264,300,,
Mt_Read_16,Orites_revoluta,ever,27,453,,
Mt_Read_16,Persoonia_gunnii,ever,122,242,,
Mt_Read_16,Tasmannia_lanceolata,ever,208,215,,
Mt_Read_16,Telopea_truncata,ever,497,226,,
Mt_Read_16,Trochocarpa_cunninghamii,ever,29,154,,
wet_scler_UTAS_16,Acacia_melanoxylon,ever,1464,148,,
wet_scler_UTAS_16,Bedfordia_salicina,ever,1169,118,,
wet_scler_UTAS_16,Beyeria_viscosa,ever,285,146,,
wet_scler_UTAS_16,Bursaria_spinosa,ever,167,147,,
wet_scler_UTAS_16,Dodonaea_viscosa,ever,282,108,,
wet_scler_UTAS_16,Eucalyptus_obliqua,ever,3654,157,,
wet_scler_UTAS_16,Nematolepis_squamea,ever,403,140,,
wet_scler_UTAS_16,Olearia_argophylla,ever,3124,120,,
wet_scler_UTAS_16,Pittosporum_bicolor,ever,290,135,,
wet_scler_UTAS_16,Pomaderris_apetala,ever,1301,109,,
wet_scler_UTAS_16,Zieria_arborescens,ever,469,80,,
