Species,Code,Site,Rep no,Area (cm2),Wet weight (g),Dry Weight (g),Leaf Moisture content (g/g),SLA (cm2/g),N (%),other_dry_mass_values
Leptospermum continentale,LEC,Dry,4,0.087,0.0024,0.0016,0.5,54.375,0.93,accurate
Leptospermum continentale,LEC,Dry,5,0.111,0.0032,0.0018,0.7778,61.6667,0.86,accurate
Lomatia fraseri,LOF,Wet,1,29.089,0.6896,0.2894,1.3829,100.5149,0.96,accurate
Lomatia fraseri,LOF,Wet,2,36.539,0.6928,0.3666,0.8898,99.6699,1.09,accurate
Lomatia fraseri,LOF,Wet,3,43.055,1.0923,0.5121,1.133,84.0754,0.94,accurate
Lomatia fraseri,LOF,Wet,4,14.186,0.361,0.1464,1.4658,96.8989,0.92,accurate
Lomatia fraseri,LOF,Wet,5,26.15,0.716,0.3051,1.3468,85.7096,1.03,accurate
Olearia lirata,OLL,Wet,1,13.036,0.1571,0.0391,3.0179,333.4015,1.6,accurate
Olearia lirata,OLL,Wet,2,18.222,0.2644,0.0837,2.1589,217.7061,1.77,accurate
Olearia lirata,OLL,Wet,3,9.177,0.1572,0.0457,2.4398,200.8096,2.09,accurate
Olearia lirata,OLL,Wet,4,18.694,0.2322,0.0622,2.7331,300.5466,2.02,accurate
Olearia lirata,OLL,Wet,5,10.33,0.1595,0.0489,2.2618,211.2474,1.6,accurate
Pomaderris aspera,POA,Wet,1,29.366,0.4599,0.184,1.4995,159.5978,1.83,accurate
Pomaderris aspera,POA,Wet,2,45.949,0.7535,0.3521,1.14,130.4999,1.75,accurate
Pomaderris aspera,POA,Wet,3,36.075,0.5203,0.2139,1.4324,168.6536,1.65,accurate
Pomaderris aspera,POA,Wet,4,30.997,0.4697,0.2205,1.1302,140.576,1.81,accurate
Pomaderris aspera,POA,Wet,5,33.562,0.512,0.2115,1.4208,158.6856,1.83,accurate
Prostanthera lasianthos,PRL,Wet,1,19.064,0.458,0.1105,3.1448,172.5249,2.34,accurate
Prostanthera lasianthos,PRL,Wet,2,29.573,0.6869,0.2603,1.6389,113.6112,2.22,accurate
Prostanthera lasianthos,PRL,Wet,3,27.965,0.6039,0.1472,3.1026,189.9796,2.07,accurate
Prostanthera lasianthos,PRL,Wet,4,13.14,0.2948,0.0787,2.7459,166.9632,1.85,accurate
Prostanthera lasianthos,PRL,Wet,5,14.172,0.4159,0.1081,2.8474,131.1008,1.84,accurate
Pultenaea muelleri,PUM,Wet,1,0.193,0.0024,0.0014,0.7143,137.8571,1.59,accurate
Pultenaea muelleri,PUM,Wet,2,0.233,0.0024,0.0015,0.6,155.3333,1.6,accurate
Pultenaea muelleri,PUM,Wet,3,0.205,0.0022,0.0015,0.4667,136.6667,,accurate
Pultenaea muelleri,PUM,Wet,4,0.261,0.0031,0.0016,0.9375,163.125,1.83,accurate
Pultenaea muelleri,PUM,Wet,5,0.18,0.0021,0.0012,0.75,150,1.6,accurate
Spyridium parvifolium,SPP,Dry,1,1.749,0.0232,0.0114,1.0351,153.4211,1.12,accurate
Spyridium parvifolium,SPP,Dry,2,1.275,0.0216,0.0109,0.9817,116.9725,1.22,accurate
Spyridium parvifolium,SPP,Dry,3,1.039,0.0168,0.0093,0.8065,111.7204,1.17,accurate
Spyridium parvifolium,SPP,Dry,4,2.075,0.0293,0.0134,1.1866,154.8507,1.04,accurate
Spyridium parvifolium,SPP,Dry,5,1.594,0.0263,0.0137,0.9197,116.3504,1.13,accurate
Zieria arborescens subsp. arborescens,ZIA,Wet,1,13.655,0.2415,0.0852,1.8345,160.27,,
Zieria arborescens subsp. arborescens,ZIA,Wet,2,20.745,0.3388,0.1152,1.941,180.0781,2.07,
Zieria arborescens subsp. arborescens,ZIA,Wet,3,16.099,0.3576,0.1429,1.5024,112.6592,2.04,
Zieria arborescens subsp. arborescens,ZIA,Wet,4,15.971,0.296,0.1136,1.6056,140.5898,2,
Zieria arborescens subsp. arborescens,ZIA,Wet,5,21.832,0.4196,0.1259,2.3328,173.4075,2.14,
