site,species_name,Spp,tot lf A,ind lf A,twig A,# lvs,twig L,seed M,SLA
Ku-Ring-Gai Chase National Park,Acacia myrtifolia,AcaMyr,5693,582,5.4,9.8,174,8.9,5.48
Ku-Ring-Gai Chase National Park,Acacia suaveolens,AcaSua,4843,376,4.2,12.9,223,28.49,4.4
Ku-Ring-Gai Chase National Park,Angophora hispida,AngHis,13425,2048,6.7,6.6,141,28.5,4.41
Ku-Ring-Gai Chase National Park,Baeckea brevifolia,BaeBre,79,3,0.4,28,26,0.06,7.22
Ku-Ring-Gai Chase National Park,Banksia oblongifolia,BanObl,27539,1318,17.4,20.9,149,19.92,3.37
Ku-Ring-Gai Chase National Park,Banksia spinulosa,BanSpi,4654,106,2.9,44,87,11.35,3.91
Ku-Ring-Gai Chase National Park,Boronia pinnata,BorPin,2769,240,2.1,11.6,121,1.65,5.39
Ku-Ring-Gai Chase National Park,Bossiaea obcordata,BosObc,100,17,0.2,6,18,3.1,9.37
Ku-Ring-Gai Chase National Park,Corymbia gummifera,CorGum,7817,2270,4.3,3.4,131,7.32,4.61
Ku-Ring-Gai Chase National Park,Dillwynia retorta,DilRet,632,6,0.6,98.9,117,5.5,8.31
Ku-Ring-Gai Chase National Park,Epacris microphylla,EpaMic,455,8,0.4,56.9,118,0.02,10.91
Ku-Ring-Gai Chase National Park,Epacris pulchella,EpaPul,334,9,0.6,38.8,71,0.06,10.78
Ku-Ring-Gai Chase National Park,Eucalyptus capitellata,EucCap,7141,989,2.7,7.2,134,0.8,3.51
Ku-Ring-Gai Chase National Park,Eucalyptus haemostoma,EucHae,33646,4520,16.4,7.4,222,1.74,3.37
Ku-Ring-Gai Chase National Park,Gompholobium glabratum,GomGla,1745,82,3.3,21.3,220,2.71,6.93
Ku-Ring-Gai Chase National Park,Grevillea speciosa,GreSpe,2417,116,2.7,20.8,164,27.4,5.06
Ku-Ring-Gai Chase National Park,Hakea dactyloides,HakDac,9389,531,5.2,17.7,160,20.02,3.31
Ku-Ring-Gai Chase National Park,Hakea teretifolia,HakTer,3897,67,5.7,57.8,425,14.45,1.65
Ku-Ring-Gai Chase National Park,Hibbertia bracteata,HibBra,2077,69,1.7,30,156,3.68,11.04
Ku-Ring-Gai Chase National Park,Isopogon anemonifolius,IsoAne,5353,299,5.1,17.9,94,4.08,3.43
Ku-Ring-Gai Chase National Park,Lambertia formosa,LamFor,2577,158,3.3,16.3,104,25.09,4.29
Ku-Ring-Gai Chase National Park,Leptospermum squarrosum,LepSqu,1310,38,1.3,34.7,214,0.13,5.57
Ku-Ring-Gai Chase National Park,Leptospermum trinervium,LepTri,796,43,0.8,18.6,67,0.19,6.19
Ku-Ring-Gai Chase National Park,Leucopogon esquamatus,LeuEsq,767,33,1,23.6,94,6.42,10.35
Ku-Ring-Gai Chase National Park,Leucopogon microphyllus,LeuMic,72,2,0.3,29.6,36,0.59,8.97
Ku-Ring-Gai Chase National Park,Micrantheum ericoides,MicEri,227,9,0.2,24,61,3.31,9.29
Ku-Ring-Gai Chase National Park,Persoonia levis,PerLev,29781,2553,11.4,11.7,183,225.93,5.46
Ku-Ring-Gai Chase National Park,Persoonia pinifolia,PerPin,7241,38,2.9,191.7,201,174.42,7.6
Ku-Ring-Gai Chase National Park,Petrophile pulchella,PetPul,28379,508,15,55.9,490,7.98,3.89
Ku-Ring-Gai Chase National Park,Phyllanthus hirtellus,PhyHir,213,8,0.7,27.6,65,1.5,7.01
Ku-Ring-Gai Chase National Park,Phyllota phylicoides,PhyPhy,1390,11,1.6,129,123,2.96,7.49
Ku-Ring-Gai Chase National Park,Pultenaea elliptica,PulEll,1849,21,0.8,89.4,97,2.16,8.62
Ku-Ring-Gai Chase National Park,Pultenaea stipularis,PulSti,3994,24,3.3,164.9,132,9.28,7
Round Hill Nature Reserve woodland,Acacia doratoxylon,AcaDor,10236,1035,2.6,9.9,,10.11,4.65
Round Hill Nature Reserve woodland,Brachychiton populneus,BraPop,10082,1334,6.6,7.6,,103.29,8
Round Hill Nature Reserve woodland,Dodonaea viscosa spathulata,DodVisp,1460,266,0.7,5.5,,3.63,7.01
Round Hill Nature Reserve woodland,Eremophila glabra,EreGla,2274,139,2.9,16.3,,3.41,6.23
Round Hill Nature Reserve woodland,Eremophila longifolia,EreLon,6324,261,3.9,24.2,,94.98,3.72
Round Hill Nature Reserve woodland,Philotheca difformis,EriDifW,96,7,0.5,13.5,,1.97,3.7
Round Hill Nature Reserve woodland,Eucalyptus intertexta,EucInt,5599,1028,3.2,5.4,,0.54,6.87
Round Hill Nature Reserve woodland,Geijera parviflora,GeiPar,8953,672,3.9,13.3,,23.91,5.39
Round Hill Nature Reserve woodland,Melaleuca uncinata,MelUnc,338,36,0.8,9.3,,0.06,3.4
Round Hill Nature Reserve woodland,Pimelea microcephala,PimMic,1440,45,1.5,32.1,,7.25,12.22
Round Hill Nature Reserve woodland,Senna artemisioides,SenArt3,2115,203,2.5,10.4,,13.92,3.6
Round Hill Nature Reserve mallee,Acacia colletioides,AcaCol,477,25,3.4,18.8,,5.63,2.23
Round Hill Nature Reserve mallee,Acacia havilandii,AcaHav,947,55,3.5,17.1,,5.02,2.28
Round Hill Nature Reserve mallee,Acacia wilhelmiana,AcaWil,243,18,0.8,13.4,,6.05,5.01
Round Hill Nature Reserve mallee,Bertya cunninghamii,BerCun,117,15,0.7,7.9,,13.32,5.18
Round Hill Nature Reserve mallee,Beyeria opaca,BeyOpa,103,34,0.3,3,,8.58,5.64
Round Hill Nature Reserve mallee,Cassinia laevis,CasLae,704,21,1,34,,0.08,6.26
Round Hill Nature Reserve mallee,Eremophila deserti,EreDes,2022,114,1.6,17.7,,1.84,4.77
Round Hill Nature Reserve mallee,Philotheca difformis,EriDifM,61,5,0.5,11.2,,1.97,4.61
Round Hill Nature Reserve mallee,Eucalyptus dumosa,EucDum,7139,1020,4,7,,0.65,2.82
Round Hill Nature Reserve mallee,Eucalyptus socialis,EucSoc,5509,918,3.3,6,,0.73,3.25
Round Hill Nature Reserve mallee,Eutaxia microphylla,EutMic,53,2,0.2,33.1,,1.5,8.27
Round Hill Nature Reserve mallee,Olearia oswaldii,Olesp,351,34,0.9,10.3,,0.26,5.06
Round Hill Nature Reserve mallee,Olearia pimelioides,OlePim,256,7,0.7,34.4,,0.52,8.09
Round Hill Nature Reserve mallee,Santalum acuminatum,SanAcu,1426,299,1.9,4.8,,537.3,3.32
