Event ID,Accession Number,Scientific Name,Dataset Title,Locality,Decimal Latitude,Decimal Longitude,Seed/gm,Quantity (count),Quantity (g),Thousand Seed Weight,Storage Relative Humidity,Purity,Storage Temperature,Collection Date,Storage Date,Storage Seed Bank,Collector,Pre-Storage Treatment/History,Plant Form,Form in Storage,Cultivated,Duplicates / Replicates,Permit Number,Collection Fill Rate / X-Ray,Publication DOI,Date Tested,Test Length,Number Germinated,Number Full,Number Empty,Number Not Viable,Number Tested,Germination Rate,Adjusted Germination,Viability,Pre-test Processing Notes,Treatment Media/Substrate,Treatment Day Temp,Treatment Night Temp,Treatment Light Hours,Treatment Dark Hours,Treatment Pretreatment
P1993-0480,P1993-0480,Alisma plantago-aquatica,Australian PlantBank,,-34.066667,150.783333,,,,,,,4,,,Australian PlantBank,G. Errington,,,Seed,,,,,,,,,,,,,,,,,,,,,,
P2017-2029,P2017-2029,Maundia triglochinoides,Australian PlantBank,,-30.749722,152.940833,,20000,,,,,-20,,,Australian PlantBank,G.P. Phillips,,,Seed,,,,,,,,,,,,,,,,,,,,,,
P2024-0547,P2024-0547,Aponogeton queenslandicus,Australian PlantBank,,,,,45,,,,,-20,,,Australian PlantBank,L. Watts,,,Seed,,,,,,,,,,,,,,,,,,,,,,
P2006-0158,P2006-0158,Alisma plantago-aquatica,Australian PlantBank,,-34.074167,150.755556,,51150,,,,,-20,,,Australian PlantBank,L.U. Seed,,,Seed,,,,,,,,,,,,,,,,,,,,,,
P1987-0716,P1987-0716,Cycnogeton procerum,Australian PlantBank,,-35.5,139.25,,,,,,,4,,,Australian PlantBank,,,,Seed,,,,,,,,,,,,,,,,,,,,,,
P1988-2186,P1988-2186,Ottelia,Australian PlantBank,,-17.366667,124.533333,,,,,,,4,,,Australian PlantBank,S.W.L. Jacobs,,,Seed,,,,,,,,,,,,,,,,,,,,,,
P1991-1589,P1991-1589,Alisma plantago-aquatica,Australian PlantBank,,-34.066667,150.783333,,,,,,,4,,,Australian PlantBank,P. V. Cuneo,,,Seed,,,,,,,,,,,,,,,,,,,,,,
P1991-2721,P1991-2721,Pothos longipes,Australian PlantBank,,-30.333333,152.8,,,,,,,4,,,Australian PlantBank,,,,Seed,,,,,,,,,,,,,,,,,,,,,,
P1996-2037,P1996-2037,Alisma plantago-aquatica,Australian PlantBank,,,,,,,,,,4,,,Australian PlantBank,D. Bishop,,,Seed,,,,,,,,,,,,,,,,,,,,,,
P2022-0106,P2022-0106,Ottelia ovalifolia,Australian PlantBank,,-30.3275,149.240278,,2600,,,,,-20,,,Australian PlantBank,N.J. Emery,,,Seed,,,,,,,,,,,,,,,,,,,,,,
P2011-1126,P2011-1126,Damasonium minus,Australian PlantBank,,-35.659139,146.670444,,2380,,,,,-20,,,Australian PlantBank,R.L. Johnstone,,,Seed,,,,,,,,,,,,,,,,,,,,,,
P2024-0556,P2024-0556,Aponogeton queenslandicus,Australian PlantBank,,,,,14,,,,,-20,,,Australian PlantBank,J. Farris,,,Seed,,,,,,,,,,,,,,,,,,,,,,
P1993-0229,P1993-0229,Damasonium minus,Australian PlantBank,,-33.616667,150.716667,,,,,,,4,,,Australian PlantBank,G. Errington,,,Seed,,,,,,,,,,,,,,,,,,,,,,
