name_original,metadata_id,primary_source,raw_trait_value ,trait ,units
Cynanchum carnosum,14,13,perennial,longevity,
Cynanchum elegans,14,13,perennial,longevity,
Deeringia amaranthoides,14,13,perennial,longevity,
Deeringia arborescens,14,13,perennial,longevity,
Derris involuta,14,13,perennial,longevity,
Derris scandens,14,13,perennial,longevity,
Derris sp. Daintree ,14,13,perennial,longevity,
Desmodium rhytidophyllum,14,13,perennial,longevity,
Desmodium rhytidophyllum subsp. rhytidophyllum,14,13,perennial,longevity,
Desmodium rhytidophyllumsubsp. acutifoliolum,14,13,perennial,longevity,
Dioscorea transversa,14,13,perennial,longevity,
Diplocyclos palmatus,14,13,perennial,longevity,
Diplocyclos palmatus subsp. affinis,14,13,perennial,longevity,
Diplocyclos palmatus subsp. palmatus,14,13,perennial,longevity,
Echinostephia aculeata,14,13,perennial,longevity,
Embelia australiana,14,13,perennial,longevity,
Eustrephus latifolius,14,13,perennial,longevity,
Eustrephus latifolius subsp. angustifolius,14,13,perennial,longevity,
Eustrephus latifolius var. angustifolius,14,13,perennial,longevity,
Flagellaria indica,14,13,perennial,longevity,
Freycinetia excelsa,14,13,perennial,longevity,
Freycinetia scandens,14,13,perennial,longevity,
Geitonoplesium cymosum,14,13,perennial,longevity,
Glycine clandestina,14,13,perennial,longevity,
Glycine clandestina var .sericea,14,13,perennial,longevity,
Glycine clandestina var. clandestina,14,13,perennial,longevity,
Glycine tabacina,14,13,perennial,longevity,
Gymnanthera oblonga,14,13,perennial,longevity,
Hibbertia dentata,14,13,perennial,longevity,
Hibbertia dentata var calva ,14,13,perennial,longevity,
Hibbertia dentata var dentata,14,13,perennial,longevity,
Hibbertia scandens,14,13,perennial,longevity,
Hibbertia scandens var glabra,14,13,perennial,longevity,
Hibbertia scandens var oxyphylla,14,13,perennial,longevity,
Hibbertia scandens var scandens,14,13,perennial,longevity,
Hippocratea barbata,14,13,perennial,longevity,
Hoya australis,14,13,perennial,longevity,
Hoya australis subsp. australis,14,13,perennial,longevity,
Hoya australis subsp. ormicola,14,13,perennial,longevity,
Hoya australis subsp. rupicola,14,13,perennial,longevity,
Hoya australis subsp. sanae,14,13,perennial,longevity,
Hoya australis subsp. tenuipes ,14,13,perennial,longevity,
Hoya oligotricha,14,13,perennial,longevity,
Hydrocotyle acutiloba,14,13,perennial,longevity,
Hypserpa decumbens,14,13,perennial,longevity,
Hypserpa laurina,14,13,perennial,longevity,
Ipomoea aculeata,14,13,perennial,longevity,
Jasminum dallachi,14,13,perennial,longevity,
Jasminum didymum,14,13,perennial,longevity,
Jasminum didymum subsp didymum,14,13,perennial,longevity,
Jasminum didymum subsp lineare,14,13,perennial,longevity,
Jasminum didymum subsp racemosum,14,13,perennial,longevity,
Jasminum elongatum,14,13,perennial,longevity,
Jasminum simplicifolium subsp. australiense,14,13,perennial,longevity,
Jasminum volubile,14,13,perennial,longevity,
Kennedia rubicunda,14,13,perennial,longevity,
Legnephora moorei,14,13,perennial,longevity,
Maclura cochinchinensis,14,13,perennial,longevity,
Mallotus repandus,14,13,perennial,longevity,
Marsdenia flavescens,14,13,perennial,longevity,
Marsdenia fraseri,14,13,perennial,longevity,
Marsdenia hemiptera,14,13,perennial,longevity,
Marsdenia liisae,14,13,perennial,longevity,
Marsdenia lloydii,14,13,perennial,longevity,
Marsdenia longiloba,14,13,perennial,longevity,
Marsdenia pleiadenia,14,13,perennial,longevity,
Marsdenia rostrata,14,13,perennial,longevity,
Melodinus acutiflorus,14,13,perennial,longevity,
Melodinus australis,14,13,perennial,longevity,
Melodorum leichhardtii,14,13,perennial,longevity,
Melodorum uhrii,14,13,perennial,longevity,
Morinda canthoides,14,13,perennial,longevity,
Morinda jasminoides,14,13,perennial,longevity,
Mucuna gigantea,14,13,perennial,longevity,
Mucuna gigantea subsp. gigantea,14,13,perennial,longevity,
Muehlenbeckia adpressa,14,13,perennial,longevity,
Muehlenbeckia gracillima,14,13,perennial,longevity,
Neosepicaea jucunda,14,13,perennial,longevity,
Pachygone ovata,14,13,perennial,longevity,
Pandorea jasminoides,14,13,perennial,longevity,
Pandorea pandorana,14,13,perennial,longevity,
Pandorea pandorana subsp. austrocaledonica,14,13,perennial,longevity,
Pandorea pandorana subsp. pandorana,14,13,perennial,longevity,
Pararistolochia praevenosa ,14,13,perennial,longevity,
Parsonsia longipetiolata,14,13,perennial,longevity,
Parsonsia rotata,14,13,perennial,longevity,
Parsonsia sankowskyana,14,13,perennial,longevity,
Parsonsia straminea,14,13,perennial,longevity,
Parsonsia velutina ,14,13,perennial,longevity,
Passiflora edulis,14,13,perennial,longevity,
Passiflora herbertiana,14,13,perennial,longevity,
Passiflora herbertiana subsp. herbertiana,14,13,perennial,longevity,
Passiflora herbertiana subsp. insulae-howei,14,13,perennial,longevity,
Passiflora suberosa,14,13,perennial,longevity,
Passiflora subpeltata,14,13,perennial,longevity,
Piper hederaceum,14,13,perennial,longevity,
Piper novae-hollandiae,14,13,perennial,longevity,
Pisonia aculeata,14,13,perennial,longevity,
Pleogyne australis,14,13,perennial,longevity,
Pycnarrhena novoguineensis,14,13,perennial,longevity,
Rhagodia candolleana,14,13,perennial,longevity,
Rhagodia candolleana subsp argentea,14,13,perennial,longevity,
Rhagodia candolleana subsp candolleana,14,13,perennial,longevity,
Rhamnella vitiensis,14,13,perennial,longevity,
Ripogonum album,14,13,perennial,longevity,
Ripogonum discolor,14,13,perennial,longevity,
Ripogonum elseyanum,14,13,perennial,longevity,
Ripopgonum fawcetiianum,14,13,perennial,longevity,
Rourea brachyandra ,14,13,perennial,longevity,
Rubus molluccanus var. trilobus,14,13,perennial,longevity,
Rubus moluccanus,14,13,perennial,longevity,
Rubus nebulosus,14,13,perennial,longevity,
Rubus parvifolius,14,13,perennial,longevity,
Rubus rosifolius,14,13,perennial,longevity,
Salacia chinensis,14,13,perennial,longevity,
Salacia disepala,14,13,perennial,longevity,
Sarcopetalum harveyanum,14,13,perennial,longevity,
Sarcostemma brunonianum,14,13,perennial,longevity,
Sarcostemma viminale subsp. brunonianum,14,13,perennial,longevity,
Secamone elliptica,14,13,perennial,longevity,
Smilax australis,14,13,perennial,longevity,
Smilax blumei,14,13,perennial,longevity,
Smilax calophylla,14,13,perennial,longevity,
Smilax glyciphylla,14,13,perennial,longevity,
Stephania japonica,14,13,perennial,longevity,
Stephania japonica var. discolor,14,13,perennial,longevity,
Stephania japonica var. japonica,14,13,perennial,longevity,
Stephania japonica var. timorensis,14,13,perennial,longevity,
Stictocardia tiliifolia,14,13,perennial,longevity,
Tetragonia implexicoma,14,13,perennial,longevity,
Tetrastigma nitens,14,13,perennial,longevity,
Tetrastigma thorsborneorum,14,13,perennial,longevity,
Tinospora tinosporoides,14,13,perennial,longevity,
Tragia novae-hollandiae,14,13,perennial,longevity,
Trophis scandens,14,13,perennial,longevity,
Trophis scandens subsp. megacarpa,14,13,perennial,longevity,
Trophis scandens subsp. scandens,14,13,perennial,longevity,
Tylophora barbata,14,13,perennial,longevity,
Tylophora benthamii,14,13,perennial,longevity,
Uvaria concava,14,13,perennial,longevity,
Vandasina retusa,14,13,perennial,longevity,
Vigna vexillata,14,13,perennial,longevity,
Vigna vexillata  var. youngiana,14,13,perennial,longevity,
Vigna vexillata var. angustifolia,14,13,perennial,longevity,
Derris sp. Daintree ,10,9,2,dispersal mode,
Freycinetia excelsa,10,9,1?,dispersal mode,
Freycinetia scandens,10,9,1?,dispersal mode,
Gymnanthera oblonga,10,9,2,dispersal mode,
Hypserpa decumbens,10,9,1,dispersal mode,
Ipomoea aculeata,10,9,2,dispersal mode,
Jasminum didymum,10,9,1,dispersal mode,
Jasminum didymum subsp didymum,10,9,1,dispersal mode,
Jasminum didymum subsp lineare,10,9,1,dispersal mode,
Jasminum didymum subsp racemosum,10,9,1,dispersal mode,
Rhamnella vitiensis,10,9,1,dispersal mode,
Sarcostemma brunonianum,10,9,2,dispersal mode,
Sarcostemma viminale subsp. brunonianum,10,9,2,dispersal mode,
Sicyos australis,10,9,1,dispersal mode,
Carissa ovata,12,11,1,dispersal mode,
Cayratia eurynema,12,11,1,dispersal mode,
Celastrus subspicata,12,11,1,dispersal mode,
Cissus opaca,12,11,1,dispersal mode,
Deeringia amaranthoides,12,11,1,dispersal mode,
Desmodium rhytidophyllum,12,11,1,dispersal mode,
Desmodium rhytidophyllum subsp. rhytidophyllum,12,11,1,dispersal mode,
Desmodium rhytidophyllumsubsp. acutifoliolum,12,11,1,dispersal mode,
Hibbertia scandens,12,11,1,dispersal mode,
Hibbertia scandens var glabra,12,11,1,dispersal mode,
Hibbertia scandens var oxyphylla,12,11,1,dispersal mode,
Hibbertia scandens var scandens,12,11,1,dispersal mode,
Jasminum simplicifolium subsp. australiense,12,11,1,dispersal mode,
Melodinus acutiflorus,12,11,1,dispersal mode,
Melodorum leichhardtii,12,11,1,dispersal mode,
Morinda canthoides,12,11,1,dispersal mode,
Passiflora edulis,12,11,1,dispersal mode,
Passiflora herbertiana,12,11,1,dispersal mode,
Passiflora herbertiana subsp. herbertiana,12,11,1,dispersal mode,
Passiflora herbertiana subsp. insulae-howei,12,11,1,dispersal mode,
Passiflora suberosa,12,11,1,dispersal mode,
Passiflora subpeltata,12,11,1,dispersal mode,
Piper hederaceum,12,11,1,dispersal mode,
Piper novae-hollandiae,12,11,1,dispersal mode,
Ripogonum album,12,11,1,dispersal mode,
Ripogonum discolor,12,11,1,dispersal mode,
Ripopgonum fawcetiianum,12,11,1,dispersal mode,
Rubus molluccanus var. trilobus,12,11,1,dispersal mode,
