genus,species,form,height,stem diameter,fruits,dispersers,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,species_name,flowering_span,fruiting_span
Acronychia,acidulat,tree,27,NA,drupe,"Cassowary, Sulphur-crested Cockatoo, Spotted Catbird, King Parrot, Spectacled Flying-fox, Lumholtz Tree-Kangaroo, fruit-doves & pigeons",10,23,13,27,3,5,Acronychia acidulat,111100000000,000111111000
Acronychia,acronychioides,tree,25,NA,drupe,Cassowary & fruit-doves,12,15,12,15,4,4,Acronychia acronychioides,001111111000,000001111111
Acronychia,acuminata,tree,8,NA,drupe,NA,14,14,14,14,4,5,Acronychia acuminata,000111000000,001111000000
Acronychia,baeuerlenii,tree,9,0.2,drupe,NA,NA,15,NA,15,3,5,Acronychia baeuerlenii,110000000111,001110000000
Acronychia,chooreechillum,tree,18,NA,drupe,Golden Bowerbird (bower decoration),20,20,15,15,4,4,Acronychia chooreechillum,000111111100,000111111100
Acronychia,crassipetala,tree,18,NA,drupe,Spotted Catbird,20,30,20,30,4,4,Acronychia crassipetala,110000000111,011000000000
Acronychia,eugellensis,tree,20,NA,drupe,NA,10,10,10,10,5,5,Acronychia eugellensis,000000000100,000100000000
Acronychia,imperforata,tree,16,0.3,drupe,NA,10,12,12,15,4,6,Acronychia imperforata,000111111000,000001111100
Acronychia,laevis,tree,12,0.08,drupe,Topknot Pigeon & fruit-doves,8,10,6,14,4,4,Acronychia laevis,001111111110,000011111110
Acronychia,littoralis,tree,8,0.35,drupe,NA,10,15,10,15,8,12,Acronychia littoralis,110000000000,000011110000
Acronychia,oblongifolia,tree,21,0.3,drupe,"Green Catbird, Pied Currawong, Regent Bowerbird, Satin Bowerbird, Topknot Pigeon & Wompoo Fruit-dove",13,13,13,13,3,5,Acronychia oblongifolia,111110000000,000011111110
Acronychia,parviflora,tree,4,NA,drupe,NA,9,10,10,14,3,8,Acronychia parviflora,111111111111,011111111111
Acronychia,pauciflora,tree,10,0.1,drupe,NA,7,9,7,9,NA,NA,Acronychia pauciflora,111111000001,000000111110
Acronychia,pubescens,tree,15,0.18,drupe,NA,25,25,25,25,NA,NA,Acronychia pubescens,001111000000,111111111111
Acronychia,suberosa,tree,18,0.3,drupe,NA,13,13,13,13,4,4,Acronychia suberosa,111100000000,001111000000
Acronychia,vestitta,tree,20,NA,drupe,"Cassowary, Wompoo Fruit-dove & Musky Rat-kangaroo",15,24,15,24,5,5,Acronychia vestitta,011000000000,000111111110
Acronychia,wilcoxiana,tree,15,0.25,drupe,Wompoo Fruit-dove,10,20,10,20,4,4,Acronychia wilcoxiana,111110000000,001110000000
Boronia,alulata,shrub,3,NA,capsule,NA,6,6,6,6,3,3,Boronia alulata,011111111000,011111100000
Boronia,excelsa,shrub,3,NA,capsule,NA,4,5,2,2,3,3,Boronia excelsa,000001100000,000001100000
Bosistoa,floydii,tree,20,0.75,cocci,NA,10,10,NA,NA,6,6,Bosistoa floydii,000000000110,010000000000
Bosistoa,medicinalis,tree,20,NA,capsule,NA,8,12,8,10,8,9,Bosistoa medicinalis,111111111111,111110000111
Bosistoa,monotsylis,tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bosistoa monotsylis,NA,NA
Bosistoa,pentacocca,tree,16,0.25,capsule,NA,20,22,15,25,15,20,Bosistoa pentacocca,010000000000,111111111111
Bosistoa,selwynii,tree,22,0.5,cocci,NA,NA,NA,NA,NA,10,10,Bosistoa selwynii,001110000000,000000000110
Bosistoa,transversa,tree,15,0.2,cocci,NA,NA,NA,10,13,10,10,Bosistoa transversa,111000000000,000011100000
Bouchardatia,neurococca,tree,15,0.15,cocci,NA,6,10,NA,NA,5,8,Bouchardatia neurococca,111110000000,001111110000
Brombya,(Gap Creek),tree,7,NA,capsule,NA,7,7,4,4,NA,NA,Brombya (Gap Creek),000000001111,000000011110
Brombya,platynema,tree,20,NA,capsule,King Parrot,4,5,2,4,2,3,Brombya platynema,111111111111,001111110000
Citrus,garrawayi,tree,12,NA,berry,NA,70,100,20,35,7,7,Citrus garrawayi,000011111110,000111111110
Citrus,inodora,tree,6,NA,berry,NA,35,68,24,28,5,6,Citrus inodora,000000011000,001111111000
Citrus,x limon,tree,6,NA,berry,cockatoos,60,110,70,110,NA,NA,Citrus x limon,100000000000,000000100000
Clausena,brevistyla,tree,8,NA,berry,NA,6,16,6,16,9,12,Clausena brevistyla,111000111111,111110000001
Coatesia,paniculata,tree,6,NA,capsule or follicle,NA,4,6,4,6,NA,NA,Coatesia paniculata,000000001100,110000000000
Correa,lawrenciana lawrenciana,tree,16,0.22,cocci,NA,NA,NA,NA,NA,NA,NA,Correa lawrenciana lawrenciana,110000000001,NA
Dinosperma,erythrococcum,tree,25,NA,capsule,King Parrot,4,9,4,5,4,6,Dinosperma erythrococcum,000111111100,111111000111
Dinosperma,longifolium,tree,7,NA,capsule,NA,17,20,12,13,13,13,Dinosperma longifolium,111111100000,000000001000
Dinosperma,melanophloia,tree,25,NA,capsule,NA,8,11,NA,NA,6,8,Dinosperma melanophloia,111110000011,001111111110
Dinosperma,stipitatum,tree,15,NA,capsule,NA,10,15,13,13,10,10,Dinosperma stipitatum,111111111001,100000011111
Eriostemon,banksii,tree,6,NA,capsule or follicle,NA,7,10,NA,NA,5,5,Eriostemon banksii,011111111000,000000001000
Euodia,hylandii,tree,6,NA,capsule,NA,5,5,NA,NA,2,2,Euodia hylandii,111111111111,111111111000
Euodia,micrococca,tree,35,0.6,NA,"Brown Cuckoo-dove, Crimson Rosella, Green Catbird & Lewin's Honeyeater",6,10,NA,NA,3,4,Euodia micrococca,111000000011,111111000000
Euodia,pubifolia,tree,8,NA,capsule,NA,5,6,NA,NA,4,4,Euodia pubifolia,000001111100,100000000111
Euodia,sp.,tree,20,0.3,cocci,NA,NA,NA,NA,NA,NA,NA,Euodia sp.,110000000000,001110000000
Euodia,vitiflora,tree,14,0.18,NA,NA,5,5,NA,NA,NA,NA,Euodia vitiflora,000000000110,011111000000
Flindasia,acuminata,tree,40,NA,capsule,NA,90,150,NA,NA,65,80,Flindasia acuminata,100000000011,111001111111
Flindasia,australis,tree,40,1.8,capsule,NA,50,100,NA,NA,35,50,Flindasia australis,110000011111,101111111111
Flindasia,bennettiana,tree,40,0.9,capsule,NA,50,80,NA,NA,40,40,Flindasia bennettiana,011111110000,110000000011
Flindasia,bourjotiana,tree,35,NA,capsule,Sulphur-crested Cockatoo & Giant White-tailed Rat,70,150,NA,NA,35,70,Flindasia bourjotiana,100111111111,100000011111
Flindasia,brassii,tree,30,NA,capsule,NA,70,110,NA,NA,50,70,Flindasia brassii,111000000000,000000111100
Flindasia,brayleyana,tree,35,NA,capsule,NA,60,100,NA,NA,65,65,Flindasia brayleyana,100000000011,100000111111
Flindasia,collina,tree,25,0.6,capsule,NA,28,50,NA,NA,15,25,Flindasia collina,000001111100,010000000000
