genus,species,form,height,stem diameter,fruits,dispersers,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,species_name,flowering_span,fruiting_span
Acanthus,ilicifolius,shrub,3,NA,capsule,NA,17,25,9,12,6,12,Acanthus ilicifolius,111000111111,111000000001
Asystasia,(Newcastle Bay),herb,1,NA,capsule,NA,15,28,3,5,3,5,Asystasia (Newcastle Bay),000111110000,000111110000
Asystasia,australiasica,herb,0.5,NA,capsule,NA,22,22,4,4,2,3,Asystasia australiasica,111111111111,000000100000
Barleria,cristata,shrub,2,NA,capsule,NA,9,9,4,4,NA,NA,Barleria cristata,111111110000,111111110000
Brillantaisia,lamium,shrub,2,NA,capsule,NA,25,40,2,3,1,2,Brillantaisia lamium,100011111111,000000011100
Dicliptera,spicata,herb/shrub,1,NA,capsule,NA,3,3,1,1,1,2,Dicliptera spicata,000011111110,000011111110
Dipteracanthus,australasicus,herb/shrub,1.5,NA,capsule,NA,7,17,5,5,NA,NA,Dipteracanthus australasicus,111111111111,001100000000
Graptophyllum,excelsum,shrub,3,NA,capsule,NA,17,27,NA,NA,3,5,Graptophyllum excelsum,110001111111,110001111111
Graptophyllum,ilicifolium,tree,10,NA,capsule,NA,10,26,NA,NA,NA,NA,Graptophyllum ilicifolium,000000100000,000000111111
Graptophyllum,spinigerum,shrub,3 (rarely to 8),NA,capsule,NA,15,20,NA,NA,NA,NA,Graptophyllum spinigerum,000000111100,000000000011
Harnieria,hygrophiloides,herb,2,NA,capsule,NA,8,10,NA,NA,2,2,Harnieria hygrophiloides,011111111111,000111111111
Hemigraphis,alternata,herb,prostrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hemigraphis alternata,000000001111,NA
Hemigraphis,royenii,herb,prostrate,NA,capsule,NA,8,9,NA,NA,1,2,Hemigraphis royenii,000001111111,000000000100
Hypoestes,floribunda,herb/shrub,1.2,NA,capsule,NA,9,13,NA,NA,1,2,Hypoestes floribunda,111111111110,100001111111
Hypoestes,phyllostachya,herb/shrub,1,NA,capsule,NA,10,12,NA,NA,2,3,Hypoestes phyllostachya,000000000010,111111000000
Justicia,betonica,shrub,2,NA,capsule,NA,8,10,NA,NA,NA,NA,Justicia betonica,000011110000,000000010000
Lepidagathis,royenii,herb,0.3,NA,capsule,NA,4,5,NA,NA,NA,NA,Lepidagathis royenii,000000000111,NA
Odontonema,tubaceforme,shrub,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Odontonema tubaceforme,001110000000,NA
Peristrophe,brassii,herb/shrub,1,NA,capsule,NA,8,10,NA,NA,2,2,Peristrophe brassii,000001110000,000001110000
Pseuderanthemum,variabile,herb/shrub,1,NA,capsule,NA,10,15,NA,NA,3,3,Pseuderanthemum variabile,111110000011,111110000011
Rhaphidospora,cavernarum,herb/shrub,1,NA,capsule,NA,11,18,NA,NA,2,3,Rhaphidospora cavernarum,001111100000,000111100000
Rostelllaria,adscendes,herb,0.5,NA,capsule,NA,3,7,NA,NA,1,1,Rostelllaria adscendes,111111111111,000100000000
Sanchezia,parvibracteata,shrub,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sanchezia parvibracteata,011111111000,NA
Stephanophysum,longifolium,shrub,1.5,NA,capsule,NA,13,20,3,3,2,3,Stephanophysum longifolium,000011000000,000011000000
Thunbergia,alata,vine,NA,NA,capsule,NA,16,20,6,8,4,4,Thunbergia alata,000111100000,111111100001
Thunbergia,arnhemica,vine,NA,NA,capsule,NA,20,24,10,12,5,6,Thunbergia arnhemica,NA,001110000000
Thunbergia,grandiflora,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thunbergia grandiflora,000001100000,NA
Thunbergia,laurifolia,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thunbergia laurifolia,100000000111,NA
Thunbergia,mysorensis,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thunbergia mysorensis,111111111111,NA
Sauraia,andreana,tree,6,NA,berry,NA,5,15,5,15,0.5,0.5,Sauraia andreana,110001111111,111000000000
Akania,lucens,tree,25,0.45,capsule,NA,10,12,NA,NA,NA,NA,Akania lucens,000000001110,011110000000
Alangium,(Claudie River),tree,25,NA,drupe,NA,13,17,8,12,12,13,Alangium (Claudie River),111111100000,000000000111
Alangium,villosum polysmoides,tree,20,0.9,drupe,"fruit-doves, Topnot Pigeon, Regent Bowerbird, & Spotted Catbird",10,20,9,10,10,17,Alangium villosum polysmoides,000000111100,111000000011
Alangium,villosum tomentosum,tree,9,NA,drupe,fruit-doves & Spotted Catbird,19,19,10,11,15,15,Alangium villosum tomentosum,001111111000,000000100000
Crispiloba,disperma,shrub,4,NA,berry,NA,15,28,10,15,8,11,Crispiloba disperma,111000000011,011100000000
Achyranthes,aspera,herb,1.5,NA,nut,NA,2,3,NA,NA,1,2,Achyranthes aspera,000111000000,000111000000
Amaranthus,hybridus,herb,2,NA,nut,NA,1,1,1,1,1,1,Amaranthus hybridus,001000000000,001111111000
Amaranthus,spinosus,herb,1,NA,follicle,NA,1,2,NA,NA,1,1,Amaranthus spinosus,111111110000,001111110000
Cyathula,prostrata,herb,0.6,NA,nut,NA,1,4,2,3,NA,NA,Cyathula prostrata,011111100000,001111100000
Deeringia,amaranthoides,vine/shrub,NA,NA,berry,NA,5,9,4,7,1,1,Deeringia amaranthoides,111111001111,111111110000
Deeringia,arborescens,vine,NA,NA,berry,NA,NA,NA,3,4,NA,NA,Deeringia arborescens,000000111111,100000000011
Crinum,pedunculatum,lily,2,NA,capsule,NA,30,50,25,50,22,40,Crinum pedunculatum,110000000111,110000000001
Proiphys,alba,lily,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proiphys alba,110000000011,NA
Proiphys,amboinensis,lily,1,NA,capsule,NA,25,30,15,30,10,12,Proiphys amboinensis,111100000001,111110000000
Proiphys,infundibularis,lily,0.5,NA,capsule,NA,20,35,10,20,10,12,Proiphys infundibularis,100000000111,110000000111
Belpharocarya,involucrigera,tree,40,NA,nutlet,Double-eyed Fig Parrot & King Parrot,7,10,4,5,NA,NA,Belpharocarya involucrigera,111100011111,111100011111
Buchanania,arborescens,tree,25,NA,drupe,"fruit-doves, Metallic Starlings & Fawn-breasted Bowerbirds",9,12,10,10,NA,NA,Buchanania arborescens,000000111100,100000000111
Buchanania,mangoides,tree,13,NA,drupe,NA,7,7,7,7,NA,NA,Buchanania mangoides,000000001000,000000001111
Euroschinus,falcata,tree,30,0.9,drupe,many bird species,7,9,7,9,NA,NA,Euroschinus falcata,000000001110,110000000011
Mangifera,indica,tree,20,NA,drupe,many bird & mammal species,100,150,NA,NA,NA,NA,Mangifera indica,000000111100,100000000001
Rhodsphaera,rhodanthema,tree,27,0.75,drupe,Green Catbird,10,10,10,10,9,9,Rhodsphaera rhodanthema,000000001100,011111000000
Rhus,taitensis,tree,30,NA,drupe,Metallic Starling,6,8,4,8,2,3,Rhus taitensis,111100000000,000011111000
Semecarpus,australiensis,tree,40,NA,nut,Cassowary,15,35,20,37,NA,NA,Semecarpus australiensis,000000001110,110000000011
Pleiogynum,timorense,tree,20,NA,drupe,Cassowary & Great Bowerbird,20,28,20,38,5,12,Pleiogynum timorense,000000001111,000111111100
Annona,glabra,tree,6,NA,berry,"Cassowary, lorikeets & Spectacled Flying-foxes",50,80,50,80,12,12,Annona glabra,000000001111,111111000111
Annona,reticulata,tree,10,NA,berry,Brsuh Turkey,50,70,45,60,10,10,Annona reticulata,000000000001,000000001000
Annona,squamosa,tree,8,NA,berry,Spectacled Flying-fox,50,100,50,100,12,16,Annona squamosa,110000001111,000011111000
Artabotrys,(Claudie River),vine,NA,NA,berry,NA,30,35,18,22,15,17,Artabotrys (Claudie River),000000001110,111100000001
Canaga,odorata,tree,30,NA,berry,"Cassowary, Figbird & pigeons",20,25,10,18,8,8,Canaga odorata,111111101111,001111111110
Cyathostemma,micrantum,vine,NA,NA,berry,Pied Imperial-pigeon,5,15,5,13,8,10,Cyathostemma micrantum,100000000001,011111111000
Desmos,(Mossman River),vine,NA,NA,berry,NA,15,65,10,10,8,8,Desmos (Mossman River),110000000001,000000001111
Desmos,goezeanus,vine,NA,NA,berry,NA,35,80,5,10,10,10,Desmos goezeanus,000000001110,000111111110
Desmos,wardianus,vine/shrub,NA,NA,berry,NA,10,45,5,5,6,7,Desmos wardianus,111000000001,000001100000
Fitzalania,heteropetala,shrub,5,NA,berry,many bird species,20,38,10,20,11,11,Fitzalania heteropetala,111111000111,111111111001
Goniothalamus,australiasica,tree,30,NA,berry,"Cassowary, Giant White-tailed Rat",30,60,15,25,15,20,Goniothalamus australiasica,111000001111,111000000111
Haplostichanthus,(Cooper Creek),shrub,3,NA,berry,NA,12,14,12,14,9,10,Haplostichanthus (Cooper Creek),100000011111,010000000000
Haplostichanthus,(Johnstone River),tree,7,NA,berry,NA,10,15,10,12,5,10,Haplostichanthus (Johnstone River),111110000001,111000000111
Haplostichanthus,(Mt Finnigan),shrub,3,NA,berry,NA,12,13,9,10,NA,NA,Haplostichanthus (Mt Finnigan),110000000011,000000000010
Haplostichanthus,(Rocky River Scrub),shrub,3,NA,berry,NA,7,11,7,9,6,8,Haplostichanthus (Rocky River Scrub),111111000111,000011111100
Haplostichanthus,(Topaz),shrub,5,NA,berry,NA,11,19,11,16,7,9,Haplostichanthus (Topaz),111100001111,001111111110
Haplostichanthus,johnsonii,shrub,4,NA,berry,NA,10,18,8,16,4,9,Haplostichanthus johnsonii,111100000111,000001111111
Meiogyne,(Henrietta Creek),shrub,3,NA,berry,NA,20,38,10,14,7,9,Meiogyne (Henrietta Creek),000000000011,001000000000
Meiogyne,(Mt Lewis),shrub,3,NA,berry,NA,25,25,13,13,7,7,Meiogyne (Mt Lewis),000000111111,000110000000
Meiogyne,(Tingle Scrub),tree,7,NA,berry,NA,12,40,10,21,7,13,Meiogyne (Tingle Scrub),111111100001,111111111111
Meiogyne,cilindocarpa,tree,8,NA,berry,Rose-crowned Fruit-dove,12,33,9,16,7,9,Meiogyne cilindocarpa,000000100000,000001110000
Meiogyne,stenopetala,tree,5,0.4,berry,NA,10,25,NA,NA,7,9,Meiogyne stenopetala,111100000011,110000011111
Melodorum,(Claudie River),vine,NA,NA,berry,NA,19,50,18,20,8,10,Melodorum (Claudie River),111100000001,011000000000
Melodorum,(Font Hills),vine/shrub,NA,NA,berry,NA,22,55,10,35,10,10,Melodorum (Font Hills),000000000111,011110000000
Melodorum,(Stone Crossing),vine,NA,NA,berry,NA,7,20,8,8,5,5,Melodorum (Stone Crossing),111000000001,111000000000
Melodorum,(Topaz),vine,NA,NA,berry,NA,10,20,10,10,3,3,Melodorum (Topaz),111000000000,111000000000
Melodorum,leichhardtii,vine/shrub,NA,NA,berry,"Lewin's Honeyeater, Metallic Starling, Satin Bowerbird, Cassowary, pigeons & doves",11,45,8,15,6,8,Melodorum leichhardtii,000000011111,111111111111
Melodorum,uhrii,vine,NA,NA,berry,NA,10,18,8,13,8,10,Melodorum uhrii,111111000011,100000000111
Miliusa,brahei,tree,30,NA,berry,NA,9,27,10,15,7,10,Miliusa brahei,111100000011,100000000001
Miliusa,horsfieldii,tree,33,NA,berry,NA,20,35,17,20,10,10,Miliusa horsfieldii,000000001111,100000000000
Miliusa,traceyi,tree,12,NA,berry,NA,9,15,10,14,7,7,Miliusa traceyi,000000000010,111000000111
Mitrephora,diversifolia,tree,15,NA,berry,Cassowary,28,34,20,28,10,13,Mitrephora diversifolia,110000000011,011000000000
Polyalthia,(Wyvur),tree,25,NA,berry,NA,25,35,21,40,25,40,Polyalthia (Wyvur),000100000000,000000000111
Polyalthia,australis,tree,20,NA,berry,Pied Imperial-pigeon,12,20,9,13,16,16,Polyalthia australis,010000000000,110000000001
Polyalthia,michaelii,tree,25,NA,berry,Cassowary & Spectacled Flying-fox,30,58,30,50,25,40,Polyalthia michaelii,111111000011,111111111111
Polyalthia,nitidissima,tree,18,0.3,berry,pigeons,8,14,6,9,6,7,Polyalthia nitidissima,111000000001,111111111111
Pseuduvaria,froggatti,tree,15,NA,berry,Cassowary,15,25,11,18,8,13,Pseuduvaria froggatti,000000001111,100000000001
Pseuduvaria,hylandii,tree,7,NA,berry,NA,17,23,14,16,8,11,Pseuduvaria hylandii,000000001100,010000000000
Pseuduvaria,mulgraveana glabrescens,tree,7,NA,berry,NA,15,22,10,10,8,8,Pseuduvaria mulgraveana glabrescens,100000000011,100000000111
Pseuduvaria,mulgraveana mulgraveana,tree,7,NA,berry,NA,12,22,10,11,NA,NA,Pseuduvaria mulgraveana mulgraveana,111111000111,100011111111
Pseuduvaria,villosa,shrub,6,NA,berry,NA,15,20,10,10,10,13,Pseuduvaria villosa,111111000001,110000011111
Uvaria,concava,vine/shrub,NA,NA,berry,NA,15,45,15,30,12,12,Uvaria concava,111110000011,001111000000
Uvaria,rufa,vine/shrub,NA,NA,berry,NA,25,48,20,30,9,13,Uvaria rufa,111000000111,111100000000
Xylopia,(Bertiehaugh Homestead),tree,18,NA,berry,NA,15,24,16,18,10,10,Xylopia (Bertiehaugh Homestead),000001111000,000000111110
Xylopia,maccreae,tree,25,NA,berry,NA,35,50,20,25,10,12,Xylopia maccreae,111000000000,111000000111
Centella,asiatica,herb,prostrate,NA,schizocarp,NA,2,3,3,3,NA,NA,Centella asiatica,111000011111,111111110011
Hydrocotyle,acutiloba,herb,prostrate,NA,schizocarp,NA,1,1,1,1,NA,NA,Hydrocotyle acutiloba,111110001111,111000011111
Hydrocotyle,digitata,herb,prostrate,NA,schizocarp,NA,1,1,1,1,NA,NA,Hydrocotyle digitata,100000000111,100000000111
Hydrocotyle,miranda,herb,prostrate,NA,schizocarp,NA,1,1,1,2,NA,NA,Hydrocotyle miranda,000111000000,011111000000
Trachymene,geraniifolia,herb,0.3,NA,a pair of mericarps,NA,4,4,4,4,NA,NA,Trachymene geraniifolia,000000001111,000000000011
Trachymene,hookeri,shrub,2,NA,a pair of mericarps,NA,2,3,2,2,2,2,Trachymene hookeri,011111000000,000111000000
Parsonsia,kroombitensis,climber,2,NA,capsule?,NA,40,100,7,10,NA,NA,Parsonsia kroombitensis,000000001111,000000001000
Allamanda,cathartica,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allamanda cathartica,011111111100,NA
Alstonia,actinophylla,tree,35,NA,follicle,NA,130,210,4,5,5,6,Alstonia actinophylla,000000111110,000001111110
Alstonia,constricta,tree,15,0.3,follicle,NA,70,260,10,10,6,7,Alstonia constricta,000001111111,110000000001
Alstonia,muelleriana,tree,25,NA,follicle,NA,120,470,6,9,5,6,Alstonia muelleriana,111110001111,111110011111
Alstonia,scholaris,tree,40,NA,follicle,NA,150,450,4,6,4,5,Alstonia scholaris,100000001111,111100000000
Alstonia,spectabilis,tree,25,NA,follicle,NA,200,400,8,12,5,8,Alstonia spectabilis,111110000000,000000111000
Alyxia,grandis,vine,15,NA,drupe,Golden Bowerbird,17,24,11,15,NA,NA,Alyxia grandis,111111111111,111111111111
Alyxia,ilicifolia,shrub,5,NA,drupe,NA,11,23,6,12,NA,NA,Alyxia ilicifolia,111111111111,111111111111
Alyxia,oblongata,shrub,5,NA,drupe,NA,6,20,5,15,8,10,Alyxia oblongata,111111111111,111110011111
Alyxia,orophila,shrub,5,NA,drupe,Cassowary,7,11,4,10,6,8,Alyxia orophila,111111111111,111111111111
Alyxia,ruscifolia,shrub,5,NA,drupe,NA,6,20,5,15,8,13,Alyxia ruscifolia,111111111111,111111111111
Alyxia,spicata,shrub,NA,NA,drupe,Cassowary & Pied Imperial-pigeon,7,16,7,13,8,13,Alyxia spicata,100001111111,111111111111
Asclepias,curassavica,shrub,1.5,NA,follicle,NA,50,90,8,10,NA,NA,Asclepias curassavica,111000001111,111111111111
Calotropis,procera,shrub,4,NA,follicle,NA,100,130,60,70,8,10,Calotropis procera,111100000011,000011100000
Carissa,lanceolata,shrub,3,NA,berry,NA,6,13,5,10,6,6,Carissa lanceolata,111111111111,111111111111
Carissa,laxiflora,vine/shrub,2,NA,berry,NA,10,15,7,12,NA,NA,Carissa laxiflora,111111111111,111111111111
Carissa,ovata,vine/shrub,4,NA,berry,Regent Bowerbird & Satin Bowerbird,10,22,7,15,6,7,Carissa ovata,111111111111,111111111111
Cascabela,thevetica,shrub,4,NA,drupe,NA,20,40,30,50,14,14,Cascabela thevetica,111111111111,111111111111
Catharanthus,roseus,herb/shrub,1,NA,follicle,NA,25,35,NA,NA,2,2,Catharanthus roseus,111111111111,111111111111
Cerbera,floribunda,tree,30,NA,drupe,Cassowary & Palm Cockatoo,56,110,40,65,NA,NA,Cerbera floribunda,111111111100,111111111100
Cerbera,inflata,tree,30,NA,drupe,Cassowary,60,70,20,35,NA,NA,Cerbera inflata,111111110000,111000000011
Cerbera,manghas,tree,12,NA,drupe,NA,60,80,35,65,NA,NA,Cerbera manghas,111111111111,111110011111
Ceropegia,cumingiana,vine,NA,NA,follicle,NA,160,260,3,5,10,14,Ceropegia cumingiana,111110000000,000111111100
Chonemorpha,fragrans,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chonemorpha fragrans,100000000011,NA
Cryptostegia,grandiflora,vine/shrub,NA,NA,follicle,NA,105,140,20,45,8,8,Cryptostegia grandiflora,111111111111,111111111111
Cynanchum,bowmanii,vine,NA,NA,follicle,NA,60,95,20,20,NA,NA,Cynanchum bowmanii,111100000011,001111111000
Cynanchum,carnosum,vine,NA,NA,follicle,NA,50,90,9,13,5,7,Cynanchum carnosum,111111110000,001110000000
Cynanchum,leptolepis,vine,NA,NA,follicle,NA,50,70,15,15,8,8,Cynanchum leptolepis,111100000011,111111110000
Cynanchum,ovalifolium,vine,NA,NA,follicle,NA,70,115,44,48,11,11,Cynanchum ovalifolium,111100000011,000011110000
Cynanchum,pedunculatum,vine,NA,NA,follicle,NA,35,90,17,35,6,13,Cynanchum pedunculatum,111000000011,011111100000
Dischidia,littoralis,vine,NA,NA,follicle,NA,50,55,3,3,2,3,Dischidia littoralis,000000000001,NA
Dischidia,major,vine,NA,NA,follicle,NA,45,80,3,4,3,3,Dischidia major,111111111111,111111111111
Dischidia,nummularia,vine,NA,NA,follicle,NA,25,40,6,6,3,3,Dischidia nummularia,111111111111,111111111111
Dischidia,ovata,vine,NA,NA,follicle,NA,45,65,3,4,2,2,Dischidia ovata,111111111111,111111111111
Finlaysonia,obovata,vine,NA,NA,follicle,NA,50,80,NA,NA,NA,NA,Finlaysonia obovata,001000000000,NA
Gomphocarpus,physocarpus,shrub,2,NA,follicle,NA,50,75,40,55,6,10,Gomphocarpus physocarpus,111111111111,111111111111
Gunnessia,pepo,vine,NA,NA,follicle,NA,NA,80,25,30,6,9,Gunnessia pepo,111110001111,111111111001
Gymnanthera,oblonga,vine,NA,NA,follicle,NA,12,30,12,30,NA,NA,Gymnanthera oblonga,111100011111,011111100000
Hetrostemma,acuminatum,vine,NA,NA,follicle,NA,100,150,5,8,13,15,Hetrostemma acuminatum,111100000011,000111100000
Hoya,anulata,vine,NA,NA,follicle,NA,70,140,NA,NA,NA,NA,Hoya anulata,000000001100,111100000001
Hoya,australis,vine,NA,NA,follicle,NA,70,180,4,6,3,5,Hoya australis,001111111100,110001111111
Hoya,macgillivrayi,vine,NA,NA,follicle,NA,215,250,16,16,7,7,Hoya macgillivrayi,000011111100,110000011111
Hoya,pottsii,vine,NA,NA,follicle,NA,80,180,7,7,NA,NA,Hoya pottsii,000000001111,110000000011
Hoya,revoluta,vine,NA,NA,follicle,NA,165,165,5,5,NA,NA,Hoya revoluta,110000011111,NA
Hoya,sussuela,vine,NA,NA,follicle,NA,140,200,40,40,8,8,Hoya sussuela,001100000000,000001110000
Ichnocarpus,frutescens,vine,NA,NA,follicle,NA,55,145,5,5,7,20,Ichnocarpus frutescens,111100000001,000000111000
Ichnocarpus,rhombifolius,vine,NA,NA,follicle,NA,200,240,3,4,15,22,Ichnocarpus rhombifolius,100000000111,111000000001
Kopsia,arborea,tree,20,NA,berry,NA,18,30,8,16,17,29,Kopsia arborea,000000001111,000011111111
Marsdenia,connivens,vine,NA,NA,follicle,NA,30,60,5,7,5,6,Marsdenia connivens,111000000001,001111000000
Marsdenia,cymulosa,vine,NA,NA,follicle,NA,65,100,15,18,5,12,Marsdenia cymulosa,111100000011,000011100000
Marsdenia,geminata,vine,NA,NA,follicle,NA,25,50,16,25,5,8,Marsdenia geminata,111100000011,011111110000
Marsdenia,glandulifera,vine,NA,NA,follicle,NA,70,70,50,50,NA,NA,Marsdenia glandulifera,000001111100,100000001111
Marsdenia,hemiptera,vine,NA,NA,follicle,NA,100,100,25,25,7,8,Marsdenia hemiptera,111000000011,011111100000
Marsdenia,jensenii,vine,NA,NA,follicle,NA,145,145,55,55,NA,NA,Marsdenia jensenii,011000000000,000000100000
Marsdenia,lloydii,vine,NA,NA,follicle,NA,40,60,30,35,NA,NA,Marsdenia lloydii,111000000011,000111100000
Marsdenia,longipedicellata,vine,NA,NA,follicle,NA,50,65,8,9,12,13,Marsdenia longipedicellata,111000000001,000000010000
Marsdenia,micradenia,vine,NA,NA,follicle,NA,40,50,30,40,5,6,Marsdenia micradenia,111100000111,000111100000
Marsdenia,microlepis,vine,NA,NA,follicle,NA,60,75,25,30,6,8,Marsdenia microlepis,111100000011,011111110000
Marsdenia,paludicola,vine,NA,NA,follicle,NA,170,200,50,60,10,10,Marsdenia paludicola,000000000001,NA
Marsdenia,pleiadenia,vine,NA,NA,follicle,NA,50,80,4,7,7,8,Marsdenia pleiadenia,111111001111,001111100000
Marsdenia,rostrata,vine,NA,NA,follicle,NA,55,100,15,40,7,10,Marsdenia rostrata,111100001111,111111111000
Marsdenia,straminea,vine,NA,NA,follicle,NA,80,95,6,7,10,12,Marsdenia straminea,110000000011,000000000100
Marsdenia,suborbicularis,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marsdenia suborbicularis,NA,NA
Marsdenia,tricholepis,vine,NA,NA,follicle,NA,50,60,40,45,5,6,Marsdenia tricholepis,111000000011,000111000000
Marsdenia,velutina,vine,NA,NA,follicle,NA,40,80,14,25,7,9,Marsdenia velutina,110000000011,001111100000
Marsdenia,viridiflora,vine,NA,NA,follicle,NA,70,95,22,28,NA,NA,Marsdenia viridiflora,111100000011,000111111000
Melodinus,acutiflorus,vine,NA,NA,berry,NA,28,70,25,70,3,5,Melodinus acutiflorus,111111100001,000110000000
Melodinus,australis,vine,NA,NA,berry,"Cassowary, Sulphur-crested Cockatoo, Spotted Catbird, Lewin's Honeyeater & Musky Rat-kangaroo",60,150,15,50,5,7,Melodinus australis,111100000001,111100000001
Melodinus,bacellianus,vine,NA,NA,berry,NA,50,72,25,60,7,11,Melodinus bacellianus,111111111111,011111111100
Melodinus,forbesii,vine,NA,NA,berry,NA,40,62,45,62,NA,NA,Melodinus forbesii,000000000100,000000000100
Neisosperma,kilneri,tree,20,NA,drupe,NA,45,73,25,45,48,70,Neisosperma kilneri,000110000000,000011100000
Neisosperma,poweri,tree,10,0.15,drupe,Musky Rat-kangaroo & Giant White-tailed Rat,25,45,10,20,22,40,Neisosperma poweri,111111111111,111111111111
Ochrosia,elliptica,tree,6,NA,drupe,NA,30,60,20,45,45,45,Ochrosia elliptica,111111111111,000111111111
Ochrosia,minima,tree,5,NA,drupe,NA,12,20,6,14,NA,NA,Ochrosia minima,111111000001,000001111100
Ochrosia,moorei,tree,11,0.25,drupe,NA,40,80,NA,NA,10,14,Ochrosia moorei,110000000001,110000000001
Parsonsia,bartlensis,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parsonsia bartlensis,000001000000,NA
Parsonsia,blakeana,vine,NA,NA,capsule,NA,110,130,15,30,8,8,Parsonsia blakeana,000000011100,000000001000
Parsonsia,densivestita,vine,NA,NA,capsule,NA,120,230,18,25,NA,NA,Parsonsia densivestita,000000001111,100000000111
Parsonsia,eucalyptophylla,vine,NA,NA,capsule,NA,50,60,10,20,NA,NA,Parsonsia eucalyptophylla,111000000011,111111111111
Parsonsia,feruginea,vine,NA,NA,capsule,NA,50,120,14,30,NA,NA,Parsonsia feruginea,000111111100,000111111100
Parsonsia,grayana,vine,NA,NA,capsule,NA,100,255,5,14,NA,NA,Parsonsia grayana,111111111111,111000000000
Parsonsia,lanceolata,vine,NA,NA,capsule,NA,60,120,5,10,NA,NA,Parsonsia lanceolata,111111000011,111111110000
Parsonsia,langiana,vine,NA,NA,capsule,NA,100,210,4,10,NA,NA,Parsonsia langiana,011111100000,000111111111
Parsonsia,latifolia,vine,NA,NA,capsule,Lewin's Honeyeater,130,190,20,40,10,15,Parsonsia latifolia,110000000111,111100001111
Parsonsia,leichhardtii,vine,NA,NA,capsule,NA,50,80,18,30,6,6,Parsonsia leichhardtii,000000111111,000000011000
Parsonsia,lenticellata,vine,NA,NA,capsule,NA,70,110,5,9,NA,NA,Parsonsia lenticellata,111111100000,000011111100
Parsonsia,longipetiolata,vine,NA,NA,capsule,NA,110,150,5,13,NA,NA,Parsonsia longipetiolata,111100000001,000000011111
Parsonsia,paulforsteri,vine,NA,NA,capsule,NA,60,80,7,9,NA,NA,Parsonsia paulforsteri,111111111111,000011111000
Parsonsia,plaesiophylla,vine,NA,NA,capsule,NA,65,135,15,17,NA,NA,Parsonsia plaesiophylla,111000000111,011111100000
Parsonsia,rotata,vine,NA,NA,capsule,NA,150,200,20,50,NA,NA,Parsonsia rotata,111110000000,111111111000
Parsonsia,straminea,vine,NA,NA,capsule,NA,90,270,10,18,NA,NA,Parsonsia straminea,111111111111,100000111111
Parsonsia,velutina,vine,NA,NA,capsule,NA,70,160,4,14,NA,NA,Parsonsia velutina,111111111111,111111110001
Parsonsia,ventricosa,vine,NA,NA,capsule,NA,90,150,6,12,8,8,Parsonsia ventricosa,111110000011,001111111000
Parsonsia,wildensis,vine,NA,NA,capsule,NA,130,140,6,7,NA,NA,Parsonsia wildensis,111111000000,000100000000
Parsonsia,wongabelensis,vine,NA,NA,capsule,NA,170,220,10,20,15,15,Parsonsia wongabelensis,100000000000,110000000001
Phyllanthera,grayi,vine,NA,NA,follicle,NA,90,150,35,45,13,13,Phyllanthera grayi,000000000111,000000001100
Sarcolobus,hullsii,vine,NA,NA,follicle,NA,100,130,15,20,9,9,Sarcolobus hullsii,111000000011,000000010000
Sarcolobus,vittatus,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sarcolobus vittatus,001100000000,NA
Sarcostemma,viminale,vine,NA,NA,follicle,NA,50,140,3,4,5,5,Sarcostemma viminale,111111111111,000000000110
Secamone,auriculata,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Secamone auriculata,NA,NA
Secamone,elliptica,vine,NA,NA,follicle,NA,35,100,5,12,7,10,Secamone elliptica,111100000111,001111110000
Secamone,lineata,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Secamone lineata,111000000000,NA
Tabernaemontana,orientalis,tree,NA,NA,follicle,NA,17,30,NA,NA,NA,NA,Tabernaemontana orientalis,111111111111,111111111111
Tabernaemontana,pandacaqui,shrub,4,NA,follicle,NA,20,50,6,11,4,7,Tabernaemontana pandacaqui,111000000011,111111111000
Tylophora,benthamii,vine,NA,NA,follicle,NA,70,120,10,10,9,10,Tylophora benthamii,111111111111,111111111111
Tylophora,colorata,vine,NA,NA,follicle,NA,60,90,8,13,NA,NA,Tylophora colorata,111111100011,001111100000
Tylophora,flexuosa,vine,NA,NA,follicle,NA,60,80,6,14,NA,NA,Tylophora flexuosa,111100000011,001111100000
Tylophora,grandiflora,vine,NA,NA,follicle,NA,70,100,6,8,6,8,Tylophora grandiflora,111110000111,000111000000
Tylophora,wiliamsii,vine,NA,NA,follicle,NA,50,55,20,20,NA,NA,Tylophora wiliamsii,111000000011,111111000000
