abbrev,individual_id,max_lumen_width,min_lumen_width,wall_thickness,replicates_conduit,collector_conduit,fresh_vol,dry_mass,wood_density,replicates_wood,collector_wood,leaf_area_mm2,leaf_fresh_mass_g,leaf_dry_mass_g,leaf_mass_per_area_g_m2,leaf_dry_matter_content,replicates_leaf,collector_leaf,leaf_type,family,genus,current_taxon,don_abbrev,old_taxon,older_taxon,red_book_hmax_m,height_notes,leaflets,deciduous,diaspore_type,dispersal_mode,seed_dispersal_uncertain,showy_fruit_no_reward,diaspore_diam_mm_lower,diaspore_diam_mm_upper,mean_diaspore_diam_mm,diaspore_notes,diaspore_measurement_notes,fruit_type,fruit_diam_mm_lower,fruit_diam_mm_upper,fruit_notes,Butler_dispersal_mode,Butler_seed_diam_mm,seed_notes
acacfasc,1_conduit,0.02358,0.00936,0.001868667,15,Julian,,,,,,,,,,,,,,Fabaceae,Acacia,Acacia fasciculifera,,,,20,,1,0,seed,myrmecochory,,no,5.5,,5.5,white funicle,used Butler,pod,10,13,brown,un,5.5,
acacfasc,2_conduit,0.02203,0.00377,0.002451111,15,Julian,,,,,,,,,,,,,,Fabaceae,Acacia,Acacia fasciculifera,,,,20,,1,0,seed,myrmecochory,,no,5.5,,5.5,white funicle,used Butler,pod,10,13,brown,un,5.5,
acacfasc,3_conduit,0.02203,0.00377,0.002451111,15,Julian,,,,,,,,,,,,,,Fabaceae,Acacia,Acacia fasciculifera,,,,20,,1,0,seed,myrmecochory,,no,5.5,,5.5,white funicle,used Butler,pod,10,13,brown,un,5.5,
acacmela,1_conduit,0.017163,0.005386,0.002546867,15,Alison,,,,,,,,,,,,,,Fabaceae,Acacia,Acacia melanoxylon,acacmela,,,30,,1,0,seed_aril,endozoochory,,,2.5,,2.5,aril-like funicle,used Butler,pod,3.5,8,brown,ae,2.5,
acacmela,2_conduit,0.022783,0.00311,0.002397422,15,Alison,,,,,,,,,,,,,,Fabaceae,Acacia,Acacia melanoxylon,acacmela,,,30,,1,0,seed_aril,endozoochory,,,2.5,,2.5,aril-like funicle,used Butler,pod,3.5,8,brown,ae,2.5,
acacmela,3_conduit,0.014598,0.004015,0.002261578,15,Alison,,,,,,,,,,,,,,Fabaceae,Acacia,Acacia melanoxylon,acacmela,,,30,,1,0,seed_aril,endozoochory,,,2.5,,2.5,aril-like funicle,used Butler,pod,3.5,8,brown,ae,2.5,
acalcapi,1_conduit,0.01175,0.00594,0.001896,15,Ella,,,,,,,,,,,,,,Euphorbiaceae,Acalypha,Acalypha capillipes,acalcapi,,,4,,1,0,seed,myrmecochory,,no,1,,1,,used Butler,capsule,2,3,green,un,1,
acalcapi,2_conduit,0.01613,0.00569,0.002598667,15,Ella,,,,,,,,,,,,,,Euphorbiaceae,Acalypha,Acalypha capillipes,acalcapi,,,4,,1,0,seed,myrmecochory,,no,1,,1,,used Butler,capsule,2,3,green,un,1,
acalcapi,3_conduit,0.02221,0.0057,0.002882889,15,Ella,,,,,,,,,,,,,,Euphorbiaceae,Acalypha,Acalypha capillipes,acalcapi,,,4,,1,0,seed,myrmecochory,,no,1,,1,,used Butler,capsule,2,3,green,un,1,
ackapani,1_conduit,0.05114,0.01575,0.001538889,15,Julian,,,,,,,,,,,,,,Cunoniaceae,Ackama,Ackama paniculosa,,Caldcluvia paniculosa,,40,,5,0,seed,anemochory,,,1,,1,,used Butler,capsule,2,3,brown,wa,1,
ackapani,2_conduit,0.036,0.01158,0.001286889,15,Julian,,,,,,,,,,,,,,Cunoniaceae,Ackama,Ackama paniculosa,,Caldcluvia paniculosa,,40,,5,0,seed,anemochory,,,1,,1,,used Butler,capsule,2,3,brown,wa,1,
ackapani,3_conduit,0.0362,0.01407,0.001441778,15,Julian,,,,,,,,,,,,,,Cunoniaceae,Ackama,Ackama paniculosa,,Caldcluvia paniculosa,,40,,5,0,seed,anemochory,,,1,,1,,used Butler,capsule,2,3,brown,wa,1,
acmehemi,1_conduit,0.02607,0.0089,0.002285778,15,Julian,,,,,,,,,,,,,,Myrtaceae,Acmena,Acmena hemilampra,,,,35,,1,0,berry,endozoochory,,,10,20,15,white,,berry,10,20,white,ae,8,
acmehemi,2_conduit,0.048,0.01369,0.002283667,20,Julian,,,,,,,,,,,,,,Myrtaceae,Acmena,Acmena hemilampra,,,,35,,1,0,berry,endozoochory,,,10,20,15,white,,berry,10,20,white,ae,8,
acmeinge,1_conduit,0.02352,0.00932,0.001679556,15,Julian,,,,,,,,,,,,,,Myrtaceae,Acmena,Acmena ingens,,,,40,,1,0,berry,endozoochory,,,20,40,30,red,,berry,20,40,red,ae,18,
acmeinge,2_conduit,0.01958,0.00925,0.001741111,15,Julian,,,,,,,,,,,,,,Myrtaceae,Acmena,Acmena ingens,,,,40,,1,0,berry,endozoochory,,,20,40,30,red,,berry,20,40,red,ae,18,
acmeinge,3_conduit,0.01939,0.0083,0.001995778,15,Julian,,,,,,,,,,,,,,Myrtaceae,Acmena,Acmena ingens,,,,40,,1,0,berry,endozoochory,,,20,40,30,red,,berry,20,40,red,ae,18,
acmesmit,1_conduit,0.014853,0.00562,0.002015289,15,Alison,,,,,,,,,,,,,,Myrtaceae,Acmena,Acmena smithii,acmesmit,Syzygium smithii,,10,,1,0,berry,endozoochory,,,5,20,12.5,purple,,berry,5,20,purple,ae,7,
acmesmit,2_conduit,0.01146,0.005042,0.0016018,15,Alison,,,,,,,,,,,,,,Myrtaceae,Acmena,Acmena smithii,acmesmit,Syzygium smithii,,10,,1,0,berry,endozoochory,,,5,20,12.5,purple,,berry,5,20,purple,ae,7,
acmesmit,3_conduit,0.013632,0.005487,0.0018898,15,Alison,,,,,,,,,,,,,,Myrtaceae,Acmena,Acmena smithii,acmesmit,Syzygium smithii,,10,,1,0,berry,endozoochory,,,5,20,12.5,purple,,berry,5,20,purple,ae,7,
acraeudi,1_conduit,0.03982,0.01158,0.001690444,15,Julian,,,,,,,,,,,,,,Rutaceae,Acadenia,Acradenia euodiiformis,,,,20,,3,0,seed,myrmecochory,,no,4,8,6,,assumed 1mm thick walls,follicle,6,10,brown,ae,3.5,Seed 5mm long. Assming 2mm width.
acraeudi,2_conduit,0.03414,0.01449,0.001465333,15,Julian,,,,,,,,,,,,,,Rutaceae,Acadenia,Acradenia euodiiformis,,,,20,,3,0,seed,myrmecochory,,no,4,8,6,,assumed 1mm thick walls,follicle,6,10,brown,ae,3.5,Seed 5mm long. Assming 2mm width.
acraeudi,3_conduit,0.03041,0.01277,0.001312667,15,Julian,,,,,,,,,,,,,,Rutaceae,Acadenia,Acradenia euodiiformis,,,,20,,3,0,seed,myrmecochory,,no,4,8,6,,assumed 1mm thick walls,follicle,6,10,brown,ae,3.5,Seed 5mm long. Assming 2mm width.
acrobaeu,1_conduit,0.02673,0.01301,0.001943778,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia baeuerlenii,,,,9,,1,0,drupe,endozoochory,,,8,12,10,green,,drupe,8,12,green,ae,4,Seed 3-5mm long. Roughly round in shape.
acrobaeu,2_conduit,0.02987,0.00483,0.002274222,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia baeuerlenii,,,,9,,1,0,drupe,endozoochory,,,8,12,10,green,,drupe,8,12,green,ae,4,Seed 3-5mm long. Roughly round in shape.
acroimpe,1_conduit,0.03252,0.0152,0.001772667,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia imperforata,,,,15,,1,0,drupe,endozoochory,,,7,10,8.5,yellow,,drupe,7,10,yellow,ae,5,Seeds 4-6mm long.
acroimpe,2_conduit,0.03126,0.01015,0.001689778,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia imperforata,,,,15,,1,0,drupe,endozoochory,,,7,10,8.5,yellow,,drupe,7,10,yellow,ae,5,Seeds 4-6mm long.
acroimpe,3_conduit,0.03939,0.01244,0.001900667,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia imperforata,,,,15,,1,0,drupe,endozoochory,,,7,10,8.5,yellow,,drupe,7,10,yellow,ae,5,Seeds 4-6mm long.
acrolaev,1_conduit,0.025457,0.003596,0.002057711,15,Alison,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia laevis,acrolaev,,,15,,1,0,drupe,endozoochory,,,6,8,7,pink,,drupe,6,8,pink,ae,3,
acrolaev,2_conduit,0.027369,0.00852,0.002408556,15,Alison,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia laevis,acrolaev,,,15,,1,0,drupe,endozoochory,,,6,8,7,pink,,drupe,6,8,pink,ae,3,
acrolaev,3_conduit,0.0222,0.007948,0.002154044,15,Alison,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia laevis,acrolaev,,,15,,1,0,drupe,endozoochory,,,6,8,7,pink,,drupe,6,8,pink,ae,3,
acrooblo,1_conduit,0.02776,0.01178,0.001914667,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia oblongifolia,,,,20,,1,0,drupe,endozoochory,,,11,15,13,white,,drupe,11,15,white,ae,3,
acropauc,1_conduit,0.01325,0.00591,0.002844444,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia pauciflora,,,,10,,1,0,drupe,endozoochory,,,7,9,8,pale green,,drupe,7,9,pale green,ae,2,
acropauc,2_conduit,0.0159,0.00675,0.002805778,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia pauciflora,,,,10,,1,0,drupe,endozoochory,,,7,9,8,pale green,,drupe,7,9,pale green,ae,2,
acropauc,3_conduit,0.01839,0.00683,0.002478222,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia pauciflora,,,,10,,1,0,drupe,endozoochory,,,7,9,8,pale green,,drupe,7,9,pale green,ae,2,
acropube,1_conduit,0.04127,0.00945,0.001906,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia pubescens,,,,15,,3,0,drupe,endozoochory,,,15,30,22.5,white,,drupe,15,30,white,ae,3,
acropube,2_conduit,0.03465,0.01298,0.002060222,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia pubescens,,,,15,,3,0,drupe,endozoochory,,,15,30,22.5,white,,drupe,15,30,white,ae,3,
acropube,3_conduit,0.03788,0.01987,0.002184889,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia pubescens,,,,15,,3,0,drupe,endozoochory,,,15,30,22.5,white,,drupe,15,30,white,ae,3,
acrosube,1_conduit,0.04012,0.01223,0.001748667,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia suberosa,,,,18,,3,0,drupe,endozoochory,,,10,15,12.5,white,,drupe,10,15,white,ae,3.5,
acrosube,2_conduit,0.04061,0.01409,0.001727333,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia suberosa,,,,18,,3,0,drupe,endozoochory,,,10,15,12.5,white,,drupe,10,15,white,ae,3.5,
acrosube,3_conduit,0.03348,0.01584,0.001636889,15,Julian,,,,,,,,,,,,,,Rutaceae,Acronychia,Acronychia suberosa,,,,18,,3,0,drupe,endozoochory,,,10,15,12.5,white,,drupe,10,15,white,ae,3.5,
actelind,1_conduit,0.017647,0.005971,0.003771667,15,Alison,,,,,,,,,,,,,,Phyllanthaceae,Actephila,Actephila lindleyi,actelind,,,9,,1,0,seed,endozoochory,uncertain,no,4,,4,,used Butler,capsule,10,12,green,un,4,
actelind,2_conduit,0.014872,0.008277,0.003405527,15,Alison,,,,,,,,,,,,,,Phyllanthaceae,Actephila,Actephila lindleyi,actelind,,,9,,1,0,seed,endozoochory,uncertain,no,4,,4,,used Butler,capsule,10,12,green,un,4,
actelind,3_conduit,0.022172,0.010484,0.003532889,15,Alison,,,,,,,,,,,,,,Phyllanthaceae,Actephila,Actephila lindleyi,actelind,,,9,,1,0,seed,endozoochory,uncertain,no,4,,4,,used Butler,capsule,10,12,green,un,4,
akanbidw,1_conduit,0.05525,0.01975,0.001741333,15,Julian,,,,,,,,,,,,,,Akaniaceae,Akania,Akania bidwillii,,Akania lucens,,20,,15,0,seed,endozoochory,,yes,10,,10,yellow,,capsule,25,,red,eu,8,
akanbidw,2_conduit,0.05444,0.01976,0.001913556,15,Julian,,,,,,,,,,,,,,Akaniaceae,Akania,Akania bidwillii,,Akania lucens,,20,,15,0,seed,endozoochory,,yes,10,,10,yellow,,capsule,25,,red,eu,8,
akanbidw,3_conduit,0.04966,0.01953,0.001613556,15,Julian,,,,,,,,,,,,,,Akaniaceae,Akania,Akania bidwillii,,Akania lucens,,20,,15,0,seed,endozoochory,,yes,10,,10,yellow,,capsule,25,,red,eu,8,
alanvill,1_conduit,0.01708,0.00834,0.001998667,15,Julian,,,,,,,,,,,,,,Cornaceae,Alangium,Alangium villosum,,,,20,,1,0,drupe,endozoochory,,,10,20,15,black,,drupe,10,20,black,ae,7,
alanvill,2_conduit,0.02594,0.01505,0.002876667,15,Julian,,,,,,,,,,,,,,Cornaceae,Alangium,Alangium villosum,,,,20,,1,0,drupe,endozoochory,,,10,20,15,black,,drupe,10,20,black,ae,7,
alanvill,3_conduit,0.01432,0.00743,0.002126889,15,Julian,,,,,,,,,,,,,,Cornaceae,Alangium,Alangium villosum,,,,20,,1,0,drupe,endozoochory,,,10,20,15,black,,drupe,10,20,black,ae,7,
alchilic,1_conduit,0.01672,0.00618,0.002551111,15,Julian,,,,,,,,,,,,,,Euphorbiaceae,Alchornea,Alchornea ilicifolia,alchilic,,,7,,1,0,seed,myrmecochory,uncertain,no,4,,4,,used Butler,capsule,6,8,green,un,4,
alchilic,2_conduit,0.01614,0.00454,0.002293778,15,Julian,,,,,,,,,,,,,,Euphorbiaceae,Alchornea,Alchornea ilicifolia,alchilic,,,7,,1,0,seed,myrmecochory,uncertain,no,4,,4,,used Butler,capsule,6,8,green,un,4,
alchilic,3_conduit,0.01547,0.00589,0.002551111,15,Julian,,,,,,,,,,,,,,Euphorbiaceae,Alchornea,Alchornea ilicifolia,alchilic,,,7,,1,0,seed,myrmecochory,uncertain,no,4,,4,,used Butler,capsule,6,8,green,un,4,
alecconn,1_conduit,0.03583,0.00904,0.001552,15,Julian,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon connatus,,,,12,,4,0,seed_aril,endozoochory,,,5,,5,red aril,used Butler,capsule,12,17,yellow,ae,5,
alecconn,2_conduit,0.03614,0.0122,0.001681111,15,Julian,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon connatus,,,,12,,4,0,seed_aril,endozoochory,,,5,,5,red aril,used Butler,capsule,12,17,yellow,ae,5,
alecconn,3_conduit,0.02504,0.0076,0.001534444,15,Julian,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon connatus,,,,12,,4,0,seed_aril,endozoochory,,,5,,5,red aril,used Butler,capsule,12,17,yellow,ae,5,
alecdive,1_conduit,0.009955,0.004077,0.001748267,15,Alison,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon diversifolius,alecdive,,,4,,1,0,seed_aril,endozoochory,,,6,10,8,red aril,assumed 2mm thick walls,capsule,10,14,green,ae,4,
alecdive,2_conduit,0.01677,0.00683,0.001782889,15,Julian,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon diversifolius,alecdive,,,4,,1,0,seed_aril,endozoochory,,,6,10,8,red aril,assumed 2mm thick walls,capsule,10,14,green,ae,4,
alecdive,3_conduit,0.02415,0.00846,0.001576222,15,Julian,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon diversifolius,alecdive,,,4,,1,0,seed_aril,endozoochory,,,6,10,8,red aril,assumed 2mm thick walls,capsule,10,14,green,ae,4,
alecsubc,1_conduit,0.04344,0.01188,0.002002444,15,Julian,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon subcinereus,,,,18,,5,0,seed_aril,endozoochory,,,6,8,7,red aril,assumed 1mm thick walls,capsule,8,10,green,ae,5,
alecsubc,2_conduit,0.03741,0.01535,0.001636,15,Julian,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon subcinereus,,,,18,,5,0,seed_aril,endozoochory,,,6,8,7,red aril,assumed 1mm thick walls,capsule,8,10,green,ae,5,
alecsubc,3_conduit,0.0353,0.01198,0.001602444,15,Julian,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon subcinereus,,,,18,,5,0,seed_aril,endozoochory,,,6,8,7,red aril,assumed 1mm thick walls,capsule,8,10,green,ae,5,
alecsubd,1_conduit,0.02684,0.00736,0.001996222,15,Ella,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon subdentatus,alecsubd,,,11,,5,0,seed_aril,endozoochory,,,5,10,7.5,red aril,assumed 1.5mm thick walls,capsule,8,13,green,ae,5,
alecsubd,2_conduit,0.01957,0.00611,0.001997556,15,Ella,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon subdentatus,alecsubd,,,11,,5,0,seed_aril,endozoochory,,,5,10,7.5,red aril,assumed 1.5mm thick walls,capsule,8,13,green,ae,5,
alecsubd,3_conduit,0.02441,0.00962,0.002156889,15,Ella,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon subdentatus,alecsubd,,,11,,5,0,seed_aril,endozoochory,,,5,10,7.5,red aril,assumed 1.5mm thick walls,capsule,8,13,green,ae,5,
alectome,1_conduit,0.03198,0.00938,0.002014667,15,Julian,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon tomentosus,,,,15,,6,0,seed_aril,endozoochory,,,5,9,7,red aril,assumed 1.5mm thick walls,capsule,8,12,green,ae,5,
alectome,2_conduit,0.0472,0.01492,0.002134889,15,Julian,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon tomentosus,,,,15,,6,0,seed_aril,endozoochory,,,5,9,7,red aril,assumed 1.5mm thick walls,capsule,8,12,green,ae,5,
alectome,3_conduit,0.03376,0.01036,0.002274667,15,Julian,,,,,,,,,,,,,,Sapindaceae,Alectryon,Alectryon tomentosus,,,,15,,6,0,seed_aril,endozoochory,,,5,9,7,red aril,assumed 1.5mm thick walls,capsule,8,12,green,ae,5,
alphexce,1_conduit,0.02124,0.01019,0.002399111,15,Julian,,,,,,,,,,,,,,Rhamnaceae,Alphitonia,Alphitonia excelsa,alphexce,,,20,,1,1,drupe,endozoochory,,,6,10,8,drupaceous,assumed fresh state,drupe,6,10,black,ae,3,
alstcons,1_conduit,0.020573,0.007197,0.002323667,15,Alison,,,,,,,,,,,,,,Apocynaceae,Alstonia,Alstonia constricta,alstcons,,,18,,1,0,seed,anemochory,,,5,,5,,used Butler,follicle,7,,green,wa,5,
alstcons,2_conduit,0.02351,0.011037,0.002011667,15,Alison,,,,,,,,,,,,,,Apocynaceae,Alstonia,Alstonia constricta,alstcons,,,18,,1,0,seed,anemochory,,,5,,5,,used Butler,follicle,7,,green,wa,5,
alstcons,3_conduit,0.021139,0.010052,0.001895022,15,Alison,,,,,,,,,,,,,,Apocynaceae,Alstonia,Alstonia constricta,alstcons,,,18,,1,0,seed,anemochory,,,5,,5,,used Butler,follicle,7,,green,wa,5,
alyxmagn,1_conduit,0.014,0.00632,0.002504222,15,Julian,,,,,,,,,,,,,,Apocynaceae,Alyxia,Alyxia magnifolia,,,,5,,1,0,drupe,endozoochory,,,11,23,17,red,,drupe,11,23,red,ae,5,
alyxmagn,2_conduit,0.01078,0.00488,0.002095333,15,Julian,,,,,,,,,,,,,,Apocynaceae,Alyxia,Alyxia magnifolia,,,,5,,1,0,drupe,endozoochory,,,11,23,17,red,,drupe,11,23,red,ae,5,
alyxrusc,1_conduit,0.00706,0.003229,0.0020434,15,Alison,,,,,,,,,,,,,,Apocynaceae,Alyxia,Alyxia ruscifolia,alyxrusc,,,5,,1,0,drupe,endozoochory,,,8,15,11.5,orange,,drupe,8,15,orange,ae,5,
alyxrusc,2_conduit,0.010659,0.003114,0.001994644,15,Alison,,,,,,,,,,,,,,Apocynaceae,Alyxia,Alyxia ruscifolia,alyxrusc,,,5,,1,0,drupe,endozoochory,,,8,15,11.5,orange,,drupe,8,15,orange,ae,5,
alyxrusc,3_conduit,0.010324,0.004742,0.002338422,15,Alison,,,,,,,,,,,,,,Apocynaceae,Alyxia,Alyxia ruscifolia,alyxrusc,,,5,,1,0,drupe,endozoochory,,,8,15,11.5,orange,,drupe,8,15,orange,ae,5,
amoranti,1_conduit,0.01404,0.00617,0.002174889,15,Julian,,,,,,,,,,,,,,Sapotaceae,Amorphospermum,Amorphospermum antilogum,,Niemeyera antiloga,,20,,1,0,berry,endozoochory,,,30,65,47.5,purple,,berry,30,65,purple,ae,30,
amoranti,2_conduit,0.01331,0.0061,0.001876444,15,Julian,,,,,,,,,,,,,,Sapotaceae,Amorphospermum,Amorphospermum antilogum,,Niemeyera antiloga,,20,,1,0,berry,endozoochory,,,30,65,47.5,purple,,berry,30,65,purple,ae,30,
amoranti,3_conduit,0.021,0.00742,0.002014889,15,Julian,,,,,,,,,,,,,,Sapotaceae,Amorphospermum,Amorphospermum antilogum,,Niemeyera antiloga,,20,,1,0,berry,endozoochory,,,30,65,47.5,purple,,berry,30,65,purple,ae,30,
anopmacl,1_conduit,0.02282,0.01089,0.001676222,15,Julian,,,,,,,,,,,,,,Escalloniaceae,Anopterus,Anopterus macleayanus,,,,20,,1,0,seed,anemochory,,,5,,5,,used Butler,capsule,20,,brown,wa,5,
anopmacl,2_conduit,0.02692,0.00858,0.001644,15,Julian,,,,,,,,,,,,,,Escalloniaceae,Anopterus,Anopterus macleayanus,,,,20,,1,0,seed,anemochory,,,5,,5,,used Butler,capsule,20,,brown,wa,5,
anopmacl,3_conduit,0.02472,0.00963,0.001800444,15,Julian,,,,,,,,,,,,,,Escalloniaceae,Anopterus,Anopterus macleayanus,,,,20,,1,0,seed,anemochory,,,5,,5,,used Butler,capsule,20,,brown,wa,5,
anthniti,1_conduit,0.020866,0.00814,0.001984067,15,Alison,,,,,,,,,,,,,,Meliaceae,Anthocarapa,Anthocarapa nitidula,anthniti,,,27,,4,0,seed_aril,endozoochory,,,10,,10,red aril,used Butler,capsule,10,25,yellow,eu,10,
anthniti,2_conduit,0.019466,0.006419,0.002309311,15,Alison,,,,,,,,,,,,,,Meliaceae,Anthocarapa,Anthocarapa nitidula,anthniti,,,27,,4,0,seed_aril,endozoochory,,,10,,10,red aril,used Butler,capsule,10,25,yellow,eu,10,
anthniti,3_conduit,0.022806,0.010828,0.0018842,15,Alison,,,,,,,,,,,,,,Meliaceae,Anthocarapa,Anthocarapa nitidula,anthniti,,,27,,4,0,seed_aril,endozoochory,,,10,,10,red aril,used Butler,capsule,10,25,yellow,eu,10,
aphaphil,1_conduit,0.01708,0.00475,0.001799333,15,Julian,,,,,,,,,,,,,,Cannabaceae,Aphananthe,Aphananthe philippinensis,aphaphil,,,35,,1,0,drupe,endozoochory,,,7,10,8.5,black,,drupe,7,10,black,ae,3.5,
aphaphil,2_conduit,0.01465,0.00414,0.001887111,15,Julian,,,,,,,,,,,,,,Cannabaceae,Aphananthe,Aphananthe philippinensis,aphaphil,,,35,,1,0,drupe,endozoochory,,,7,10,8.5,black,,drupe,7,10,black,ae,3.5,
aphaphil,3_conduit,0.01521,0.00401,0.001724444,15,Julian,,,,,,,,,,,,,,Cannabaceae,Aphananthe,Aphananthe philippinensis,aphaphil,,,35,,1,0,drupe,endozoochory,,,7,10,8.5,black,,drupe,7,10,black,ae,3.5,
apopanom,1_conduit,0.0169,0.00645,0.001503111,15,Julian,,,,,,,,,,,,,,Capparaceae,Apophyllum,Apophyllum anomalum,,,,9,,1,0,berry,endozoochory,,,5,8,6.5,purple,,berry,5,8,purple,ae,,
apopanom,2_conduit,0.02644,0.00889,0.001824667,15,Julian,,,,,,,,,,,,,,Capparaceae,Apophyllum,Apophyllum anomalum,,,,9,,1,0,berry,endozoochory,,,5,8,6.5,purple,,berry,5,8,purple,ae,,
archgran,1_conduit,0.05674,0.02476,0.002116444,15,Julian,,,,,,,,,,,,,,Fabaceae,Archidendron,Archidendron grandiflorum,,,,16,,32,0,seed,endozoochory,,yes,6,,6,,used Butler,pod,10,20,orange,eu,6,
archgran,2_conduit,0.04788,0.01571,0.001928667,15,Julian,,,,,,,,,,,,,,Fabaceae,Archidendron,Archidendron grandiflorum,,,,16,,32,0,seed,endozoochory,,yes,6,,6,,used Butler,pod,10,20,orange,eu,6,
archgran,3_conduit,0.06401,0.02074,0.001964222,15,Julian,,,,,,,,,,,,,,Fabaceae,Archidendron,Archidendron grandiflorum,,,,16,,32,0,seed,endozoochory,,yes,6,,6,,used Butler,pod,10,20,orange,eu,6,
archthoz,1_conduit,0.01979,0.00757,0.001255333,15,Julian,,,,,,,,,,,,,,Fabaceae,Archidendropsis,Archidendropsis thozetiana,,Albizia thozetiana,,20,,10,0,seed,anemochory,,,5,,5,wing,used Butler,pod,10,20,green,wa,5,
archthoz,2_conduit,0.01614,0.00764,0.001319333,15,Julian,,,,,,,,,,,,,,Fabaceae,Archidendropsis,Archidendropsis thozetiana,,Albizia thozetiana,,20,,10,0,seed,anemochory,,,5,,5,wing,used Butler,pod,10,20,green,wa,5,
archthoz,3_conduit,0.02399,0.00951,0.00149,15,Julian,,,,,,,,,,,,,,Fabaceae,Archidendropsis,Archidendropsis thozetiana,,Albizia thozetiana,,20,,10,0,seed,anemochory,,,5,,5,wing,used Butler,pod,10,20,green,wa,5,
ardibake,1_conduit,0.01293,0.00556,0.001511333,15,Julian,,,,,,,,,,,,,,Primulaceae,Ardisia,Ardisia bakeri,,,,10,,1,0,drupe,endozoochory,,,7,10,8.5,black,,drupe,7,10,black,ae,5,
ardibake,2_conduit,0.01601,0.00558,0.001561556,15,Julian,,,,,,,,,,,,,,Primulaceae,Ardisia,Ardisia bakeri,,,,10,,1,0,drupe,endozoochory,,,7,10,8.5,black,,drupe,7,10,black,ae,5,
ardibake,3_conduit,0.01805,0.00554,0.001571333,15,Julian,,,,,,,,,,,,,,Primulaceae,Ardisia,Ardisia bakeri,,,,10,,1,0,drupe,endozoochory,,,7,10,8.5,black,,drupe,7,10,black,ae,5,
argyacti,1_conduit,0.03978,0.0114,0.001689111,15,Julian,,,,,,,,,,,,,,Malvaceae,Argyrodendron,Argyrodendron actinophyllum,,,,50,,7,0,samara,anemochory,,,5,12,8.5,samara-like mericarp,excluded 55mm wing,samara,5,12,samara-like mericarp,wa,8,
argyacti,2_conduit,0.03861,0.00957,0.001758667,15,Julian,,,,,,,,,,,,,,Malvaceae,Argyrodendron,Argyrodendron actinophyllum,,,,50,,7,0,samara,anemochory,,,5,12,8.5,samara-like mericarp,excluded 55mm wing,samara,5,12,samara-like mericarp,wa,8,
argyacti,3_conduit,0.0324,0.01324,0.001776444,15,Julian,,,,,,,,,,,,,,Malvaceae,Argyrodendron,Argyrodendron actinophyllum,,,,50,,7,0,samara,anemochory,,,5,12,8.5,samara-like mericarp,excluded 55mm wing,samara,5,12,samara-like mericarp,wa,8,
argykink,1_conduit,0.0207,0.0092,0.001746444,15,Julian,,,,,,,,,,,,,,Malvaceae,Argyrodendron,Argyrodendron sp. Kin Kin,,,,45,,3,0,samara,anemochory,,,6,10,8,samara-like mericarp,excluded 75mm wing,samara,6,10,samara-like mericarp,wa,8,
argykink,2_conduit,0.02739,0.01252,0.001840889,15,Julian,,,,,,,,,,,,,,Malvaceae,Argyrodendron,Argyrodendron sp. Kin Kin,,,,45,,3,0,samara,anemochory,,,6,10,8,samara-like mericarp,excluded 75mm wing,samara,6,10,samara-like mericarp,wa,8,
argykink,3_conduit,0.02085,0.00867,0.001509111,15,Julian,,,,,,,,,,,,,,Malvaceae,Argyrodendron,Argyrodendron sp. Kin Kin,,,,45,,3,0,samara,anemochory,,,6,10,8,samara-like mericarp,excluded 75mm wing,samara,6,10,samara-like mericarp,wa,8,
