Species,site,GF,SLA (cm2/g),n_mass,p_mass,amass (nmol g-1 s-1),aarea (umolm-2s-1),gs (molm-2s-1),Rd (umol m-2 s-1),Replicate,plant type,Cond,Gmass
Lomandra longifolia,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,NA,5,Native co-occurring,NA,NA
Oplismenus aemulus,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.416,1,Native co-occurring,NA,NA
Oplismenus aemulus,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.576,2,Native co-occurring,NA,NA
Oplismenus aemulus,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.293,3,Native co-occurring,NA,NA
Oplismenus aemulus,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.404,4,Native co-occurring,NA,NA
Oplismenus aemulus,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.382,5,Native co-occurring,NA,NA
Persoonia levis,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.713,1,Native not co-occurring,NA,NA
Persoonia levis,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.558,2,Native not co-occurring,NA,NA
Persoonia levis,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.896,3,Native not co-occurring,NA,NA
Persoonia levis,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,1.22,4,Native not co-occurring,NA,NA
Persoonia levis,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,1.4,5,Native not co-occurring,NA,NA
Persoonia linifolia,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.409,1,Native not co-occurring,NA,NA
Persoonia linifolia,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.557,2,Native not co-occurring,NA,NA
Persoonia linifolia,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.567,3,Native not co-occurring,NA,NA
Persoonia linifolia,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.363,4,Native not co-occurring,NA,NA
Persoonia linifolia,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.422,5,Native not co-occurring,NA,NA
Pittosporum undulatum,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.715,1,Native co-occurring,NA,NA
Pittosporum undulatum,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.832,2,Native co-occurring,NA,NA
Pittosporum undulatum,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.751,3,Native co-occurring,NA,NA
Pittosporum undulatum,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.932,4,Native co-occurring,NA,NA
Pittosporum undulatum,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.722,5,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,1.41,1,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,1.66,2,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,1.66,3,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.985,4,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,1.37,5,Native co-occurring,NA,NA
Siegesbeckia orientalis,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,1.32,1,Native co-occurring,NA,NA
Siegesbeckia orientalis,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.957,2,Native co-occurring,NA,NA
Siegesbeckia orientalis,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,1.57,3,Native co-occurring,NA,NA
Siegesbeckia orientalis,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,1.02,4,Native co-occurring,NA,NA
Siegesbeckia orientalis,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,1.12,5,Native co-occurring,NA,NA
Smilax sp,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.579,1,Native not co-occurring,NA,NA
Smilax sp,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.436,2,Native not co-occurring,NA,NA
Smilax sp,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.373,3,Native not co-occurring,NA,NA
Smilax sp,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.428,4,Native not co-occurring,NA,NA
Smilax sp,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.42,5,Native not co-occurring,NA,NA
Xanthorrhoea sp,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.474,1,Native not co-occurring,NA,NA
Xanthorrhoea sp,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.488,2,Native not co-occurring,NA,NA
Xanthorrhoea sp,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.235,3,Native not co-occurring,NA,NA
Xanthorrhoea sp,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.455,4,Native not co-occurring,NA,NA
Xanthorrhoea sp,Hawkesbury sandstone,NA,NA,NA,NA,NA,NA,NA,0.44,5,Native not co-occurring,NA,NA
Acacia longifolia,Hawkesbury sandstone,NA,9.486436357,NA,NA,NA,NA,NA,NA,1,Native not co-occurring,NA,NA
Acacia parramatensis,Hawkesbury sandstone,NA,76.04562737642586,NA,NA,NA,NA,NA,NA,1,Native co-occurring,NA,NA
Acacia suaveolens,Hawkesbury sandstone,NA,5.833811025,NA,NA,NA,NA,NA,NA,1,Native not co-occurring,NA,NA
Acacia suaveolens,Hawkesbury sandstone,NA,53.61025641025641,NA,NA,NA,NA,NA,NA,2,Native not co-occurring,NA,NA
Acacia suaveolens,Hawkesbury sandstone,NA,55.561425061425055,NA,NA,NA,NA,NA,NA,3,Native not co-occurring,NA,NA
Acacia suaveolens,Hawkesbury sandstone,NA,50.626168224299064,NA,NA,NA,NA,NA,NA,4,Native not co-occurring,NA,NA
Banksia serrata,Hawkesbury sandstone,NA,4.1030094009999996,NA,NA,NA,NA,NA,NA,1,Native not co-occurring,NA,NA
Banksia spinulosa,Hawkesbury sandstone,NA,39.58050847457627,NA,NA,NA,NA,NA,NA,2,Native not co-occurring,NA,NA
Banksia spinulosa,Hawkesbury sandstone,NA,43.37807606263983,NA,NA,NA,NA,NA,NA,4,Native not co-occurring,NA,NA
Banksia spinulosa,Hawkesbury sandstone,NA,50.53225806451613,NA,NA,NA,NA,NA,NA,5,Native not co-occurring,NA,NA
Banksia spinulosa,Hawkesbury sandstone,NA,48.131238447319774,NA,NA,NA,NA,NA,NA,6,Native not co-occurring,NA,NA
Banksia spinulosa,Hawkesbury sandstone,NA,45.473919523099845,NA,NA,NA,NA,NA,NA,7,Native not co-occurring,NA,NA
Casuarina sp,Hawkesbury sandstone,NA,39.46596858638743,NA,NA,NA,NA,NA,NA,1,Native co-occurring,NA,NA
Casuarina sp,Hawkesbury sandstone,NA,38.82816229116945,NA,NA,NA,NA,NA,NA,2,Native co-occurring,NA,NA
Casuarina sp,Hawkesbury sandstone,NA,48.019230769230774,NA,NA,NA,NA,NA,NA,3,Native co-occurring,NA,NA
Casuarina sp,Hawkesbury sandstone,NA,40.48854961832061,NA,NA,NA,NA,NA,NA,4,Native co-occurring,NA,NA
Casuarina sp,Hawkesbury sandstone,NA,46.73972602739726,NA,NA,NA,NA,NA,NA,5,Native co-occurring,NA,NA
Commelina sp,Hawkesbury sandstone,NA,43.35937085,NA,NA,NA,NA,NA,NA,1,Native co-occurring,NA,NA
Commelina sp,Hawkesbury sandstone,NA,178.4354066985646,NA,NA,NA,NA,NA,NA,5,Native co-occurring,NA,NA
Dianella caerula,Hawkesbury sandstone,NA,14.51440923,NA,NA,NA,NA,NA,NA,1,Native co-occurring,NA,NA
Dodonaea spp,Hawkesbury sandstone,NA,10.57415382,NA,NA,NA,NA,NA,NA,1,Native not co-occurring,NA,NA
Eucalyptus gummifera,Hawkesbury sandstone,NA,6.875648843,NA,NA,NA,NA,NA,NA,1,Native not co-occurring,NA,NA
Grevillea buxifolia,Hawkesbury sandstone,NA,8.753390229,NA,NA,NA,NA,NA,NA,1,Native not co-occurring,NA,NA
Imperata cylindrica,Hawkesbury sandstone,NA,16.10539089,NA,NA,NA,NA,NA,NA,1,Native co-occurring,NA,NA
Lomandra longifolia,Hawkesbury sandstone,NA,4.199141274,NA,NA,NA,NA,NA,NA,1,Native co-occurring,NA,NA
Oplismenus aemulus,Hawkesbury sandstone,NA,399.2272727272727,NA,NA,NA,NA,NA,NA,1,Native co-occurring,NA,NA
Oplismenus aemulus,Hawkesbury sandstone,NA,430.77777777777783,NA,NA,NA,NA,NA,NA,2,Native co-occurring,NA,NA
Oplismenus aemulus,Hawkesbury sandstone,NA,363.74,NA,NA,NA,NA,NA,NA,3,Native co-occurring,NA,NA
Oplismenus aemulus,Hawkesbury sandstone,NA,580.9090909090909,NA,NA,NA,NA,NA,NA,4,Native co-occurring,NA,NA
Oplismenus aemulus,Hawkesbury sandstone,NA,386.92682926829264,NA,NA,NA,NA,NA,NA,5,Native co-occurring,NA,NA
Persoonia levis,Hawkesbury sandstone,NA,8.85019529,NA,NA,NA,NA,NA,NA,2,Native not co-occurring,NA,NA
Persoonia linifolia,Hawkesbury sandstone,NA,54.76,NA,NA,NA,NA,NA,NA,1,Native not co-occurring,NA,NA
Persoonia linifolia,Hawkesbury sandstone,NA,63.29933481152994,NA,NA,NA,NA,NA,NA,2,Native not co-occurring,NA,NA
Persoonia linifolia,Hawkesbury sandstone,NA,60.21224489795918,NA,NA,NA,NA,NA,NA,3,Native not co-occurring,NA,NA
Persoonia linifolia,Hawkesbury sandstone,NA,51.84983498349834,NA,NA,NA,NA,NA,NA,4,Native not co-occurring,NA,NA
Persoonia linifolia,Hawkesbury sandstone,NA,63.79279279279279,NA,NA,NA,NA,NA,NA,5,Native not co-occurring,NA,NA
Pittosporum undulatum,Hawkesbury sandstone,NA,9.192471507,NA,NA,NA,NA,NA,NA,1,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,83.84201077199282,NA,NA,NA,NA,NA,NA,1,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,78.1561119293078,NA,NA,NA,NA,NA,NA,2,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,73.70178282009725,NA,NA,NA,NA,NA,NA,3,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,116.18749999999999,NA,NA,NA,NA,NA,NA,4,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,113.35033259423503,NA,NA,NA,NA,NA,NA,5,Native co-occurring,NA,NA
Siegesbeckia orientalis,Hawkesbury sandstone,NA,27.25548834,NA,NA,NA,NA,NA,NA,1,Native co-occurring,NA,NA
Smilax sp,Hawkesbury sandstone,NA,8.817416149,NA,NA,NA,NA,NA,NA,2,Native not co-occurring,NA,NA
Xanthorrhoea sp,Hawkesbury sandstone,NA,3.606218873,NA,NA,NA,NA,NA,NA,1,Native not co-occurring,NA,NA
Casuarina sp,Hawkesbury sandstone,NA,37.05448717948718,NA,NA,NA,NA,NA,NA,1,Native co-occurring,NA,NA
Casuarina sp,Hawkesbury sandstone,NA,39.34836065573771,NA,NA,NA,NA,NA,NA,2,Native co-occurring,NA,NA
Casuarina sp,Hawkesbury sandstone,NA,37.4804469273743,NA,NA,NA,NA,NA,NA,3,Native co-occurring,NA,NA
Casuarina sp,Hawkesbury sandstone,NA,43.86039886039886,NA,NA,NA,NA,NA,NA,4,Native co-occurring,NA,NA
Casuarina sp,Hawkesbury sandstone,NA,42.667638483965014,NA,NA,NA,NA,NA,NA,5,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,80.75370121130551,NA,NA,NA,NA,NA,NA,1,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,72.55721393034825,NA,NA,NA,NA,NA,NA,2,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,83.17441860465117,NA,NA,NA,NA,NA,NA,3,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,84.0534223706177,NA,NA,NA,NA,NA,NA,4,Native co-occurring,NA,NA
Pteridium esculentum,Hawkesbury sandstone,NA,92.28813559322033,NA,NA,NA,NA,NA,NA,5,Native co-occurring,NA,NA
