genus,spp,binomial,longevity,growth form,min height (m),max height (m),leaf length min (mm),leaf length max (mm),leaf width min (mm),leaf width max (mm),seed min length (mm),seed max length (mm),seed min width (mm),seed max width (mm),seed min breadth (mm),seed max breadth (mm),flowering month begin,flowering month end
Oxymyrrhine,cordata,Oxymyrrhine cordata,p,s,0.3,1,2.5,3.5,2.8,3.5,0.7,0.7,0.3,0.3,0.4,0.4,12,1
Oxymyrrhine,coronata,Oxymyrrhine coronata,p,s,0.4,0.8,3.5,7,1.5,3,0.65,0.75,0.35,0.5,0.4,0.5,10,1
Oxymyrrhine,gracilis,Oxymyrrhine gracilis,p,s,0.2,1,4,9,0.5,0.8,0.6,0.8,0.35,0.4,0.45,0.5,10,1
Oxymyrrhine,plicata,Oxymyrrhine plicata,p,s,0.3,0.7,1.8,2.7,0.6,1.5,0.6,0.8,0.3,0.3,0.5,0.5,12,1
