species_name,Species.code
Acacia floribunda,AcaFlo
Astrotricha floccosa,AstFlo
Lasiopetalum ferrugineum,LasFer
Lomatia silaifolia,LomSil
Persoonia linearis,PerLin
Pultenaea flexilis,PulFle
Synoum glandulosum,SynGla
Syncarpia glomulifera,SynGlo
Acacia suaveolens,AcaSua
Boronia ledifolia,BorLed
Eriostemon australasius,EriAus
Hakea dactyloides,HakDac
Lambertia formosa,LamFor
Leptospermum trinervium,LepTri
Persoonia levis,PerLev
Phyllota phylicoides,PhyPhy
Acacia doratoxylon,AcaDor
Brachychiton populneus,BraPop
Dodonaea viscosa ssp. angustissima,DodVisang
Eremophila longifolia,EreLon
Geijera parviflora,GeiPar
Hakea tephrosperma,HakTep
Philotheca difformis,PhiDif
Senna artemisioides,SenArt3lft
Acacia havilandiorum,AcaHav
Bertya cunninghamii,BerCun
Beyeria opaca,BeyOpa
Cassinia laevis,CasLae
Eremophila glabra,EreGla
Eucalyptus socialis,EucSoc
Melaleuca uncinata,MelUnc
Olearia pimeleoides,OlePim
