genus_speceis,Species.code,number,individual,Site,Rainfall,Soil.nutrient,Group,context,Diamter_of_sapwood_for_mechanical_test (mm),Estimated_bark_thickness (mm),Drymatter content,Fresh_density (g/cm3),Dry_density (g/cm3),Youngs_modulus (Mpa),Bending_strength (Mpa),"Youngs_modulus (bark, Mpa)",species_name
Pultenaea flexilis,PulFle,2,PulFle_2_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.21,0.3568342,0.55795539,1.034615385,0.577269231,12831.47,85.88806,5654.653208,Pultenaea flexilis
Pultenaea flexilis,PulFle,3,PulFle_3_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,5.51,0.5454702,0.52864215,1.01,0.533928571,11214.75,88.09728,4609.631371,Pultenaea flexilis
Pultenaea flexilis,PulFle,4,PulFle_4_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,5.25,0.2766639,0.556205493,1.062702703,0.591081081,8958.82,86.09917,4786.964339,Pultenaea flexilis
Pultenaea flexilis,PulFle,5,PulFle_5_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.64,0.4888794,0.557225211,1.000769231,0.557653846,10363.85,79.24196,14430.04876,Pultenaea flexilis
Synoum glandulosum,SynGla,1,SynGla_1_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,6.07,0.660046,0.466682038,0.985681818,0.46,7135.01,76.46302,5550.876237,Synoum glandulosum
Synoum glandulosum,SynGla,2,SynGla_2_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,5.78,0.7417155,0.395914519,0.867818182,0.343581818,6874.98,67.76363,2776.166121,Synoum glandulosum
Synoum glandulosum,SynGla,3,SynGla_3_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,6.17,0.882781,0.367965288,0.902666667,0.33215,6387.02,66.444,2525.243215,Synoum glandulosum
Synoum glandulosum,SynGla,4,SynGla_4_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,5.72,0.7031081,0.49632312,0.8975,0.44545,7080.01,67.02849,683.3387843,Synoum glandulosum
Synoum glandulosum,SynGla,5,SynGla_5_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.87,0.6793497,0.480781499,0.9405,0.452175,8831.43,79.81706,1508.512905,Synoum glandulosum
Syncarpia glomulifera,SynGlo,1,SynGlo_1_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.92,0.7302644,0.520435913,1.163023256,0.60527907,12976.18,111.4781,5396.630625,Syncarpia glomulifera
