Scientific Name,metadata_id,primary_source_id,SLA (mg/mm2),Seed mass (mg),SLA_filter,SLA (mg/mm2)_filtered
Acaena echinata,94,90,NA,10.42,,NA
Acaena ovina,94,90,22.64,NA,,22.64
Aciphylla glacialis,94,90,NA,6.57,,NA
Actinobole uliginosum,94,90,NA,0.14,,NA
Ajuga australis,94,90,32.67,NA,,32.67
Arthropodium minus,94,90,NA,1.043,,NA
Arthropodium minus,94,90,NA,2.1,,NA
Arthropodium strictum,94,90,NA,2.27,,NA
Arthropodium strictum,94,90,NA,2.04,,NA
Arthropodium strictum,94,90,NA,1.76,,NA
Arthropodium strictum,94,90,NA,1.99,,NA
Arthropodium strictum,94,90,NA,1.95,,NA
Arthropodium strictum,94,90,NA,1.74,,NA
Arthropodium strictum,94,90,NA,1.99,,NA
Arthropodium strictum,94,90,NA,1.42,,NA
Asperula conferta,94,90,18.99,NA,,18.99
Asperula scoparia,94,90,6.57,NA,,6.57
Blennospora drummondii,94,90,NA,0.48,,NA
Blennospora drummondii,94,90,NA,0.52,,NA
Blennospora drummondii,94,90,NA,0.45,,NA
Brachyscome lineariloba,94,90,NA,0.52,,NA
Brachyscome perpusilla,94,90,NA,0.27,,NA
Brachyscome perpusilla,94,90,NA,0.28,,NA
Brachyscome perpusilla,94,90,NA,0.41,,NA
Brachyscome rigidula,94,90,NA,0.32,,NA
Bracteantha viscosa,94,90,NA,0.44,,NA
Brunonia australiS,94,90,NA,1.97,,NA
Bulbine alata,94,90,NA,1.14,,NA
Bulbine bulbosa,94,90,NA,1.68,,NA
Bulbine bulbosa,94,90,NA,2.26,,NA
Bulbine bulbosa,94,90,NA,2.32,,NA
Bulbine bulbosa,94,90,NA,2.35,,NA
Bulbine bulbosa,94,90,NA,2.68,,NA
Bulbine bulbosa,94,90,NA,2.56,,NA
Bulbine bulbosa,94,90,NA,2.36,,NA
Bulbine bulbosa,94,90,NA,2.74,,NA
Bulbine bulbosa,94,90,NA,2.63,,NA
Bulbine bulbosa,94,90,NA,2.4,,NA
Bulbine bulbosa,94,90,NA,2.24,,NA
Bulbine bulbosa,94,90,NA,1.98,,NA
Burchardia umbellata,94,90,NA,1.39,,NA
Caesia calliantha,94,90,NA,2.61,,NA
Caesia calliantha,94,90,NA,2.33,,NA
Caesia calliantha,94,90,NA,3.16,,NA
Calandriana granulifera,94,90,NA,0.03,,NA
Calotis glandulosa F.Muell.,94,90,1.46,NA,,1.46
Carex breviculmis,94,90,21.58,NA,,21.58
Carex hebes,94,90,NA,1.68,,NA
Carex inversa,94,90,20.69,NA,Meers_2010,NA
Celmisia constiniana,94,90,NA,3.08,,NA
Centrolepis strigosa,94,90,NA,0.02,,NA
Chrysocephalum apiculatum,94,90,10.06,NA,,10.06
Chrysocephalum apiculatum,94,90,NA,0.03,,NA
Chrysocephalum apiculatum,94,90,NA,0.09,,NA
Chrysocephalum apiculatum,94,90,NA,0.06,,NA
Chrysocephalum semipapposum,94,90,NA,0.08,,NA
Convolvulus erubescens,94,90,31.88,NA,,31.88
Convolvulus remotus,94,90,NA,10.27,,NA
Craspedia glauca,94,90,NA,0.57,,NA
Craspedia glauca,94,90,NA,0.4,,NA
Craspedia jamesii,94,90,NA,0.55,,NA
Craspedia variabilis,94,90,4.77,NA,,4.77
Crassula sieberiana,94,90,66.36,NA,,66.36
Daucus glochidiatus,94,90,NA,0.63,,NA
Dianella longifolia,94,90,NA,4.71,,NA
Dichondra repens,94,90,NA,1.09,,NA
Drosera peltata,94,90,32.29,NA,Meers_2010,NA
Elymus scaber var. scaber,94,90,19.1,NA,,19.1
Enchylaena tomentosa,94,90,NA,19.75,,NA
Epilobium billardiarim,94,90,14.35,NA,,14.35
Erigeron bellidioides,94,90,NA,1.04,,NA
Eryngium ovinum,94,90,NA,1.93,,NA
Eryngium ovinum,94,90,NA,1.88,,NA
Euchiton collinus,94,90,31.37,NA,Cross_2009,NA
Geranium retrorsum,94,90,6.4,NA,,6.4
Geranium solanderi,94,90,14.02,NA,,14.02
Gonocarpus tetragynus,94,90,8.65,NA,Meers_2010,NA
Goodenia pinnatifida,94,90,6.53,NA,Cross_2009,NA
Goodenia pusilliflora,94,90,NA,2.54,,NA
Grevillea australis,94,90,NA,12.95,,NA
Haloragis heterophylla,94,90,1.78,NA,,1.78
Hyalosperma demissum,94,90,NA,0.05,,NA
Hyalosperma demissum,94,90,NA,0.2,,NA
Hyalosperma praecox,94,90,NA,0.14,,NA
Hyalosperma praecox,94,90,NA,0.14,,NA
Hyalosperma praecox,94,90,NA,0.09,,NA
Hypericum gramineum,94,90,21.45,NA,Cross_2009,NA
Hypericum gramineum,94,90,NA,0.01,,NA
Lagenifera gracillis,94,90,NA,0.29,,NA
Lepidium aschersonii,94,90,NA,0.29,,NA
Lepidium hyssopifolium,94,90,NA,0.27,,NA
Lepidium hyssopifolium,94,90,NA,0.27,,NA
Leptorhynchos squamatus,94,90,38.29,NA,,38.29
Leptorynchos squamatus,94,90,NA,0.07,,NA
Leptorynchos squamatus,94,90,NA,0.38,,NA
Leucochrysum albicans,94,90,26.28,NA,,26.28
Leucochrysum albicans,94,90,NA,0.95,,NA
Leucochrysum albicans,94,90,NA,0.74,,NA
Leucochrysum albicans,94,90,NA,1.1,,NA
Leucochrysum albicans var. tricolor,94,90,NA,1.06,,NA
Leucochrysum albicans var. tricolor,94,90,NA,0.38,,NA
Linum marginale,94,90,23.26,NA,,23.26
Luzula densiflora,94,90,2.25,NA,,2.25
Maireana brevifolia,94,90,NA,1.07,,NA
Microseris lanceolata,94,90,NA,3.25,,NA
Millotia tenuifolia,94,90,NA,0.1,,NA
Millotia tenuifolia,94,90,NA,0.2,,NA
Myriocephalus rhizocephalus,94,90,NA,0.35,,NA
Olearia frostii,94,90,NA,0.86,,NA
Oxalis perennans,94,90,34.44,NA,Meers_2010,NA
Pelargonium rodneyanum,94,90,NA,2.86,,NA
Picris barbarorum,94,90,NA,1.89,,NA
Pimelea curviflora,94,90,8.9,NA,,8.9
Pimelea glauca,94,90,9.9,NA,,9.9
Pimelea humillis,94,90,NA,1.84,,NA
Plantago euryphylla,94,90,NA,0.34,,NA
Plantago varia,94,90,28.56,NA,,28.56
Poa fawcettiae,94,90,NA,0.44,,NA
Poa labillardierei,94,90,3.42,NA,,3.42
Poa sieberiana,94,90,4.7,NA,,4.7
Podolepis jaceoides,94,90,NA,1.66,,NA
Podolepis jaceoides,94,90,NA,1.68,,NA
Podolepis jaceoides,94,90,NA,4.17,,NA
Podolepis jaceoides,94,90,NA,1.7,,NA
Podolepis jaceoides,94,90,NA,1.49,,NA
Podotheca angustifolia,94,90,NA,0.67,,NA
Pognolepis muelleriana,94,90,NA,0.1,,NA
Pogonlepis muelleriana,94,90,NA,0.08,,NA
Poranthera microphylla,94,90,44.92,NA,,44.92
Psoralea adscendens,94,90,NA,4.48,,NA
Psoralea tenax,94,90,NA,5.65,,NA
Ptilotus spathulatus,94,90,NA,3.76,,NA
Quenetia urvillei,94,90,NA,0.57,,NA
Quenetia urvillei,94,90,NA,0.45,,NA
Ranunculus lappaceus,94,90,3.29,NA,,3.29
Ranunculus sessiliflorus,94,90,NA,0.38,,NA
Rhodanthe anthemoides,94,90,NA,1.04,,NA
Rhodanthe pygmaea,94,90,NA,0.69,,NA
Rumex brownii,94,90,13.39,NA,Cross_2009,NA
Rumex dumosus,94,90,13.86,NA,,13.86
Rumex dumosus,94,90,NA,2.25,,NA
Rumex dumosus,94,90,NA,3.58,,NA
Rutidosis leptorhynchoides,94,90,NA,1.57,,NA
Rutidosis leptorhynchoides,94,90,NA,0.9,,NA
Rutidosis leptorhynchoides,94,90,NA,1.22,,NA
Rutidosis leptorhynchoides,94,90,NA,0.94,,NA
Rutidosis leptorhynchoides,94,90,NA,1.89,,NA
Rutidosis leptorhynchoides,94,90,NA,0.96,,NA
Rutidosis leptorhynchoides,94,90,NA,2.36,,NA
Rutidosis leptorhynchoides,94,90,NA,1.85,,NA
Rutidosis leptorhynchoides,94,90,NA,0.99,,NA
Rytidosperma nudiflora,94,90,NA,1.09,,NA
Rytidosperma nudiflora,94,90,NA,1.02,,NA
Schoenus apogon,94,90,7.01,NA,,7.01
Schoenus apogon,94,90,NA,0.54,,NA
Scleranthus biflorus,94,90,13.22,NA,,13.22
Senecio gunnii,94,90,NA,0.27,,NA
Senecio macrocarpus,94,90,NA,0.55,,NA
Senecio macrocarpus,94,90,NA,0.51,,NA
Senecio macrocarpus,94,90,NA,0.46,,NA
Senecio macrocarpus,94,90,NA,0.63,,NA
Senecio macrocarpus,94,90,NA,0.49,,NA
Senecio macrocarpus,94,90,NA,0.46,,NA
Senecio macrocarpus,94,90,NA,0.69,,NA
Senecio macrocarpus,94,90,NA,0.64,,NA
Senecio macrocarpus,94,90,NA,0.39,,NA
Senecio quadridentatus,94,90,NA,0.19,,NA
Senecio spanomerus,94,90,NA,0.22,,NA
Senecio squarrosus,94,90,NA,0.3,,NA
Senecio squarrosus,94,90,NA,0.31,,NA
Senecio squarrosus,94,90,NA,0.28,,NA
Senecio tenuiflorus,94,90,NA,0.28,,NA
Sida corrugata,94,90,NA,5.04,,NA
Solenogyne dominii,94,90,NA,0.33,,NA
Solenogyne gunnii,94,90,15.65,NA,,15.65
Stackhousia monogyna,94,90,15.81,NA,,15.81
Stuartina muelleri,94,90,NA,0.04,,NA
Stylidium graminifolium,94,90,NA,0.14,,NA
Stylidium graminifolium,94,90,NA,0.16,,NA
Stypandra glauca,94,90,NA,1.4,,NA
Swainsona behriana,94,90,3.57,NA,,3.57
Themeda triandra,94,90,18.47,NA,,18.47
Triptilodiscus pygmaeus,94,90,NA,0.07,,NA
Triptilodiscus pygmaeus,94,90,NA,0.08,,NA
Velleia paradoxa,94,90,NA,5.44,,NA
Velleia paradoxa,94,90,NA,5.19,,NA
Veronica plebia,94,90,NA,0.06,,NA
Viola betonicifolia,94,90,35.74,NA,,35.74
Vittadinia cervicularis,94,90,NA,1.01,,NA
Vittadinia cuneata,94,90,2.83,NA,,2.83
Vittadinia cuneata,94,90,NA,1.03,,NA
Vittadinia subcervicularis,94,90,NA,0.91,,NA
Wahlenbergia communis,94,90,43.12,NA,,43.12
Wahlenbergia stricta,94,90,29.45,NA,,29.45
Wurmbea dioica,94,90,NA,0.67,,NA
Xerochrysum subundulatum,94,90,NA,0.56,,NA
Arthropodium sp. aff. strictum,94,90,NA,2.86,,NA
Austrodanthonia sp.,94,90,3.22,NA,,3.22
Dichelachne sp.,94,90,7.61,NA,,7.61
Juncus sp.,94,90,9.83,NA,Angevin_2011,NA
Poa sp.,94,90,8.49,NA,,8.49
