name_original,site,AusTraits_key,photosynthetic pathway,Nfixer,GF,DecEv,LfType,LfForm,LMA (g/m2),k_mass,k_area,n_mass,n_area,p_mass,p_area
Castanopsermum australe,SpechtandTurner2006_JohnstonsScrub,Specht_2006,C3,,tree,E,B,C,59.2,0.87,0.51,3.01,1.78,0.1,0.06
Flindersia shottiana,SpechtandTurner2006_JohnstonsScrub,Specht_2006,C3,n,tree,E,B,S,104.9,1.11,1.17,2.01,2.11,0.08,0.08
Dysoxylum fraserianum,SpechtandTurner2006_JohnstonsScrub,Specht_2006,C3,n,tree,E,B,,,2.34,,2.85,,0.11,
Dysoxylun mollissimum,SpechtandTurner2006_JohnstonsScrub,Specht_2006,C3,n,tree,E,B,,31.5,1.36,0.43,4.21,1.33,0.13,0.04
Heritiera trifoliolata,SpechtandTurner2006_JohnstonsScrub,Specht_2006,C3,n,tree,E,B,,81.3,1.17,0.95,2.22,1.8,0.07,0.06
Toona ciliata,SpechtandTurner2006_RockyCrk,Specht_2006,C3,n,tree,D,B,C,,,,1.73,,0.05,
Grevillea robusta,SpechtandTurner2006_RockyCrk,Specht_2006,C3,n,tree,d,B,C,,,,1.64,,0.04,
Araucaria cunninghamii,SpechtandTurner2006_RockyCrk,Specht_2006,C3,n,tree,E,N,S,,,,1.39,,0.25,
Elaeocarpus grandis,SpechtandTurner2006_RockyCrk,Specht_2006,C3,n,tree,E,B,S,,,,1.91,,0.07,
Flindersia brayleyana,SpechtandTurner2006_RockyCrk,Specht_2006,C3,n,tree,E,B,S,,,,1.34,,0.27,
Gmelina liechhardtii,SpechtandTurner2006_RockyCrk,Specht_2006,C3,n,tree,d,B,S,,,,1.59,,0.06,
Rhodosphaera rhodanthema,SpechtandTurner2006_RockyCrk,Specht_2006,C3,n,tree,E,B,,,,,1.84,,0.11,
