name_original,site,AusTraits_key,photosynthetic pathway,Nfixer,GF,DecEv,SLA (cm2/g),amass (nmol g-1 s-1),aarea (umolm-2s-1),gs (molm-2s-1)
Brachychiton australis,Choatetal2006_ManyPeaks,Choat_2006,C3,n,tree,D,134.4,118.97,8.85,342.3
Cochlospermum gillivraei,Choatetal2006_ManyPeaks,Choat_2006,C3,n,tree,D,165,115.91,7.02,516.9
Alphitonia excelsa,Choatetal2006_ManyPeaks,Choat_2006,C3,n,tree,E,94.4,67.99,7.19,184.6
Austromyrtus bidwillii,Choatetal2006_ManyPeaks,Choat_2006,C3,n,tree,E,116.1,48.45,4.17,384.6
