site,species,SLA (cm2/g),Nmass (mg g-1),Water concentration per unit dry mass (g g-1)
Wongabel State Forest_23,Aglaia sapindina,0.180,,1.9
Wongabel State Forest_23,Alocasia brisbanensis,0.380,41.4,8.6
Wongabel State Forest_23,Alpinia caerulea,0.230,21.1,4
Wongabel State Forest_23,Alpinia modesta,0.250,20.6,3.2
Wongabel State Forest_23,Calamus caryotoides,0.060,16.9,1.5
Wongabel State Forest_23,Castanospora alphandii,0.140,23,1.5
Wongabel State Forest_23,Codiaeum variegatum,0.240,20,4.1
Wongabel State Forest_23,Dichapetalum papuanum,0.170,20,1.8
Wongabel State Forest_23,Hodgkinsonia frutescens,0.310,51,5.8
Wongabel State Forest_23,Neisosperma poweri,0.200,,3.3
Wongabel State Forest_23,Phaleria octandra,0.150,26,2.4
Wongabel State Forest_23,Pothos longipes,0.120,22.6,1.9
Wongabel State Forest_23,Ptychanthus racemiger,0.240,20.7,4.8
Wongabel State Forest_23,Sauropus macropus,0.270,29,2.9
Wooroonooran National Park_23,Acacia aulacocarpa,,27.7,
Wooroonooran National Park_23,Aglaia australiensis,0.120,26.2,
Wooroonooran National Park_23,Aglaia tomentosa,0.200,31.2,
Wooroonooran National Park_23,Alphitonia petriei,0.118,22.9,
Wooroonooran National Park_23,Alpinia arctiflora,0.200,19.9,4
Wooroonooran National Park_23,Apodytes brevistylis,0.200,19.2,
Wooroonooran National Park_23,Argyrodendron peralatum,0.090,17.2,
Wooroonooran National Park_23,Argyrodendron trifoliolatum,0.116,18.5,
Wooroonooran National Park_23,Austromuellera trinervia,0.156,11,
Wooroonooran National Park_23,Beilschmiedia brunnea,0.175,26.9,
Wooroonooran National Park_23,Beilschmiedia tooram,0.127,13.6,
Wooroonooran National Park_23,Calamus australis,0.170,19.8,1.5
Wooroonooran National Park_23,Cardwellia sublimis,0.149,9.2,
Wooroonooran National Park_23,Castanospora alphandii,0.145,19.9,
Wooroonooran National Park_23,Cinnamomum laubatii,0.169,18.1,
Wooroonooran National Park_23,Cordyline cannifolia,0.190,16.9,4.1
Wooroonooran National Park_23,Cryptocarya angulata,0.161,18.4,
Wooroonooran National Park_23,Cryptocarya corrugata,0.127,13.7,
Wooroonooran National Park_23,Cryptocarya grandis,0.172,17.7,
Wooroonooran National Park_23,Cryptocarya melanocarpa,0.204,20,
Wooroonooran National Park_23,Cryptocarya murrayi,0.118,14.9,
Wooroonooran National Park_23,Cryptocarya oblata_,0.172,14,
Wooroonooran National Park_23,Cryptocarya pleurosperma,0.127,13.8,
Wooroonooran National Park_23,Crytocarya mackinnoniana,0.118,14.1,
Wooroonooran National Park_23,Cupaniopsis flagelliformis,0.175,24.8,
Wooroonooran National Park_23,Daphnandra repandula,0.227,32.5,
Wooroonooran National Park_23,Darlingia ferruginea,0.159,12.2,
Wooroonooran National Park_23,Dendrocnide cordata,0.435,57.7,
Wooroonooran National Park_23,Diploglottis bracteata,0.147,17.5,
Wooroonooran National Park_23,Doryphora aromatica,0.175,27.8,
Wooroonooran National Park_23,Elaeocarpus grandis,0.000,17.8,
Wooroonooran National Park_23,Endiandra bessaphila,0.135,15.8,
Wooroonooran National Park_23,Endiandra insignis,0.130,13.2,
Wooroonooran National Park_23,Endiandra leptodendron,0.175,17.9,
Wooroonooran National Park_23,Endiandra monothyra,0.147,18.1,
Wooroonooran National Park_23,Endiandra sankeyana,0.139,16.5,
Wooroonooran National Park_23,Flindersia bourjotiana,0.099,9.4,
Wooroonooran National Park_23,Franciscodendron laurifolium,0.159,13,
Wooroonooran National Park_23,Freycinetia excelsa,0.190,16.6,3.4
Wooroonooran National Park_23,Garcinia gibbsiae,0.109,13.4,
Wooroonooran National Park_23,Gillbeea adenopetala,0.167,13.9,
Wooroonooran National Park_23,Guioa lasioneura,0.143,16,
Wooroonooran National Park_23,Hypsophila dielsiana,0.103,21,
Wooroonooran National Park_23,Litsea leefeana,0.167,16.1,
Wooroonooran National Park_23,Melicope vitiflora,0.303,41.8,
Wooroonooran National Park_23,Myristica insipida,0.156,16.8,
Wooroonooran National Park_23,Neolitsea dealbata,0.169,14.9,
Wooroonooran National Park_23,Omalanthus novogunieensis,0.175,27.3,
Wooroonooran National Park_23,Opisthiolepis heterophylla,0.128,15.5,
Wooroonooran National Park_23,Polyscias murrayi,0.385,48.9,
Wooroonooran National Park_23,Pouteria castanosperma,0.222,37.4,
Wooroonooran National Park_23,Prunus turneriana,0.182,16.5,
Wooroonooran National Park_23,Solanum dallachii,0.333,55.3,
Wooroonooran National Park_23,Synima macrophylla,0.103,21.1,
Wooroonooran National Park_23,Syzygium cormiflorum,0.118,11.8,
Wooroonooran National Park_23,Syzygium wilsonii_ssp_cryptophlebium,0.208,14.8,
Wooroonooran National Park_23,Xanthophyllum octandrum,0.294,31.8,
