taxon,longevity,growth form ,min height (m),max height (m),leaf shape,leaf length min (mm) ,leaf length max (mm) ,leaf width min (mm) ,leaf width max (mm) ,seed min length (mm),seed max length (mm),seed min width (mm),seed max width (mm),flowering month begin,flowering month end,source
Baeckea frutescens,p,t/s,,8,linear,5.5,11.5,0.4,0.8,0.5,0.5,,,10,2,"Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268."
Baeckea linifolia,p,s,,3,linear,6,17,0.5,1,0.6,0.6,,,12,6,"Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268."
Baeckea leptocaulis,p,s,0.3,1,linear,4.5,10,0.8,1.2,1.1,1.1,,,12,3,"Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268."
Baeckea imbricata,p,s,,0.6,ovate,2.4,4.5,2,3.9,,,,,11,4,"Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268."
Baeckea diosmifolia,p,s,,0.6,ovate,2.1,4.5,0.5,1.5,0.5,0.5,,,12,5,"Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268."
Baeckea trapeza,p,s,,1,ovate,3,4.5,0.6,1.2,,,,,1,4,"Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268."
Baeckea omissa,p,s,,0.6,ovate,2,3.3,0.5,1.2,,,,,10,2,"Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268."
Baeckea gunniana,p,s,,1.5,ovate,1.9,3.8,0.9,1.4,1,1,,,12,4,"Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268."
Baeckea kandos,p,s,,2,ovate,3.3,5.8,0.6,1,0.7,0.7,,,12,1,"Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268."
Baeckea utilis,p,s,,4,ovate,3.4,7,0.9,2.3,,,,,12,3,"Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268."
Baeckea latifolia,p,s,,1.5,ovate,6.4,9,2.3,5.3,,,,,1,2,"Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268."
Baeckea brevifolia,p,s,,0.8,ovate,1,2.3,0.7,1,,,,,1,5,"Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268."
