species_name,photosynthetic pathway
Acrachne racemosa,NA
Agrostis australiensis,NA
Agrostis bettyae,NA
Agrostis boormanii,NA
Agrostis diemenica,NA
Agrostis joyceae,NA
Agrostis muelleriana,NA
Agrostis parviflora,NA
Agrostis propinqua,NA
Agrostis thompsoniae,NA
Agrostis venusta,NA
Alexfloydia repens,NA
Alloteropsis cimicina,?c4
Alloteropsis semialata,?c4
Amphibromus archeri,C3
Amphibromus fluitans,C3
Amphibromus macrorhinus,C3
Amphibromus neesii,C3
Amphibromus nervosus,C3
Amphibromus pithogastrus,C3
Amphibromus recurvatus,C3
Amphibromus sinuatus,C3
Amphibromus vickeryae,C3
Amphibromus whitei,C3
Amphipogon amphipogonoides,C3
Amphipogon avenaceus,C3
Amphipogon caricinus,C3
Amphipogon caricinus var. caricinus,C3
Amphipogon caricinus var. scaber,C3
Amphipogon debilis,C3
Amphipogon laguroides,C3
Amphipogon laguroides subsp. havelii,C3
Amphipogon laguroides subsp. laguroides,C3
Amphipogon sericeus,C3
Amphipogon setaceus,C3
Amphipogon strictus,C3
Amphipogon turbinatus,C3
Ancistrachne maidenii,C3
Ancistrachne uncinulata,C3
Anisopogon avenaceus,c3
Apluda mutica,c4
Aristida acuta,c4
Aristida annua,c4
Aristida anthoxanthoides,c4
Aristida arida,c4
Aristida australis,c4
Aristida behriana,c4
Aristida benthamii,c4
Aristida benthamii var. benthamii,c4
Aristida benthamii var. spinulifera,c4
Aristida biglandulosa,c4
Aristida blakei,c4
Aristida burbidgeae,c4
Aristida burraensis,c4
Aristida calycina,c4
Aristida calycina var. calycina,c4
Aristida calycina var. filifolia,c4
Aristida calycina var. praealta,c4
Aristida capillifolia,c4
Aristida caput-medusae,c4
Aristida contorta,c4
Aristida dominii,c4
Aristida echinata,c4
Aristida exserta,c4
Aristida forsteri,c4
Aristida gracilipes,c4
Aristida granitica,c4
Aristida helicophylla,c4
Aristida holathera,c4
Aristida holathera var. holathera,c4
Aristida holathera var. latifolia,c4
Aristida hygrometrica,c4
Aristida inaequiglumis,c4
Aristida ingrata,c4
Aristida jerichoensis,c4
Aristida jerichoensis var. jerichoensis,c4
Aristida jerichoensis var. subspinulifera,c4
Aristida kimberleyensis,c4
Aristida latifolia,c4
Aristida latzii,c4
Aristida lazaridis,c4
Aristida leichhardtiana,c4
Aristida leptopoda,c4
Aristida lignosa,c4
Aristida longicollis,c4
Aristida macroclada,c4
Aristida macroclada subsp. macroclada,c4
Aristida macroclada subsp. queenslandica,c4
Aristida muricata,c4
Aristida nitidula,c4
Aristida obscura,c4
Aristida perniciosa,c4
Aristida personata,c4
Aristida platychaeta,c4
Aristida polyclados,c4
Aristida pruinosa,c4
Aristida psammophila,c4
Aristida queenslandica,c4
Aristida queenslandica var. dissimilis,c4
Aristida queenslandica var. queenslandica,c4
Aristida ramosa,c4
Aristida schultzii,c4
Aristida sciuroides,c4
Aristida sp.,c4
Aristida sp. 2,c4
Aristida spuria,c4
Aristida strigosa,c4
Aristida superpendens,c4
Aristida thompsonii,c4
Aristida utilis,c4
Aristida utilis var. grandiflora,c4
Aristida utilis var. utilis,c4
Aristida vagans,c4
Aristida vickeryae,c4
Aristida warburgii,c4
Arthragrostis aristispicula,c4
Arthragrostis brassiana,c4
Arthragrostis brassiana var. brassiana,c4
Arthragrostis brassiana var. minutiflora,c4
Arthragrostis clarksoniana,c4
Arthragrostis deschampsioides,c4
Arthraxon castratu,c4
Arthraxon hispidus,c4
Arundinella grevillensis,c3
Arundinella montana,c3
Arundinella nepalensis,c3
Arundinella setosa,c3
Astrebla elymoides,c4
Astrebla lappacea,c4
Astrebla pectinata,c4
Astrebla squarrosa,c4
Australopyrum pectinatum,C3
Australopyrum retrofractum,C3
Australopyrum velutinum,NA
Austrochloris dichanthioides,NA
Austrofestuca littoralis,NA
Austrostipa aquarii,NA
Austrostipa aristiglumis,NA
Austrostipa bigeniculata,NA
Austrostipa blackii,NA
Austrostipa blakei,NA
Austrostipa breviglumis,NA
Austrostipa campylachne,NA
Austrostipa centralis,NA
Austrostipa compressa,NA
Austrostipa crinita,NA
Austrostipa curticoma,NA
Austrostipa densiflora,NA
Austrostipa dongicola,NA
Austrostipa drummondii,NA
Austrostipa echinata,NA
Austrostipa elegantissima,NA
