taxon_name,entity_context,location_code,pollination_treatment,plant_growth_form,flower_diameter (mean) (cm),flower_diameter error (cm),inflorescence_type,flower_fertile_stamens_count ({count}),flower_anther_curvature,anther_uniformity,flower_filament_fusion,flower_style_curvature,infertile_fruit_retention,pollen_per_flower (grains/flower),pollen_per_flower error (CI),phenological_isolation_index_2013,phenological_isolation_paired_with,flower_colour,flower_lifespan (minimum) (h),flower_lifespan (maximum) (h),flower_structural_carpels_count ({count}),flower_ovules_per_functional_carpel_count ({count}),stigma_surface_texture,flower_nectar_production,flower_pollinator_reward,pollen_deposition_site_on_pollinator,pollen_reception_site_from_pollinator,herkogamy_distance (minimum) (mm),breeding_system,self_incompatibility_index ({dimensionless}),pollen_limitation,proportion_stigmas_with_pollen_at_opening (%),proportion_stigmas_with_pollen_at_opening n,pollen_grains_per_stigma_at_opening (grains/stigma),pollen_grains_per_stigma_at_opening SE,pollen_grains_per_stigma_at_opening n,proportion_pollen_tubes_emergent_at_opening (%),seeds_per_fruit (minimum) ({count}),seeds_per_fruit (maximum) ({count}),proportion_fruit_with_6_seeds_outcross_pollen (%),proportion_fruit_with_1_seed_outcross_pollen (%),heterospecific_pollen_effect_on_fruit_seed_set,heterospecific_pollen_donor,number_of_hand_crosses ({count}),heterospecific_cross_fruit_seed_set,number_of_fruit_from_hybrid_pollination_39_crosses ({count}),flower_visitor,flower_visitor identity,flowering_period_start_2013
Thysanotus tenellus,,Nicholson Road Reserve,,Geophyte,1.9,0.1,Open panicle,Six,straight,equal,free,Straight,No,36158,3077,,,purple,5,6,3,2,papillate,No nectar is produced,pollen being the only reward to the pollinator,ventral,ventral (same surface pollen is picked up from),,"autogamous, with prior selfing",0.1,has escaped pollen limitation,88%,20,4.7,1.0,20,0.7%,,,,,"no effect (although not significantly lower) fruit and seed set, more variability",Thysanotus sp. Coastal plain,184,No change,,beetle,"small black beetle, ~2 mm long, unidentified","first to flower (September, austral spring)"
Thysanotus tenellus,,Area A,,,,,,,,,,,,,,abs,Thysanotus sp. Coastal plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thysanotus tenellus,,Area B,,,,,,,,,,,,,,abs,Thysanotus sp. Coastal plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thysanotus tenellus,,Area D,,,,,,,,,,,,,,0.057 (9 Oct),Thysanotus sp. Coastal plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thysanotus sp. Coastal plain,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",Nicholson Road Reserve,,Geophyte,2.5,0.1,Open panicle,Six,straight,equal,free,Hooked,No,93118,11201,,,purple,5,6,3,2,papillate,No nectar is produced,pollen being the only reward to the pollinator,,dorsal,>2,,,,,,,,,,,,,,,Thysanotus tenellus,24,Small,,beetle,"small black beetle, ~2 mm long, unidentified","first to flower (September, austral spring)"
Thysanotus sp. Coastal plain,,Area A,,,,,,,,,,,,,,abs,Thysanotus tenellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thysanotus sp. Coastal plain,,Area B,,,,,,,,,,,,,,0.075 (16 Oct),Thysanotus tenellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thysanotus sp. Coastal plain,,Area D,,,,,,,,,,,,,,0.327 (5 Oct),Thysanotus tenellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thysanotus triandrus,,Nicholson Road Reserve,,HC,3.0,0.1,Large umbel,Three,curved,equal,free,Curved,Yes,361806,30537,,,purple,5,6,3,2,papillate,No nectar is produced,pollen being the only reward to the pollinator,,dorsal,>2,mixed mating system,0.56,T. triandrus is pollen limited,,,,,,,1,1,61%,5%,no effect,Thysanotus multiflorus,39,Small,1,bee,Amegilla chlorocyanea (blue-banded bee),early November
Thysanotus triandrus,,Area A,,,,,,,,,,,,,,0.662 (18 Nov),Thysanotus multiflorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thysanotus triandrus,,Area B,,,,,,,,,,,,,,1 (18 Nov),Thysanotus multiflorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thysanotus triandrus,,Area D,,,,,,,,,,,,,,abs,Thysanotus multiflorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thysanotus triandrus,,Nicholson Road Reserve,Self,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,one,two,,,,,,,,,,
Thysanotus triandrus,,Nicholson Road Reserve,Outcross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,three,six,,,,,,,,,,
Thysanotus multiflorus,,Nicholson Road Reserve,,HC,3.0,0.1,Large umbel,Three,curved,equal,free,Curved,Yes,374445,54107,,,purple,5,6,3,2,papillate,No nectar is produced,pollen being the only reward to the pollinator,,,>2,,,,,,,,,,,,,,,Thysanotus triandrus,25,0,,bee,Amegilla chlorocyanea (blue-banded bee),early October
Thysanotus multiflorus,,Area A,,,,,,,,,,,,,,0.549 (31 Oct),Thysanotus triandrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thysanotus multiflorus,,Area B,,,,,,,,,,,,,,1 (27 Oct),Thysanotus triandrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thysanotus multiflorus,,Area D,,,,,,,,,,,,,,na,Thysanotus triandrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
