species,species_code,site,site2,contextual,LENGTH,WIDTH,AREA,NPSU,FRESH.WT,DRY.WT,WT.STALK,THICK,INCLIN,VOL.CHL,FW.CHL,A647,A664,N,P,leaf_chlorophyll_A_per_dry_mass,leaf_chlorophyll_B_per_dry_mass,leaf_chlorophyll_per_dry_mass2,leaf_chlorophyll_per_dry_mass,chlorophyll_A_B_ratio,count_leaves,leaf_area,stalk_dry_mass,leaf_fresh_mass,leaf_dry_mass,leaf_dry_matter_content,leaf_water_content_per_mass,support_fraction,specific_leaf_area
Coprosma quadrifida,COP.QUA,NEG1,Cascades,canopy,1.5,1.5,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NEG1,Cascades,canopy,2,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NEG1,Cascades,canopy,2.5,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NEG1,Cascades,canopy,3,1.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NEG1,Cascades,canopy,3,2.5,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle sp,HYD.SPE,SWT1,Anne,canopy,3,4,0.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.699,NA,NA,NA,NA,NA,NA,NA
Citriobatus pauciflorus,CIT.PAU,BAT1,Lumeah,canopy,3.5,3,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle sp,HYD.SPE,SWT1,Anne,canopy,3.5,5,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA
Citriobatus pauciflorus,CIT.PAU,BAT1,Lumeah,canopy,4,3,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NEG1,Cascades,canopy,4,3,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NWT1,Balfour,canopy,4,1,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle sp,HYD.SPE,SWT1,Anne,canopy,4,6,0.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.717,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NEG1,Cascades,canopy,4.5,2.5,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA
climber no 1 (furry leaf),CLI.NO1,NEG1,Cascades,canopy,4.5,5,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NWT1,Balfour,canopy,4.5,2,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
Citriobatus pauciflorus,CIT.PAU,BAT1,Lumeah,canopy,5,4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
Citriobatus pauciflorus,CIT.PAU,BAT1,Lumeah,canopy,5,3,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,BAT1,Lumeah,juvenile,5,4,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA
pteridophyte no 1,PTE.NO1,BAT1,Lumeah,juvenile,5,3.5,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NEG1,Cascades,canopy,5,3,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA
Hyrocotyle pedicellosa,HYD.PED,NEG1,Cascades,canopy,5,10,14.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.37,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NWT1,Balfour,canopy,5,2,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,seedling,5,5,0.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle sp,HYD.SPE,SWT1,Anne,canopy,5,9.5,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252,NA,NA,NA,NA,NA,NA,NA
