species,season,tree,Aarea,Amass,ETRmax
Eucalyptus macrorhyncha,summer,1,21.04,143.9604267,11.44428617
Eucalyptus macrorhyncha,summer,1,23.51,160.860724,12.26959252
Eucalyptus macrorhyncha,summer,1,21.64,148.0657621,10.50754889
Eucalyptus macrorhyncha,summer,2,22.68,115.0214337,9.67224699
Eucalyptus macrorhyncha,summer,2,19.66,99.70552848,9.342396354
Eucalyptus macrorhyncha,summer,2,16.19,82.10745199,13.82371692
Eucalyptus macrorhyncha,summer,3,9.56,46.23270095,14.78494668
Eucalyptus macrorhyncha,summer,3,14.14,68.38184011,9.997067226
Eucalyptus macrorhyncha,summer,3,32.55,157.4136418,11.94739551
Eucalyptus macrorhyncha,summer,4,22.01,117.5642533,7.058782346
Eucalyptus macrorhyncha,summer,4,18,96.14523214,6.744273168
Eucalyptus macrorhyncha,summer,4,14.64,78.19812214,7.750965713
Eucalyptus macrorhyncha,summer,5,4.84,21.86821999,11.06333168
Eucalyptus macrorhyncha,summer,5,4.52,20.42238726,9.970874087
Eucalyptus macrorhyncha,summer,5,1.42,6.415882723,7.87029689
Eucalyptus macrorhyncha,summer,6,4.17,26.76712561,3.540531226
Eucalyptus macrorhyncha,summer,6,3.95,25.35495111,9.619807608
Eucalyptus macrorhyncha,summer,6,5.58,35.81788031,10.95520054
Eucalyptus macrorhyncha,summer,7,26.7,174.0332119,10.3416953
Eucalyptus macrorhyncha,summer,7,19.79,128.9931559,9.141386546
Eucalyptus macrorhyncha,summer,7,20.49,133.5558244,26.55140678
Eucalyptus macrorhyncha,summer,8,20.59,133.0453122,10.00601926
Eucalyptus macrorhyncha,summer,8,22.14,143.060865,12.65587495
Eucalyptus macrorhyncha,summer,8,19.16,123.8051569,17.12411694
Eucalyptus macrorhyncha,summer,9,12.97,86.55228252,8.748432538
Eucalyptus macrorhyncha,summer,9,4.33,28.89524929,10.02890954
Eucalyptus macrorhyncha,summer,9,3.68,24.55762526,12.17873392
Eucalyptus macrorhyncha,summer,10,18.56,130.8548178,9.788034125
Eucalyptus macrorhyncha,summer,10,20.37,143.6159826,14.71880923
Eucalyptus macrorhyncha,summer,10,22.18,156.3771475,11.715956
Eucalyptus macrorhyncha,summer,11,4.05,31.3521608,5.787558215
Eucalyptus macrorhyncha,summer,11,3.81,29.49425498,4.121669693
Eucalyptus macrorhyncha,summer,11,7.4,57.28542962,9.689337687
Eucalyptus macrorhyncha,summer,12,21.82,147.9976453,6.108637021
Eucalyptus macrorhyncha,summer,12,8.99,60.97611508,5.670567522
Eucalyptus macrorhyncha,summer,12,16.13,109.4043088,8.962224428
Eucalyptus macrorhyncha,summer,13,10.93,54.02784178,15.93702329
Eucalyptus macrorhyncha,summer,13,5.16,25.50628212,10.91261214
Eucalyptus macrorhyncha,summer,13,19.4,95.89571184,9.126345814
Eucalyptus macrorhyncha,summer,14,11.85,97.94961274,11.72761406
Eucalyptus macrorhyncha,summer,14,7.21,59.59634665,6.321588838
Eucalyptus macrorhyncha,summer,14,3.68,30.41810758,12.72106808
Eucalyptus macrorhyncha,summer,15,17.23,84.62229478,12.62036582
Eucalyptus macrorhyncha,summer,15,17.23,84.62229478,12.64305055
Eucalyptus macrorhyncha,summer,15,15.79,77.54997299,13.4671898
Eucalyptus macrorhyncha,summer,16,14.47,92.76110507,16.74785273
Eucalyptus macrorhyncha,summer,16,11.85,75.96538322,20.49550562
Eucalyptus macrorhyncha,summer,16,11.5,73.72167991,12.74018926
Eucalyptus macrorhyncha,summer,17,9.03,56.33552787,11.43657445
Eucalyptus macrorhyncha,summer,17,7.11,44.35720965,9.23185311
Eucalyptus macrorhyncha,summer,17,9.2,57.39610813,5.816603589
Eucalyptus macrorhyncha,summer,18,5.85,27.5447499,5.816603589
Eucalyptus macrorhyncha,summer,18,4.6,21.65911958,6.667001522
Eucalyptus macrorhyncha,summer,18,18,84.75307662,7.507430103
Eucalyptus macrorhyncha,summer,19,13.64,76.49938197,11.89013934
Eucalyptus macrorhyncha,summer,19,13.94,78.1819197,12.3095497
Eucalyptus macrorhyncha,summer,19,9.8,54.96289907,8.695273018
Eucalyptus macrorhyncha,summer,20,5.31,25.87672607,9.551327503
Eucalyptus macrorhyncha,summer,20,9,43.85885775,11.29371517
Eucalyptus macrorhyncha,summer,20,12.98,63.25421929,7.325031662
Eucalyptus macrorhyncha,summer,21,19.46,145.4350842,33.18732686
Eucalyptus macrorhyncha,summer,21,19.08,142.5951391,8.712098387
Eucalyptus macrorhyncha,summer,21,22.32,166.809408,16.07071961
Eucalyptus macrorhyncha,summer,22,18.4,114.3040881,21.2815336
Eucalyptus macrorhyncha,summer,22,24.31,151.0180642,14.67845078
Eucalyptus macrorhyncha,summer,22,14.49,90.01446935,8.513365489
Eucalyptus macrorhyncha,summer,23,20.67,114.9205752,15.37786607
Eucalyptus macrorhyncha,summer,23,18.06,100.4095591,9.928985045
Eucalyptus macrorhyncha,summer,23,8.92,49.59320418,13.79462411
Eucalyptus macrorhyncha,summer,24,6.67,23.79185811,8.825891381
Eucalyptus macrorhyncha,summer,24,7.51,26.78813409,16.7948699
Eucalyptus macrorhyncha,summer,24,6.94,24.75494682,22.14423474
Eucalyptus macrorhyncha,winter,1,17.85236181,78.05644246,7.671599185
Eucalyptus macrorhyncha,winter,1,15.14538926,66.22066134,8.080068855
Eucalyptus macrorhyncha,winter,1,19.05426589,83.31156542,6.588488974
Eucalyptus macrorhyncha,winter,2,17.40004152,80.74950007,15.67091768
Eucalyptus macrorhyncha,winter,2,16.64326555,77.23748083,14.78577826
Eucalyptus macrorhyncha,winter,2,17.16914441,79.67796093,21.10662329
Eucalyptus macrorhyncha,winter,3,19.55156722,102.0618024,6.277004457
