species,season,Sample ID,Cmass % (w/w),Nmass % (w/w),SLA,N g m-2
Eucalyptus macrorhyncha,w,1,56.1,1.21,45.53731975,2.657161218
Eucalyptus macrorhyncha,w,2,56,1.18,45.53731975,2.591281187
Eucalyptus macrorhyncha,w,3,55.9,1.27,45.53731975,2.788921278
Eucalyptus macrorhyncha,w,4,56.2,1.21,45.53731975,2.657161218
Eucalyptus macrorhyncha,w,5,56.6,1.19,45.53731975,2.613241197
Eucalyptus macrorhyncha,w,6,54.9,1.24,45.53731975,2.723041248
Eucalyptus macrorhyncha,w,7,55.6,1.45,45.53731975,3.184201459
Eucalyptus macrorhyncha,w,8,55,1.91,45.53731975,4.194361922
Eucalyptus macrorhyncha,w,9,56.3,1.14,45.53731975,2.503441147
Eucalyptus macrorhyncha,w,10,55.9,1.24,45.53731975,2.723041248
Eucalyptus macrorhyncha,w,,,,,
Eucalyptus macrorhyncha,w,12,57.5,1.25,50.21067013,2.489510689
Eucalyptus macrorhyncha,w,13,57.7,1.1,50.21067013,2.190769406
Eucalyptus macrorhyncha,w,14,56,1.08,50.21067013,2.150937235
Eucalyptus macrorhyncha,w,15,55.3,1.03,50.21067013,2.051356808
Eucalyptus macrorhyncha,w,16,56,1.1,50.21067013,2.190769406
Eucalyptus macrorhyncha,w,,,,,
Eucalyptus macrorhyncha,w,18,55.9,0.991,48.15098742,2.058109404
Eucalyptus macrorhyncha,w,19,57.4,1.46,48.15098742,3.032128889
Eucalyptus macrorhyncha,w,20,54.4,1.37,48.15098742,2.845216835
Eucalyptus macrorhyncha,w,21,55.2,1.24,48.15098742,2.575232755
Eucalyptus macrorhyncha,w,22,54.5,1.24,48.15098742,2.575232755
Eucalyptus macrorhyncha,w,23,54.3,1.28,48.15098742,2.65830478
Eucalyptus macrorhyncha,w,24,56,1.22,48.15098742,2.533696743
Eucalyptus macrorhyncha,w,25,56.4,1.07,48.15098742,2.222176652
Eucalyptus macrorhyncha,w,26,56.6,1.01,48.15098742,2.097568615
Eucalyptus macrorhyncha,w,27,58.3,1.04,48.15098742,2.159872634
Eucalyptus macrorhyncha,w,28,54.6,1.16,46.68146389,2.484926357
Eucalyptus macrorhyncha,w,29,58.7,1.19,46.68146389,2.549191694
Eucalyptus macrorhyncha,w,30,59.5,1.27,46.68146389,2.720565925
Eucalyptus macrorhyncha,w,31,52.1,0.967,46.68146389,2.071486023
Eucalyptus macrorhyncha,w,32,55.4,1.11,46.68146389,2.377817462
Eucalyptus macrorhyncha,w,33,54.3,1.03,46.68146389,2.206443231
Eucalyptus macrorhyncha,w,34,56.8,1.26,46.68146389,2.699144146
Eucalyptus macrorhyncha,w,35,56.1,1.06,46.68146389,2.270708567
Eucalyptus macrorhyncha,w,36,54.3,1.21,46.68146389,2.592035251
Eucalyptus macrorhyncha,s,37,58.9,1.05,55.04729666,1.907450617
Eucalyptus macrorhyncha,s,38,56.5,1.35,55.04729666,2.452436508
Eucalyptus macrorhyncha,s,39,55.9,1.35,55.04729666,2.452436508
Eucalyptus macrorhyncha,s,40,57.8,1.09,55.04729666,1.980115403
Eucalyptus macrorhyncha,s,41,55.5,1.01,55.04729666,1.834785832
Eucalyptus macrorhyncha,s,42,54.9,0.964,55.04729666,1.751221329
Eucalyptus macrorhyncha,s,43,57.1,1.27,55.04729666,2.307106937
Eucalyptus macrorhyncha,s,44,55.2,1.39,55.04729666,2.525101294
Eucalyptus macrorhyncha,s,45,55.1,1.22,55.04729666,2.216275955
Eucalyptus macrorhyncha,s,46,56.1,1.09,68.71219062,1.586326953
Eucalyptus macrorhyncha,s,47,55.7,1.21,68.71219062,1.760968453
Eucalyptus macrorhyncha,s,48,55.5,1.21,68.71219062,1.760968453
Eucalyptus macrorhyncha,s,49,53.8,1.16,68.71219062,1.688201161
Eucalyptus macrorhyncha,s,50,58.4,1.43,68.71219062,2.081144535
Eucalyptus macrorhyncha,s,51,54.8,1.2,68.71219062,1.746414994
Eucalyptus macrorhyncha,s,52,55.4,1.27,68.71219062,1.848289202
Eucalyptus macrorhyncha,s,53,55,1.16,68.71219062,1.688201161
Eucalyptus macrorhyncha,s,54,52.1,1.21,68.71219062,1.760968453
Eucalyptus macrorhyncha,s,55,52.6,1.12,59.12999189,1.894131834
Eucalyptus macrorhyncha,s,56,55.2,1.11,59.12999189,1.877219943
Eucalyptus macrorhyncha,s,57,55.4,1.29,59.12999189,2.181633988
Eucalyptus macrorhyncha,s,58,55.4,1.52,59.12999189,2.570607489
Eucalyptus macrorhyncha,s,59,54.3,1.25,59.12999189,2.113986422
Eucalyptus macrorhyncha,s,60,54.2,1.09,59.12999189,1.84339616
Eucalyptus macrorhyncha,s,61,54.5,1.54,59.12999189,2.604431272
Eucalyptus macrorhyncha,s,62,53.9,1.55,59.12999189,2.621343163
Eucalyptus macrorhyncha,s,63,53.8,1.58,59.12999189,2.672078837
Eucalyptus macrorhyncha,s,64,53,0.979,55.4902591,1.764273615
Eucalyptus macrorhyncha,s,65,53.5,1.6,55.4902591,2.883388951
Eucalyptus macrorhyncha,s,66,55.3,0.963,55.4902591,1.735439725
Eucalyptus macrorhyncha,s,67,53.8,1.36,55.4902591,2.450880609
Eucalyptus macrorhyncha,s,68,55.8,1.35,55.4902591,2.432859428
Eucalyptus macrorhyncha,s,69,56.3,1.36,55.4902591,2.450880609
Eucalyptus macrorhyncha,s,70,53.3,1.16,55.4902591,2.09045699
Eucalyptus macrorhyncha,s,71,54.2,1.4,55.4902591,2.522965332
Eucalyptus macrorhyncha,s,72,53.8,1.32,55.4902591,2.378795885
