Species,sample month,sample number,Hv sapwood,Hydraulic condictivity,HC per leaf area,HC per branch TA,HC per SW area
Eucalyptus macrorhyncha,summer,1,0.000241386,0.9375,0.005024116,0.872364876,2.081358818
Eucalyptus macrorhyncha,summer,2,0.000134477,4.828015873,0.025558581,5.020684646,19.0058554
Eucalyptus macrorhyncha,summer,3,0.000209383,0.595238095,0.001810335,0.553882461,0.86460339
Eucalyptus macrorhyncha,summer,4,0.000346496,2.217984791,0.010340255,2.180137602,2.984235484
Eucalyptus macrorhyncha,summer,5,0.000287175,0.944023438,0.003981541,1.174392214,1.386449613
Eucalyptus macrorhyncha,summer,6,0.000239441,0.689655172,0.002442122,0.677887053,1.019927909
Eucalyptus macrorhyncha,summer,7,0.000159894,0.230946882,0.001253783,0.435206879,0.784133375
Eucalyptus macrorhyncha,summer,8,0.000261172,1.029962547,0.00541231,1.281302929,2.072313644
Eucalyptus macrorhyncha,summer,9,0.000832734,0,0,0,0
Eucalyptus macrorhyncha,summer,10,0.000290889,2.44508982,0.010062098,3.972913396,3.459086411
Eucalyptus macrorhyncha,summer,11,0.000191441,0.449746032,0.002053635,0.681242427,1.072723276
Eucalyptus macrorhyncha,summer,12,8.66E-05,0.610811518,0.00089812,0.673100212,1.036943415
Eucalyptus macrorhyncha,summer,13,0.0002215,0.78125,0.004022915,1.105803255,1.816211011
Eucalyptus macrorhyncha,summer,14,0.000210141,0.678733032,0.005031379,1.18604673,2.394286311
Eucalyptus macrorhyncha,summer,15,0.000168504,0.633726236,0.003538393,0.896993964,2.099891781
Eucalyptus macrorhyncha,summer,16,0.000322567,0.372022321,0.004310803,0.650087497,1.336406062
Eucalyptus macrorhyncha,summer,17,0.000406705,0.887361111,0.006329252,0.977851488,1.556226743
Eucalyptus macrorhyncha,summer,18,0.000233019,0.668703704,0.004218951,1.086545729,1.810564611
Eucalyptus macrorhyncha,summer,19,0.000341823,0.435060241,0.002992161,0.819847437,0.875353454
Eucalyptus macrorhyncha,summer,20,0.000263654,1.984126984,0.01937624,2.63012518,7.349128816
Eucalyptus macrorhyncha,summer,21,0.000355589,4.065060976,0.046564272,7.660387019,13.0949634
Eucalyptus macrorhyncha,summer,22,0.00021331,0.367105727,0.002062392,0.519611786,0.966851838
Eucalyptus macrorhyncha,summer,23,0.000285287,0.231480159,0.002847234,0.404498194,0.998024136
Eucalyptus macrorhyncha,summer,24,0.000421493,0.36458125,0.006441365,0.592391216,1.528224459
Eucalyptus macrorhyncha,winter,1,0.000195857,3.152173913,0.002259461,1.115418936,1.153625494
Eucalyptus macrorhyncha,winter,2,0.000299808,0.617296296,0.004712185,0.935035325,1.571731968
Eucalyptus macrorhyncha,winter,3,0.000282469,0.619057143,0.002272603,0.6821867,0.804548585
Eucalyptus macrorhyncha,winter,4,0.000336062,1.767689394,0.007408589,1.339579788,2.204529441
Eucalyptus macrorhyncha,winter,5,0.000590953,0.75521875,0.006100313,0.832233652,1.032283552
Eucalyptus macrorhyncha,winter,6,0.000351673,2.289395604,0.011288933,2.019686649,3.21006781
Eucalyptus macrorhyncha,winter,7,0.000405618,0.25862069,0.001680446,0.342823213,0.414293081
Eucalyptus macrorhyncha,winter,8,0.000283677,4.223744292,0.008941034,2.240968754,3.151839229
Eucalyptus macrorhyncha,winter,9,0.000305001,0.753537234,0.001696392,0.474034589,0.556191978
Eucalyptus macrorhyncha,winter,10,0.000377897,0.928278481,0.003468903,0.777462431,0.917950085
Eucalyptus macrorhyncha,winter,11,0.00046198,1.420160772,0.004804333,0.893393581,1.039942847
Eucalyptus macrorhyncha,winter,12,0.000400409,1.694915254,0.005687635,1.419544847,1.420456199
Eucalyptus macrorhyncha,winter,13,0.00038585,0.448922559,0.001887022,0.35742242,0.489056358
Eucalyptus macrorhyncha,winter,14,0.000308502,0.455927052,0.002077116,0.40221523,0.673290896
Eucalyptus macrorhyncha,winter,15,0.000255779,1.356589147,0.007162561,2.765022466,2.800298161
Eucalyptus macrorhyncha,winter,16,0.000455719,0,0,0,0
Eucalyptus macrorhyncha,winter,17,0.00033603,0.582762238,0.002233661,0.642190551,0.66472044
Eucalyptus macrorhyncha,winter,18,0.000121589,2.102431193,0.004887102,1.593251812,4.01935777
Eucalyptus macrorhyncha,winter,19,0.000419899,0.184588608,0.001358268,0.171763859,0.323475221
Eucalyptus macrorhyncha,winter,20,0.000485157,0.396106033,0.000699093,0.135607007,0.144096196
Eucalyptus macrorhyncha,winter,21,0.000449383,1.269857143,0.006992605,1.248188589,1.556045521
Eucalyptus macrorhyncha,winter,22,0.000217608,2.05078125,0.003856302,1.717593814,1.772134671
Eucalyptus macrorhyncha,winter,23,0.000267279,0.268806452,0.001771961,0.33440293,0.662962138
Eucalyptus macrorhyncha,winter,24,0.000259916,0.230326633,0.00129397,0.239518142,0.497842405
