nrow,trait_name,description,Top_Formal_name,Top_identifier,Top_link,type,units
1,bark_mass_area,Bark mass per unit surface area of stem,NA,,,numeric,g/cm2
2,bark_thickness,Thickness of the bark of the stem,stem bark thickness,TOP283,http://top-thesaurus.org/annotationInfo?viz=1&trait=Bark%20thickness,numeric,mm
199,basal_diameter,"Diameter at the base of the plant, standardly ""DBH"" except in short plants",NA,,,numeric,mm
3,branch_mass_fraction,Fraction of plant dry mass comprised of branch material,NA,,,numeric,mg/mg
5,cell_epidermis_Ca_per_fresh_mass,Ca content of epidermal cells,NA,,,numeric,umol/g
11,cell_epidermis_P_per_fresh_mass,P content of epidermal cells,NA,,,numeric,umol/g
6,cell_hypodermis_Ca_per_fresh_mass,Ca content of hypodermis cells,NA,,,numeric,umol/g
12,cell_hypodermis_P_per_fresh_mass,P content of hypodermis cells,NA,,,numeric,umol/g
7,cell_internal_parenchyma_Ca_per_fresh_mass,Ca content of internal parenchyma cells,NA,,,numeric,umol/g
13,cell_internal_parenchyma_P_per_fresh_mass,P content of internal parenchyma cells,NA,,,numeric,umol/g
8,cell_palisade_mesophyll_Ca_per_fresh_mass,Ca content of palisade mesophyll cells,NA,,,numeric,umol/g
14,cell_palisade_mesophyll_P_per_fresh_mass,P content of palisade mesophyll cells,NA,,,numeric,umol/g
9,cell_sclerenchyma_Ca_per_fresh_mass,Ca content of sclerenchyma cells,NA,,,numeric,umol/g
15,cell_sclerenchyma_P_per_fresh_mass,P content of sclerenchyma cells,NA,,,numeric,umol/g
10,cell_spongy_mesophyll_Ca_per_fresh_mass,Ca content of spongy mesophyll cells,NA,,,numeric,umol/g
16,cell_spongy_mesophyll_P_per_fresh_mass,P content of spongy mesophyll cells,NA,,,numeric,umol/g
18,chlorophyll_A_B_ratio,Ratio of chlorophyll A to chlorophyll B,NA,,,numeric,umol/umol
17,chlorophyll_concentration_per_area,Sum of chlorophyll A and B per leaf area,NA,,,numeric,umol/m2
19,ci,internal CO2 concentration under ambient conditions,NA,,,numeric,umol/mol
20,ci_at_Amax,internal CO2 concentration during Amax measurement,NA,,,numeric,umol/mol
21,ci_at_Asat,internal CO2 concentration during Asat measurement,NA,,,numeric,umol/mol
22,ci_over_ca,Ratio of internal to external CO2 concentrations,NA,,,numeric,umolCO2/umolCO2
23,diaspore_mass,Mass of seed including dispersal appendages,dispersule mass,TOP102,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Dispersule_mass_trait,numeric,mg
24,dispersal_appendage,Type of dispersal appendage present,NA,,,categorical,NA
25,dispersal_syndrome,"Type of dispersal syndrome displayed by species, although the list includes many dispersal appendages and fruit types. Many definitions come from Kew Botanic Gardens website.",whole plant dispersal syndrome,TOP346,http://top-thesaurus.org/annotationInfo?viz=1&trait=Plant%20dispersal%20syndrome,categorical,NA
26,dormancy_type,Classification for seed dormancy,NA,,,categorical,NA
27,epithelial_cell_density,Epithelial cell density on the leaf surface,NA,,,numeric,count/mm2
28,epithelial_cell_layer_thickness,Epithelial cell layer thickness on the leaf surface,NA,,,numeric,um
31,fire_cued_seeding,Distinguishes between plants that do and do not have fire-cued seeding,NA,,,categorical,NA
