original_term,fruit_type,fruit_dehiscence,fruit_fleshiness
"fleshy, indeh",NA,indehiscent,fleshy
berry,,,
drupe,,,
follicles,follicle,,
"pyrenes, fleshy",pyrene,,
capsule,,,
samara,,,
nut,,,
unknown,NA,,
"dry, pseuodocarp",anthocarp,,dry
"pseudocarp, dry",anthocarp,,dry
indeh. capsule,capsule,indehiscent,
legume,,,
schizocarp,,,
"dry, deh, follicle",follicle,,
achene,,,
fleshy-indeh,,indehiscent,fleshy
syncarp,multiple_fruit,,
synconium,syconium,,
?,NA,,
"capsule, deh",capsule,,
"deh, capsule",capsule,,
pulpy,NA,NA,fleshy
"indeh, fleshy",NA,indehiscent,fleshy
NA,NA,NA,NA
"ind, nut",nut,,
