Taxon,trait value,trait,unit,primary_source_id,metadata_id
Cleistochloa subjuncea,all year,flowering time,,78,81
Cymbopogon ambiguus,all year,flowering time,,78,81
Cymbopogon bombycinus,all year,flowering time,,78,81
Cymbopogon obtectus,all year,flowering time,,78,81
Cymbopogon refractus,all year,flowering time,,78,81
Dichanthium tenue,all year,flowering time,,78,81
Digitaria brownii,all year,flowering time,,78,81
Digitaria diminuta,all year,flowering time,,78,81
Digitaria longiflora,all year,flowering time,,78,81
Echinochloa elliptica,all year,flowering time,,78,81
Entolasia marginata,all year,flowering time,,78,81
Entolasia stricta,all year,flowering time,,78,81
Entolasia whiteana,all year,flowering time,,78,81
Eragrostis alveiformis,all year,flowering time,,78,81
Eragrostis australasica,all year,flowering time,,78,81
Eragrostis basedowii,all year,flowering time,,78,81
Eragrostis brownii,all year,flowering time,,78,81
Eragrostis cumingii,all year,flowering time,,78,81
Eragrostis dielsii,all year,flowering time,,78,81
Eragrostis elongata,all year,flowering time,,78,81
Eragrostis eriopoda,all year,flowering time,,78,81
Eragrostis falcata,all year,flowering time,,78,81
Eragrostis fallax,all year,flowering time,,78,81
Eragrostis interrupta,all year,flowering time,,78,81
Eragrostis lacunaria,all year,flowering time,,78,81
Eragrostis laniflora,all year,flowering time,,78,81
Eragrostis leptocarpa,all year,flowering time,,78,81
Eragrostis leptostachya,all year,flowering time,,78,81
Eragrostis microcarpa,all year,flowering time,,78,81
Eragrostis olida,all year,flowering time,,78,81
Eragrostis parviflora,all year,flowering time,,78,81
Eragrostis pergracilis,all year,flowering time,,78,81
Eragrostis potamophila,all year,flowering time,,78,81
Eragrostis pubescens,all year,flowering time,,78,81
Eragrostis schultzii,all year,flowering time,,78,81
Eragrostis setifolia,all year,flowering time,,78,81
Eragrostis sororia,all year,flowering time,,78,81
Eragrostis spartinoides,all year,flowering time,,78,81
Eragrostis speciosa,all year,flowering time,,78,81
Eragrostis stagnalis,all year,flowering time,,78,81
Eragrostis xerophila,all year,flowering time,,78,81
Eriachne aristidea,all year,flowering time,,78,81
Eriachne pulchella,all year,flowering time,,78,81
Eriachne pulchella subsp. dominii,all year,flowering time,,78,81
Eriachne pulchella subsp. pulchella,all year,flowering time,,78,81
Eriochloa procera,all year,flowering time,,78,81
Heteropogon contortus,all year,flowering time,,78,81
