Taxon,trait value,trait,units,primary_source_id,metadata_id
Aristida inaequiglumis,all year,flowering time,NA,79,82
Aristida pruinosa,all year,flowering time,NA,79,82
Aristida ingrata,all year,flowering time,NA,79,82
Aristida capillifolia,all year,flowering time,NA,79,82
Aristida ramosa,all year,flowering time,NA,79,82
Aristida blakei,all year,flowering time,NA,79,82
Aristida gracilipes,all year,flowering time,NA,79,82
Aristida behriana,all year,flowering time,NA,79,82
Aristida thompsonii,aug,flowering time,NA,79,82
Aristida echinata,aug-jul,flowering time,NA,79,82
Aristida annua,autumn,flowering time,NA,79,82
Aristida biglandulosa,dec-oct,flowering time,NA,79,82
Aristida holathera,ephemeral,flowering time,NA,79,82
Aristida lazaridis,feb-aug,flowering time,NA,79,82
Aristida burbidgeae,feb-aug,flowering time,NA,79,82
Aristida superpendens,jan-aug,flowering time,NA,79,82
Arundinella setosa,jan-aug,flowering time,NA,79,82
Aristida perniciosa,jan-jul,flowering time,NA,79,82
Aristida polyclados,jan-jul,flowering time,NA,79,82
Aristida kimberleyensis,jan-mar,flowering time,NA,79,82
Aristida hygrometrica,jan-nov,flowering time,NA,79,82
Aristida latzii,jan-oct,flowering time,NA,79,82
Aristida exserta,jan-sep,flowering time,NA,79,82
Aristida schultzii,jan-sep,flowering time,NA,79,82
Arthraxon castratu,jul,flowering time,NA,79,82
Aristida burraensis,jul,flowering time,NA,79,82
Aristida helicophylla,mar-oct,flowering time,NA,79,82
Aristida dominii,may-aug,flowering time,NA,79,82
Aristida sciuroides,nov-sep,flowering time,NA,79,82
Amphibromus recurvatus,summer,flowering time,NA,79,82
Ancistrachne maidenii,summer-autumn,flowering time,NA,79,82
Amphibromus fluitans,tufted/rhizatomous,growth habit,NA,79,82
Amphibromus archeri,tufted/rhizatomous,growth habit,NA,79,82
Arundinella nepalensis,rhizomatous,growth habit,NA,79,82
Arundinella setosa,rhizomatous,growth habit,NA,79,82
Arundinella grevillensis,rhizomatous,growth habit,NA,79,82
Arundinella montana,rhizomatous,growth habit,NA,79,82
Astrebla pectinata,rhizomatous,growth habit,NA,79,82
Alloteropsis semialata,rhizomatous,growth habit,NA,79,82
Aristida biglandulosa,tufted,growth habit,NA,79,82
Aristida hygrometrica,tufted,growth habit,NA,79,82
Aristida inaequiglumis,tufted,growth habit,NA,79,82
Aristida perniciosa,tufted,growth habit,NA,79,82
Aristida pruinosa,tufted,growth habit,NA,79,82
Aristida superpendens,tufted,growth habit,NA,79,82
Aristida capillifolia,tufted,growth habit,NA,79,82
Aristida ramosa,tufted,growth habit,NA,79,82
Aristida queenslandica,tufted,growth habit,NA,79,82
Aristida strigosa,tufted,growth habit,NA,79,82
Astrebla squarrosa,tufted,growth habit,NA,79,82
Aristida caput-medusae,tufted,growth habit,NA,79,82
Aristida contorta,tufted,growth habit,NA,79,82
Aristida jerichoensis,tufted,growth habit,NA,79,82
Aristida lignosa,tufted,growth habit,NA,79,82
Aristida nitidula,tufted,growth habit,NA,79,82
Aristida obscura,tufted,growth habit,NA,79,82
Aristida personata,tufted,growth habit,NA,79,82
Acrachne racemosa,tufted,growth habit,NA,79,82
Arthraxon hispidus,tufted,growth habit,NA,79,82
Aristida dominii,tufted,growth habit,NA,79,82
Aristida exserta,tufted,growth habit,NA,79,82
Aristida latzii,tufted,growth habit,NA,79,82
Aristida lazaridis,tufted,growth habit,NA,79,82
