location_name,location_code,latitude (deg),longitude (deg),description,locality,geology (stratigraphic map unit),soil_type,"precipitation, MAP (mm)","temperature, mean daily max annual (deg C)","temperature, mean daily min annual (deg C)",fire history,notes
Nicholson Road Reserve,Nicholson Road Reserve,-32.049136,115.932986,urban heathland reserve,"Nicholson Road Reserve, Perth metropolitan region, south-western Western Australia",Bassendean sand,"duplex soil with sandy A horizon and dense sandy clay B horizon, waterlogged in lower areas in winter/early spring",822,25.5,13.4,reserve as a whole spans areas with different fire histories -- see Area A / Area B / Area D for area-specific fire history,"coordinates as printed in source: 32°02'56.89""S, 115°55'58.75""N -- the ""N"" hemisphere letter for the longitude appears to be a typo (should be E, consistent with Perth, WA); converted here assuming E. Coordinates are for the Nicholson Road Reserve as a whole -- the source gives no separate coordinates for areas A, B and D; area A and B are stated to be only ~3 m apart (separated by a track) and area D is >500 m from the other two."
Nicholson Road Reserve,Area A,-32.049136,115.932986,"urban heathland reserve, area burnt in 2000","Nicholson Road Reserve, Perth metropolitan region, south-western Western Australia",Bassendean sand,"duplex soil with sandy A horizon and dense sandy clay B horizon, waterlogged in lower areas in winter/early spring",822,25.5,13.4,"last burnt 2000; adjacent to area B, separated by a 3-m-wide track","coordinates as printed in source: 32°02'56.89""S, 115°55'58.75""N -- the ""N"" hemisphere letter for the longitude appears to be a typo (should be E, consistent with Perth, WA); converted here assuming E. Coordinates are for the Nicholson Road Reserve as a whole -- the source gives no separate coordinates for areas A, B and D; area A and B are stated to be only ~3 m apart (separated by a track) and area D is >500 m from the other two."
Nicholson Road Reserve,Area B,-32.049136,115.932986,"urban heathland reserve, area burnt in 2002","Nicholson Road Reserve, Perth metropolitan region, south-western Western Australia",Bassendean sand,"duplex soil with sandy A horizon and dense sandy clay B horizon, waterlogged in lower areas in winter/early spring",822,25.5,13.4,"last burnt 2002; adjacent to area A, separated by a 3-m-wide track","coordinates as printed in source: 32°02'56.89""S, 115°55'58.75""N -- the ""N"" hemisphere letter for the longitude appears to be a typo (should be E, consistent with Perth, WA); converted here assuming E. Coordinates are for the Nicholson Road Reserve as a whole -- the source gives no separate coordinates for areas A, B and D; area A and B are stated to be only ~3 m apart (separated by a track) and area D is >500 m from the other two."
Nicholson Road Reserve,Area D,-32.049136,115.932986,"urban heathland reserve, long unburnt area","Nicholson Road Reserve, Perth metropolitan region, south-western Western Australia, >500 m from areas A and B",Bassendean sand,"duplex soil with sandy A horizon and dense sandy clay B horizon, waterlogged in lower areas in winter/early spring",822,25.5,13.4,"long unburnt, >20 years since last fire (main text); Supporting Info Fig. S1 caption states date of last fire unknown, but before 2000","coordinates as printed in source: 32°02'56.89""S, 115°55'58.75""N -- the ""N"" hemisphere letter for the longitude appears to be a typo (should be E, consistent with Perth, WA); converted here assuming E. Coordinates are for the Nicholson Road Reserve as a whole -- the source gives no separate coordinates for areas A, B and D; area A and B are stated to be only ~3 m apart (separated by a track) and area D is >500 m from the other two."
