taxon,intrinsic_transpiration_m3/d/m2,sampling season,entity_type,date,replicates
Eucalyptus miniata,0.00089,wet95,population,1995,3
Eucalyptus tetrodonta,0.00146,wet95,population,1995,3
Eucalyptus miniata,0.00075,dry95,population,1995-07/1995-08,3
Eucalyptus tetrodonta,0.00202,dry95,population,1995-07/1995-08,3
Eucalyptus miniata,0.00054,wet96,population,1996,3
Eucalyptus tetrodonta,0.00058,wet96,population,1996,3
Eucalyptus miniata,0.00232,dry96,population,1996-07/1996-08,3
Eucalyptus tetrodonta,0.00149,dry96,population,1996-07/1996-08,3
Eucalyptus miniata,0.00056,wet97,population,1997,3
Eucalyptus tetrodonta,0.00050,wet97,population,1997,3
Eucalyptus miniata,0.00117,dry97,population,1997-07/1997-08,3
Eucalyptus tetrodonta,0.00076,dry97,population,1997-07/1997-08,3
Eucalyptus miniata,0.0016,dry97,individual,1997-07/1997-08,1
Eucalyptus miniata,0.0015,dry97,individual,1997-07/1997-08,1
Eucalyptus miniata,0.0012,dry97,individual,1997-07/1997-08,1
Eucalyptus miniata,0.0013,dry97,individual,1997-07/1997-08,1
Eucalyptus miniata,0.0010,dry97,individual,1997-07/1997-08,1
Eucalyptus miniata,0.0008,dry97,individual,1997-07/1997-08,1
Eucalyptus tetrodonta,0.0016,dry97,individual,1997-07/1997-08,1
Eucalyptus tetrodonta,0.0009,dry97,individual,1997-07/1997-08,1
Eucalyptus tetrodonta,0.0017,dry97,individual,1997-07/1997-08,1
Eucalyptus tetrodonta,0.0007,dry97,individual,1997-07/1997-08,1
Eucalyptus tetrodonta,0.0008,dry97,individual,1997-07/1997-08,1
Eucalyptus tetrodonta,0.0008,dry97,individual,1997-07/1997-08,1
