species_name,host_name,parasitised_by,site,site_alternatives,parasite_type,leaf_dry_matter_d13C,count_leaf_dry_matter_d13C,leaf_cellulose_d13C,count_leaf_cellulose_d13C,leaf_dry_matter_d18O,count_leaf_dry_matter_d18O,leaf_cellulose_d18O,count_leaf_cellulose_d18O,leaf_water_d18O,count_leaf_water_d18O,data_source
Amyema miquelii,Eucalyptus wandoo,,Tunney,,Mistletoe,-31.0±0.7,10,-27.8±0.6,6,27.0±1.4,10,33.1±2.6,6,8.9±0.5,4,Cernusak_2004 Tables 2-3
Eucalyptus wandoo,,Amyema miquelii,Tunney,,non-parasitic,-28.0±0.8,10,-25.5±0.9,6,31.6±0.8,10,34.6±2.1,6,9.4±0.6,4,Cernusak_2004 Tables 2-3
Amyema preissii,Acacia acuminata,,Williams,,Mistletoe,-29.8±0.4,10,-27.0±0.7,6,25.9±1.8,10,34.5±2.2,6,17.1±1.5,4,Cernusak_2004 Tables 2-3
Acacia acuminata,,Amyema preissii,Williams,,non-parasitic,-29.0±0.5,10,-25.0±0.4,6,29.4±1.6,10,40.1±1.4,6,16.7±4.7,4,Cernusak_2004 Tables 2-3
Cassytha sp.,Acacia littorea,,William Bay National Park,,Holoparasite,-26.7±2.1,3,-27.5,1,29.6±2.0,3,31.4,1,13.4±2.3,2,Cernusak_2004 Tables 2-3
Acacia littorea,,Cassytha sp.,William Bay National Park,,non-parasitic,-29.8±1.0,3,-25.2,1,24.0±2.1,3,30.8,1,12.8±1.6,2,Cernusak_2004 Tables 2-3
Cassytha sp.,Exocarpos odoratus,,Ocean Beach,,Holoparasite,-26.1,1,-24.1,1,24.7,1,29.6,1,,,Cernusak_2004 Tables 2-3
Exocarpos odoratus,,Cassytha sp.,Ocean Beach,,non-parasitic,-26.2,1,-23.5,1,22.6,1,29.2,1,,,Cernusak_2004 Tables 2-3
Cassytha sp.,Leucopogon capitellatus,,William Bay National Park,,Holoparasite,-27.5±1.2,4,-24.3,1,28.2±1.0,4,32.5,1,9.5±1.7,3,Cernusak_2004 Tables 2-3
Leucopogon capitellatus,,Cassytha sp.,William Bay National Park,,non-parasitic,-28.5±0.9,4,-26.9,1,26.2±1.6,4,31.2,1,14.1±1.3,3,Cernusak_2004 Tables 2-3
Cassytha sp.,Spyridium globulosum,,William Bay National Park,,Holoparasite,-28.1±2.4,2,-25.1,1,29.5±0.4,2,31.5,1,8.8,1,Cernusak_2004 Tables 2-3
Spyridium globulosum,,Cassytha sp.,William Bay National Park,,non-parasitic,-28.4±0.6,2,-25.5,1,27.7±1.1,2,29.9,1,14.9,1,Cernusak_2004 Tables 2-3
Cuscuta campestris,Cakile maritima,,William Bay National Park,,Holoparasite,-27.2,1,-26.0,1,22.4,1,28.3,1,,,Cernusak_2004 Tables 2-3
Cakile maritima,,Cuscuta campestris,William Bay National Park,,non-parasitic,-28.3,1,-27.1,1,21.5,1,29.1,1,,,Cernusak_2004 Tables 2-3
Cuscuta campestris,Euphorbia paralias,,William Bay National Park,,Holoparasite,-25.1,1,,,29.2,1,,,5.3,1,Cernusak_2004 Tables 2-3
Euphorbia paralias,,Cuscuta campestris,William Bay National Park,,non-parasitic,-26.5,1,,,27.9,1,,,13.1,1,Cernusak_2004 Tables 2-3
Cuscuta campestris,Muehlenbeckia adpressa,,William Bay National Park,,Holoparasite,-26.1±2.3,2,-27.3,1,25.9±2.9,2,29.0,1,4.9,1,Cernusak_2004 Tables 2-3
Muehlenbeckia adpressa,,Cuscuta campestris,William Bay National Park,,non-parasitic,-28.0±0.4,2,-25.6,1,24.5±3.0,2,28.6,1,10.5,1,Cernusak_2004 Tables 2-3
Cuscuta campestris,Pecarisonium sp.,,William Bay National Park,,Holoparasite,-26.0,1,-25.2,1,26.4,1,30.0,1,,,Cernusak_2004 Tables 2-3
Pecarisonium sp.,,Cuscuta campestris,William Bay National Park,,non-parasitic,-28.1,1,-25.3,1,23.3,1,27.1,1,,,Cernusak_2004 Tables 2-3
Cuscuta campestris,Senecio elegans,,William Bay National Park,,Holoparasite,-26.1,1,,,30.2,1,,,7.1,1,Cernusak_2004 Tables 2-3
Senecio elegans,,Cuscuta campestris,William Bay National Park,,non-parasitic,-28.7,1,,,24.8,1,,,9.8,1,Cernusak_2004 Tables 2-3
