Community,IDENTIFICATION SOURCE,SCIENTIFIC_NAME,LIFE_FORM,FIRE_RESPONSE,SEED_STORAGE,MANAGEMENT_INTERVENTION_EXPERT_PANEL
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Dodonaea viscosa subsp. angustifolia,S,OS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Dysphania pumilio,H,OS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Einadia hastata,H,OS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Einadia nutans,H,OS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Einadia trigonos,H,OS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Galium leiocarpum,H,OS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Lagenophora stipitata,H,OS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Lobelia purpurascens,H,OS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Ozothamnus argophyllus,S,OS,T,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Polygala japonica,H,OS,T,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Ranunculus lappaceus,H,OS,T,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Senecio hispidulus var. hispidulus,H,OS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Senecio quadridentatus,H,OS,T,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Sigesbeckia orientalis subsp. orientalis,H,OS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Solanum prinophyllum,H,OS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Solanum pungetium,H,OS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Sorghum leiocladum,H,OS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Thesium australe,H,OS,T,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Acacia implexa,T,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Allocasuarina littoralis,T,FS,T,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Carex breviculmis,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Cassinia longifolia,S,FS,T,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Cassinia trinerva,S,FS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Chrysocephalum apiculatum,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Chrysocephalum semipapposum,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Clematis glycinoides var. glycinoides,C,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Convolvulus erubescens,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Cyanthillium cinereum,H,FS,T,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Cynoglossum suaveolens,H,FS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Dichondra spp.,H,FS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Echinopogon ovatus,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Euchiton gymnocephalus,H,FS,T,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Exocarpos cupressiformis,T,FS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Glycine clandestina,C,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Hardenbergia violacea,C,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Hydrocotyle laxiflora,H,FS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Hypericum gramineum,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Laxmannia gracilis,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Leucopogon juniperinus,S,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Lomandra longifolia,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Opercularia aspera,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Opercularia varia,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Oxalis perennans,H,FS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Ozothamnus diosmifolius,S,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Pittosporum undulatum,T,FS,T,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Rytidosperma pilosum,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Scleranthus biflorus,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Sporobolus creber,H,FS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Tricoryne elatior,H,FS,T,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Veronica calycina,H,FS,T,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Wahlenbergia communis,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Wahlenbergia gracilis,H,FS,UN,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Wahlenbergia stricta subsp. stricta,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,TEC species list,Zornia dyctiocarpa var. dyctiocarpa,H,FS,S,
Lowland Grassy Woodland in the South East Corner Bioregion,Fire-affected species,Acacia trachyphloia,S,OS,UN,Yes
Lowland Grassy Woodland in the South East Corner Bioregion,Fire-affected species,Boronia subulifolia,S,OS,UN,Yes
Lowland Grassy Woodland in the South East Corner Bioregion,Fire-affected species,Eucalyptus fraxinoides,T,OS,C,Yes
Lowland Grassy Woodland in the South East Corner Bioregion,Fire-affected species,Zieria caducibracteata,S/T,OS,UN,Yes
Lowland Grassy Woodland in the South East Corner Bioregion,Fire-affected species,Callistemon subulatus,S,RS,C,Yes
Lowland Grassy Woodland in the South East Corner Bioregion,Fire-affected species,Brachyscome salkiniae,H,UN,UN,Yes
Lowland Grassy Woodland in the South East Corner Bioregion,Fire-affected species,Grevillea rhyolitica subsp. semivestita,S,UN,UN,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Asplenium trichomanes subsp. quadrivalens,H,OS,UN,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Irenepharsus magicus,H,OS,UN,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Isoetopsis graminifolia,H,OS,UN,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Pimelea flava,S,OS,UN,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Pimelea flava subsp. dichotoma,S,OS,UN,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Pimelea pauciflora,S,OS,S,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Pomaderris oraria subsp. calcicola,S,OS,S,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Senecio quadridentatus,H,OS,T,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Vittadinia tenuissima,H,OS,UN,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Allocasuarina verticillata,T,FS,T,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Carex breviculmis,H,FS,S,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Dichondra repens,H,FS,UN,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Olearia astroloba,H,FS,S,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Oxalis perennans,H,FS,UN,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Ozothamnus adnatus,S,FS,UN,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Poa sieberiana,H,FS,UN,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,TEC species list,Wahlenbergia gracilis,H,FS,S,
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,Fire-affected species,Lomandra confertifolia subsp. leptostachya,H,RS,UN,Yes
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Abutilon oxycarpum var. oxycarpum,S,OS,S,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Acacia maidenii,T,OS,S,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Aphanopetalum resinosum,C,OS,T,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Arthropteris tenella,H,OS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Asplenium australasicum,H,OS,T,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Cinnamomum oliveri,T,OS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Citronella moorei,T,OS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Croton verreauxii,S/T,OS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Cryptocarya microneura,T,OS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Dendrocnide excelsa,T,OS,S,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Ehretia acuminata,T,OS,T,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Ehretia acuminata var. acuminata,T,OS,T,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Elaeocarpus kirtonii,T,OS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Hibiscus heterophyllus,S/T,OS,S,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Hibiscus heterophyllus subsp. heterophyllus,S/T,OS,S,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Litsea reticulata,T,OS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Marsdenia flavescens,S,OS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Microsorum scandens,H,OS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Plectranthus parviflorus,S,OS,S,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Podocarpus elatus,T,OS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Polyosma cunninghamii,T,OS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Pyrrosia rupestris,H,OS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Sarcomelicope simplicifolia subsp. simplicifolia,S/T,OS,T,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Sloanea australis,T,OS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Stellaria flaccida,H,OS,S,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Streblus brunonianus,S/T,OS,T,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Symplocos thwaitesii,S/T,OS,T,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Acronychia oblongifolia,S/T,FS,T,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Adiantum formosum,H,FS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Alectryon subcinereus,S/T,FS,T,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Breynia oblongifolia,S,FS,S,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Cissus hypoglauca,C,FS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Commelina cyanea,H,FS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Eustrephus latifolius,C,FS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Myrsine howittiana,S/T,FS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Pandorea pandorana,C,FS,S,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Pittosporum revolutum,S,FS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Pittosporum undulatum,T,FS,T,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Pseuderanthemum variabile,H,FS,S,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Syzygium australe,S/T,FS,T,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,TEC species list,Wilkiea huegeliana,S/T,FS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,Fire-affected species,Acacia trachyphloia,S,OS,UN,Yes
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,Fire-affected species,Acacia yalwalensis,S,OS,UN,Yes
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,Fire-affected species,Cestichis reflexa,H,OS,UN,
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,Fire-affected species,Epacris gnidioides,S,OS,UN,Yes
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,Fire-affected species,Grevillea baueri subsp. asperula,S,OS,S,Yes
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,Fire-affected species,Hakea dohertyi,S,OS,C,Yes
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,Fire-affected species,Philotheca scabra subsp. latifolia,S,FS,S,Yes
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,Fire-affected species,Eucalyptus sturgissiana,T,RS,C,Yes
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,Fire-affected species,Leptospermum subglabratum,S,UN,UN,Yes
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,Fire-affected species,Prostanthera tallowa,S,UN,UN,Yes
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Acacia decurrens,S,OS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Acacia falcata,S,OS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Acacia parramattensis,S,OS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Acacia stricta,S,OS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Centella asiatica,H,OS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Clematis aristata,C,OS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Daviesia genistifolia,S,OS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Dodonaea triquetra,S,OS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Einadia nutans,H,OS,UN,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Einadia polygonoides,H,OS,UN,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Einadia trigonos,H,OS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Kunzea ambigua,S,OS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Opercularia hispida,H,OS,UN,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Pomaderris lanigera,S/T,OS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Pomax umbellata,S,OS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Poranthera microphylla,H,OS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Trema aspera,S/T,OS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Acacia implexa,S,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Acacia longifolia,S,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Acacia myrtifolia,S,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Billardiera scandens,S,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Breynia oblongifolia,S,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Clematis glycinoides,C,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Commelina cyanea,H,FS,UN,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Daviesia ulicifolia,S,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Dianella caerulea,H,FS,T,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Dichondra repens,H,FS,UN,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Echinopogon ovatus,H,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Elaeocarpus reticulatus,S/T,FS,T,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Exocarpos cupressiformis,S/T,FS,UN,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Glycine clandestina,C,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Hardenbergia violacea,C,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Homalanthus stillingiifolius,S,FS,UN,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Indigofera australis,S,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Kennedia rubicunda,C,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Lasiopetalum parviflorum,S,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Leucopogon juniperinus,S,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Lomandra longifolia,H,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Oxalis exilis,H,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Ozothamnus diosmifolius,S,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Pandorea pandorana,C,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Pittosporum revolutum,S,FS,UN,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Pittosporum undulatum,T,FS,T,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Platylobium formosum,S,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Polyscias sambucifolia,S,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Pseuderanthemum variabile,H,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Senecio hispidulus,H,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Sporobolus creber,H,FS,UN,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,TEC species list,Zieria smithii,S,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,Fire-affected species,Tetratheca ericifolia,S,FS,S,
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,Fire-affected species,Leptospermum macrocarpum,S,RS,C,Yes
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Acacia falcata,S,OS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Acacia maidenii,S,OS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Acacia mearnsii,S,OS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Acacia stricta,S,OS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Daviesia genistifolia,S,OS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Dodonaea viscosa var angustifolia,S,OS,UN,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Geranium solanderi,H,OS,UN,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Plectranthus parviflorus,S,OS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Pultenaea villosa,S,OS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Stellaria flaccida,H,OS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Acacia implexa,S,FS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Allocasuarina littoralis,T,FS,T,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Boronia polygalifolia,H,FS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Commelina cyanea,H,FS,UN,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Daviesia ulicifolia,S,FS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Desmodium rhytidophyllum,H,FS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Dichondra repens,H,FS,UN,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Echinopogon ovatus,H,FS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Gahnia radula,H,FS,UN,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Glycine clandestina,C,FS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Hardenbergia violacea,C,FS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Hibbertia aspera,S,FS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Hypericum gramineum,H,FS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Kennedia rubicunda,C,FS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Leucopogon juniperinum,S,FS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Tricoryne elatior,H,FS,T,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Veronica calycina,H,FS,T,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Wahlenbergia gracilis,H,FS,S,
Illawarra and South Coast Lowland Forest and Woodland,TEC species list,Wahlenbergia stricta subsp. stricta,H,FS,S,
Illawarra and South Coast Lowland Forest and Woodland,Fire-affected species,Acacia yalwalensis,S,OS,UN,Yes
Illawarra and South Coast Lowland Forest and Woodland,Fire-affected species,Eucalyptus sturgissiana,T,RS,C,Yes
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Acacia lasiocarpa,S,OS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Acacia pulchella,S,OS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Adriana quadripartita,S,OS,UN,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Alyogyne huegelii,S,OS,UN,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Anthocercis littorea,S,OS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Austrostipa flavescens,H,OS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Cassytha racemosa,C,OS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Centella asiatica,H,OS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Daucus glochidiatus,H,OS,UN,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Geranium retrorsum,H,OS,UN,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Kennedia prostrata,C,OS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Muehlenbeckia adpressa,C,OS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Opercularia hispidula,H,OS,UN,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Opercularia vaginata,H,OS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Phyllanthus calycinus,S,OS,C,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Pimelea argentea,S,OS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Samolus repens,H,OS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Spyridium globulosum,S,OS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Templetonia retusa,S,OS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Acacia rostellifera,S,FS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Acacia saligna,S,FS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Conostylis candicans subsp. candicans,H,FS,UN,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Eucalyptus gomphocephala,T,FS,UN,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Gahnia trifida,H,FS,UN,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Lachnagrostis filiformis,H,FS,UN,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Leucopogon parviflorus,S,FS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Melaleuca rhaphiophylla,S/T,FS,C,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Oxalis perennans,H,FS,UN,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Stackhousia monogyna,H,FS,S,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Tricoryne elatior,H,FS,T,
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,TEC species list,Xanthorrhoea preissii,T*,FS,UN,
Coastal Swamp Oak (Casuarina glauca) Forest of New South Wales and South East Queensland ecological community,TEC species list,Acacia maidenii,C,OS,S,
Coastal Swamp Oak (Casuarina glauca) Forest of New South Wales and South East Queensland ecological community,TEC species list,Acacia venulosa,S,OS,S,
Coastal Swamp Oak (Casuarina glauca) Forest of New South Wales and South East Queensland ecological community,TEC species list,Amyema cambagei,C,OS,UN,
Coastal Swamp Oak (Casuarina glauca) Forest of New South Wales and South East Queensland ecological community,TEC species list,Apium prostratum,H,OS,UN,
