genus,subgenus,section,subsection,series,subseries,taxon,common_name,strategy_Nicolle,Resprouter,Epicormic,Lignotuber,distribution,observed_by_Nicolle,collected_by_Nicole,growing_at_CCA,alternate_names,Serotinous,regen_strategy
Angophora (apples),subg. Angophora,NA,NA,ser. Costatitae ms (smooth-barked apples),NA,Angophora costata subsp. euryphylla,Wollemi apple,combination resprouter,yes,yes,yes,NSW,O,C,G(2)m,"A. euryphylla, E. euryphylla",NA,epicormic lignotuber
Angophora (apples),subg. Angophora,NA,NA,ser. Costatitae ms (smooth-barked apples),NA,Angophora costata subsp. Costata,"smooth-barked apple, rusty gum",combination resprouter,yes,yes,yes,"NSW,Qld",O,C,G(2)m,E. apocynifolia,NA,epicormic lignotuber
Angophora (apples),subg. Angophora,NA,NA,ser. Costatitae ms (smooth-barked apples),NA,Angophora leiocarpa,smooth-barked apple,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1),"A. costata subsp. leiocarpa, E. leiocarpa",NA,epicormic lignotuber
Angophora (apples),subg. Angophora,NA,NA,ser. Angophora (rough-barked apples),subser. Floribundinae ms,Angophora bakeri,small-leaved apple,combination resprouter,yes,yes,yes,NSW,O,C,-,E. angustata,NA,epicormic lignotuber
Angophora (apples),subg. Angophora,NA,NA,ser. Angophora (rough-barked apples),subser. Floribundinae ms,Angophora paludosa,NA,combination resprouter,yes,yes,yes,NSW,O,C,-,"E. palustris, A. bakeri subsp. paludosa",NA,epicormic lignotuber
Angophora (apples),subg. Angophora,NA,NA,ser. Angophora (rough-barked apples),subser. Floribundinae ms,Angophora woodsiana,smudgy apple,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,-,E. woodsiana,NA,epicormic lignotuber
Angophora (apples),subg. Angophora,NA,NA,ser. Angophora (rough-barked apples),subser. Floribundinae ms,Angophora floribunda,rough-barked apple,combination resprouter,yes,yes,yes,"NSW,Qld,Vic",O,C,G(1),"A. exul, E. florida, E. exul",NA,epicormic lignotuber
Angophora (apples),subg. Angophora,NA,NA,ser. Angophora (rough-barked apples),subser. Floribundinae ms,?Angophora inopina,Charmhaven apple,combination resprouter,yes,yes,yes,NSW,O,C,G(1),"Dubious species (possibly = A. crassifolia), E. inopina",NA,epicormic lignotuber
Angophora (apples),subg. Angophora,NA,NA,ser. Angophora (rough-barked apples),subser. Floribundinae ms,Angophora crassifolia,NA,combination resprouter,yes,yes,yes,NSW,O,C,-,"A. bakeri subsp. crassifolia, E. crassifolia",NA,epicormic lignotuber
Angophora (apples),subg. Angophora,NA,NA,ser. Angophora (rough-barked apples),subser. Melanoxylon ms,Angophora melanoxylon,coolabah apple,combination resprouter,yes,yes,yes,"NSW,Qld",O,C,G(1),E. melana,NA,epicormic lignotuber
Angophora (apples),subg. Angophora,NA,NA,ser. Angophora (rough-barked apples),subser. Angophora ms,Angophora subvelutina,broad-leaved apple,combination resprouter,yes,yes,yes,"NSW,Qld",O,C,G(1)m,E. subvelutina,NA,epicormic lignotuber
Angophora (apples),subg. Angophora,NA,NA,ser. Angophora (rough-barked apples),subser. Angophora ms,?Angophora robur,NA,combination resprouter,yes,yes,yes,NSW,O,C,-,"Dubious species (possibly = A. subvelutina), E. robur",NA,epicormic lignotuber
Angophora (apples),subg. Angophora,NA,NA,ser. Angophora (rough-barked apples),subser. Angophora ms,Angophora hispida,dwarf apple,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m,"E. hispida, A. cordifolia",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Calophyllae (south-western bloodwoods),NA,NA,NA,Corymbia haematoxylon,mountain marri,combination resprouter,yes,yes,yes,WA,O,C,G(1)m,E. haematoxylon,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Calophyllae (south-western bloodwoods),NA,NA,NA,Corymbia chlorolampra,Mount Lesueur bloodwood,combination resprouter,yes,yes,yes,WA,O,C,G(3),NA,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Calophyllae (south-western bloodwoods),NA,NA,NA,Corymbia calophylla,marri,combination resprouter,yes,yes,yes,WA,O,C,G(4)m,E. calophylla,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Calophyllae (south-western bloodwoods),NA,NA,NA,Corymbia ficifolia,W.A. red-flowering gum,combination resprouter,yes,yes,yes,WA,O,C,G(3)m,E. ficifolia,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Cymbiformes ms,NA,Corymbia gummifera,red bloodwood,combination resprouter,yes,yes,yes,"NSW,Qld,Vic",O,C,G(1)m,E. gummifera,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Cymbiformes ms,NA,Corymbia x nowraensis,NA,combination resprouter,yes,yes,yes,NSW,-,-,-,C. gummifera x C. maculata hybrid,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Jacobsianae ms,NA,Corymbia jacobsiana,stringybarked bloodwood,combination resprouter,yes,yes,yes,NT,O,C,G(1),E. jacobsiana,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Trachyphloiae ms,NA,Corymbia trachyphloia subsp. trachyphloia,brown bloodwood,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(4),E. trachyphloia,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Trachyphloiae ms,NA,Corymbia trachyphloia subsp. amphistomatica,brown bloodwood,combination resprouter,yes,yes,yes,"NSW,Qld",O,C,G(2)m,C. trachyphloia subsp. carnarvonica,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia ptychocarpa subsp. ptychocarpa,swamp bloodwood,combination resprouter,yes,yes,yes,"NT,WA,Qld",O,C,G(4),E. ptychocarpa,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia ptychocarpa subsp. aptycha,swamp bloodwood,combination resprouter,yes,yes,yes,NT,O,C,- (1),E. ptychocarpa,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia abergiana,range bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. abergiana,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia polycarpa,long-fruited bloodwood,combination resprouter,yes,yes,yes,"NT,WA,Qld",O,C,G(3),"E. derbyensis, E. polycarpa, E. erebescens",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,?Corymbia novoguinensis,NA,combination resprouter,yes,yes,yes,"Qld,PNG,Indo",O,-,- (1),"Dubious species (possibly = C. clarksoniana), E. novoguinensis",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia clarksoniana,Clarksons bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,- (1),NA,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,?Corymbia dolichocarpa,long-fruited bloodwood,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1),"Dubious species (possibly = C. clarksoniana), C. maritima, C. ligans subsp. burdekinensis",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia ligans,NA,combination resprouter,yes,yes,yes,Qld,O,C,G(2),C. ligans subsp. novocastrensis,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia plena,large-fruited bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(1),"E. plena, E. sp. DD in Brooker & Kleinig 1994",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,?Corymbia clandestina,NA,combination resprouter,yes,yes,yes,Qld,O,C,�G(1)m,"Dubious species (possibly = C. brachycarpa), E. clandestina",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia brachycarpa,NA,combination resprouter,yes,yes,yes,Qld,O,C,�G(3),"C. clandestina, E. clandestina",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia hylandii,Hylands bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,-,"C. hylandii subsp. campestris, E. hylandii",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia stockeri subsp. peninsularis,blotchy bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(2),C. hylandii subsp. peninsularis,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia stockeri subsp. stockeri,shiny-leaved bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,- (2),"C. lamprophylla, E. lamprophylla",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia hendersonii,Hendersons bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,"E. hendersonii, E. sp. EE in Brooker & Kleinig 1994",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia xanthope,Glen Geddes bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(2),E. xanthope,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia intermedia,pink bloodwood,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1),E. intermedia,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia rhodops,red-throated bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(2),E. rhodops,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia serendipita,Newcastle Range bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,"C. arnhemensis subsp. monticola, E. serendipita",NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia arnhemensis,Katherine Gorge bloodwood,combination resprouter,yes,yes,yes,NT,O,C,G(1),E. arnhemensis,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),NA,Corymbia arenaria,Kimberley bloodwood,combination resprouter,yes,yes,yes,WA,O,C,-,E. arenaria,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (concolorous-leaved red bloodwoods),subser. Peltiformes ms,Corymbia nesophila,Melville Island bloodwood,combination resprouter,yes,yes,yes,"Qld,NT,WA",O,C,G(2),E. nesophila,NA,epicormic lignotuber
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),NA,ser. Isobilaterales ms (concolorous-leaved red bloodwoods),subser. Peltiformes ms,Corymbia bleeseri,smooth-stemmed bloodwood,combination resprouter,yes,yes,yes,"NT,WA",O,C,- (1),E. bleeseri,NA,epicormic lignotuber
