name_original ,trait,trait_value
Acacia ramulosa,SLA,2.34
Acacia stenophylla,SLA,2.47
Acacia beckleri,SLA,2.86
Acacia cambagei,SLA,3.05
Acacia rigens,SLA,3.14
Acacia genistifolia,SLA,3.18
Acacia jibberdingensis,SLA,3.29
Acacia tetragonophylla,SLA,3.62
Acacia hakeoides,SLA,3.9
Acacia calamifolia,SLA,4.05
Acacia jonesii,SLA,4.43
Acacia cyclops,SLA,4.69
Acacia extensa,SLA,4.75
Acacia acuminata,SLA,4.88
Acacia microcarpa,SLA,4.95
Acacia flexifolia,SLA,5.05
Acacia rupicola,SLA,5.13
Acacia hemiteles,SLA,5.38
Acacia pendula,SLA,5.65
Acacia mucronata,SLA,5.69
Acacia irrorata,SLA,5.74
Acacia elongata,SLA,5.98
Acacia iteaphylla,SLA,6.07
Acacia implexa,SLA,6.22
Acacia subulata,SLA,6.23
Acacia salicina,SLA,6.36
Acacia victoriae,SLA,6.39
Acacia melanoxylon,SLA,6.44
Acacia macradenia,SLA,6.68
Acacia argyrophylla,SLA,6.76
Acacia pycnantha,SLA,6.77
Acacia lasiocalyx,SLA,6.78
Acacia lanigera,SLA,6.8
Acacia montana,SLA,6.83
Acacia penninervis,SLA,6.88
Acacia suaveolens,SLA,6.91
Acacia uncinata,SLA,6.98
Acacia elata,SLA,7.02
Acacia deanei,SLA,7.02
Acacia auriculiformis,SLA,7.17
Acacia quornensis,SLA,7.28
Acacia pravissima,SLA,7.37
Acacia neriifolia,SLA,7.63
Acacia floribunda,SLA,7.63
Acacia ixiophylla,SLA,7.87
Acacia myrtifolia,SLA,7.96
Acacia undulifolia,SLA,8.09
Acacia vestita,SLA,8.15
Acacia verticillata,SLA,8.17
Acacia baileyana,SLA,8.17
Acacia leiophylla,SLA,8.19
Acacia viscidula,SLA,8.19
Acacia schinoides,SLA,8.52
Acacia lineata,SLA,8.55
Acacia brachybotrya,SLA,8.57
Acacia saliciformis,SLA,8.58
Acacia stricta,SLA,8.84
Acacia caesiella,SLA,9.17
Acacia acinacea,SLA,9.47
Acacia longifolia,SLA,9.48
Acacia cardiophylla,SLA,9.62
Acacia retinodes,SLA,9.63
Acacia mangium,SLA,9.76
Acacia difformis,SLA,9.99
Acacia decora,SLA,10.51
Acacia prominens,SLA,10.67
Acacia alata,SLA,10.88
Acacia imbricata,SLA,10.96
Acacia spectabilis,SLA,11.09
Acacia subporosa,SLA,11.12
Acacia paradoxa,SLA,11.27
Acacia cognata,SLA,11.58
Acacia terminalis,SLA,11.59
Acacia podalyriifolia,SLA,12.32
Acacia howittii,SLA,13.38
