genus,subgenus,section,subsection,series,subseries,taxon,common_name,strategy_Nicolle,Resprouter,Epicormic,Lignotuber,distribution,observed_by_Nicolle,collected_by_Nicole,growing_at_CCA,alternate_names
Angophora (apples),subg. Angophora,,,ser. Costatitae ms (smooth-barked apples),,Angophora costata subsp. euryphylla ,Wollemi apple,combination resprouter,yes,yes,yes,NSW,O,C,G(2)m ,"A. euryphylla, E. euryphylla "
Angophora (apples),subg. Angophora,,,ser. Costatitae ms (smooth-barked apples),,Angophora costata subsp. Costata,"smooth-barked apple, rusty gum",combination resprouter,yes,yes,yes,"NSW,Qld",O,C,G(2)m ,E. apocynifolia
Angophora (apples),subg. Angophora,,,ser. Costatitae ms (smooth-barked apples),,Angophora leiocarpa ,smooth-barked apple,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1),"A. costata subsp. leiocarpa, E. leiocarpa "
Angophora (apples),subg. Angophora,,,ser. Angophora (rough-barked apples),subser. Floribundinae ms,Angophora bakeri ,small-leaved apple,combination resprouter,yes,yes,yes,NSW,O,C,-,E. angustata 
Angophora (apples),subg. Angophora,,,ser. Angophora (rough-barked apples),subser. Floribundinae ms,Angophora paludosa ,,combination resprouter,yes,yes,yes,NSW,O,C,-,"E. palustris, A. bakeri subsp. paludosa "
Angophora (apples),subg. Angophora,,,ser. Angophora (rough-barked apples),subser. Floribundinae ms,Angophora woodsiana ,smudgy apple,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,-,E. woodsiana 
Angophora (apples),subg. Angophora,,,ser. Angophora (rough-barked apples),subser. Floribundinae ms,Angophora floribunda ,rough-barked apple,combination resprouter,yes,yes,yes,"NSW,Qld,Vic",O,C,G(1),"A. exul, E. florida, E. exul "
Angophora (apples),subg. Angophora,,,ser. Angophora (rough-barked apples),subser. Floribundinae ms,?Angophora inopina ,Charmhaven apple,combination resprouter,yes,yes,yes,NSW,O,C,G(1),"Dubious species (possibly = A. crassifolia), E. inopina"
Angophora (apples),subg. Angophora,,,ser. Angophora (rough-barked apples),subser. Floribundinae ms,Angophora crassifolia,,combination resprouter,yes,yes,yes,NSW,O,C,-,"A. bakeri subsp. crassifolia, E. crassifolia "
Angophora (apples),subg. Angophora,,,ser. Angophora (rough-barked apples),subser. Melanoxylon ms,Angophora melanoxylon ,coolabah apple,combination resprouter,yes,yes,yes,"NSW,Qld",O,C,G(1),E. melana 
Angophora (apples),subg. Angophora,,,ser. Angophora (rough-barked apples),subser. Angophora ms,Angophora subvelutina ,broad-leaved apple,combination resprouter,yes,yes,yes,"NSW,Qld",O,C,G(1)m,E. subvelutina 
Angophora (apples),subg. Angophora,,,ser. Angophora (rough-barked apples),subser. Angophora ms,?Angophora robur,,combination resprouter,yes,yes,yes,NSW,O,C,-,"Dubious species (possibly = A. subvelutina), E. robur"
Angophora (apples),subg. Angophora,,,ser. Angophora (rough-barked apples),subser. Angophora ms,Angophora hispida ,dwarf apple,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m,"E. hispida, A. cordifolia "
Corymbia (bloodwoods),subg. Corymbia,sect. Calophyllae (south-western bloodwoods),,,,Corymbia haematoxylon ,mountain marri,combination resprouter,yes,yes,yes,WA,O,C,G(1)m,E. haematoxylon 
Corymbia (bloodwoods),subg. Corymbia,sect. Calophyllae (south-western bloodwoods),,,,Corymbia chlorolampra ,Mount Lesueur bloodwood,combination resprouter,yes,yes,yes,WA,O,C,G(3),
Corymbia (bloodwoods),subg. Corymbia,sect. Calophyllae (south-western bloodwoods),,,,Corymbia calophylla ,marri,combination resprouter,yes,yes,yes,WA,O,C,G(4)m,E. calophylla 
Corymbia (bloodwoods),subg. Corymbia,sect. Calophyllae (south-western bloodwoods),,,,Corymbia ficifolia ,W.A. red-flowering gum,combination resprouter,yes,yes,yes,WA,O,C,G(3)m,E. ficifolia 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Cymbiformes ms,,Corymbia gummifera ,red bloodwood,combination resprouter,yes,yes,yes,"NSW,Qld,Vic",O,C,G(1)m,E. gummifera 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Cymbiformes ms,,[Corymbia x nowraensis],,combination resprouter,yes,yes,yes,NSW,-,-,- ,C. gummifera x C. maculata hybrid
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Jacobsianae ms,,Corymbia jacobsiana ,stringybarked bloodwood,combination resprouter,yes,yes,yes,NT,O,C,G(1),E. jacobsiana 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Trachyphloiae ms,,Corymbia trachyphloia subsp. trachyphloia ,brown bloodwood ,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(4),E. trachyphloia 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Trachyphloiae ms,,Corymbia trachyphloia subsp. amphistomatica ,brown bloodwood,combination resprouter,yes,yes,yes,"NSW,Qld",O,C,G(2)m,C. trachyphloia subsp. carnarvonica 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia ptychocarpa subsp. ptychocarpa ,swamp bloodwood,combination resprouter,yes,yes,yes,"NT,WA,Qld",O,C,G(4),E. ptychocarpa 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia ptychocarpa subsp. aptycha ,swamp bloodwood,combination resprouter,yes,yes,yes,NT,O,C,- (1),E. ptychocarpa 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia abergiana ,range bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. abergiana 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia polycarpa ,long-fruited bloodwood,combination resprouter,yes,yes,yes,"NT,WA,Qld",O,C,G(3),"E. derbyensis, E. polycarpa, E. erebescens "
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,?Corymbia novoguinensis,,combination resprouter,yes,yes,yes,"Qld,PNG,Indo",O,-,- (1),"Dubious species (possibly = C. clarksoniana), E. novoguinensis"
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia clarksoniana ,Clarksons bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,- (1),
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,?Corymbia dolichocarpa ,long-fruited bloodwood,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1),"Dubious species (possibly = C. clarksoniana), C. maritima, C. ligans subsp. burdekinensis"
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia ligans,,combination resprouter,yes,yes,yes,Qld,O,C,G(2),C. ligans subsp. novocastrensis 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia plena ,large-fruited bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(1),"E. plena, E. sp. DD in Brooker & Kleinig 1994"
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,?Corymbia clandestina,,combination resprouter,yes,yes,yes,Qld,O,C,­G(1)m,"Dubious species (possibly = C. brachycarpa), E. clandestina"
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia brachycarpa,,combination resprouter,yes,yes,yes,Qld,O,C,­G(3),"C. clandestina, E. clandestina "
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia hylandii ,Hylands bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,-,"C. hylandii subsp. campestris, E. hylandii "
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia stockeri subsp. peninsularis ,blotchy bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(2),C. hylandii subsp. peninsularis 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia stockeri subsp. stockeri ,shiny-leaved bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,- (2),"C. lamprophylla, E. lamprophylla "
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia hendersonii ,Hendersons bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,"E. hendersonii, E. sp. EE in Brooker & Kleinig 1994"
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia xanthope ,Glen Geddes bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(2),E. xanthope 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia intermedia ,pink bloodwood,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1),E. intermedia 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia rhodops ,red-throated bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(2),E. rhodops 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia serendipita ,Newcastle Range bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,"C. arnhemensis subsp. monticola, E. serendipita "
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia arnhemensis ,Katherine Gorge bloodwood,combination resprouter,yes,yes,yes,NT,O,C,G(1),E. arnhemensis 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Dorsiventrales ms (discolorous-leaved red bloodwoods),,Corymbia arenaria ,Kimberley bloodwood,combination resprouter,yes,yes,yes,WA,O,C,- ,E. arenaria 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (concolorous-leaved red bloodwoods),subser. Peltiformes ms,Corymbia nesophila ,Melville Island bloodwood,combination resprouter,yes,yes,yes,"Qld,NT,WA",O,C,G(2),E. nesophila 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (concolorous-leaved red bloodwoods),subser. Peltiformes ms,Corymbia bleeseri ,smooth-stemmed bloodwood,combination resprouter,yes,yes,yes,"NT,WA",O,C,- (1),E. bleeseri 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (concolorous-leaved red bloodwoods),subser. Peltiformes ms,Corymbia collina ,silver-leaved bloodwood,combination resprouter,yes,yes,yes,WA,O,C,- (1),E. collina 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia oocarpa,,combination resprouter,yes,yes,yes,NT,O,C,- (1),E. oocarpa 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia dichromophloia ,small-fruited bloodwood,combination resprouter,yes,yes,yes,"NT,WA",O,C,G(3),"C. rubens, E. atrovirens, E. dichromophloia "
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia capricornia ,small-fruited bloodwood,combination resprouter,yes,yes,yes,"NT,Qld,WA",O,C,G(2),E. capricornia 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia drysdalensis ,silver-tipped bloodwood,combination resprouter,yes,yes,yes,"WA,NT",O,C,- (1),E. drysdalensis 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia umbonata ,rusty bloodwood,combination resprouter,yes,yes,yes,NT,O,C,G(1),"E. ollaris, E. umbonata "
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia erythrophloia ,red bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(1),E. erythrophloia 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia pocillum ,red bloodwood,combination resprouter,yes,yes,yes,Qld,O,C,G(2),E. pocillum
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia ellipsoidea,,combination resprouter,yes,yes,yes,Qld,O,C,G(1),"C. porphyritica, E. ellipsoidea "
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia cliftoniana ,Bungle Bungle bloodwood,combination resprouter,yes,yes,yes,"WA,NT",O,C,G(2),"E. pontis, E. cliftoniana, C. sp. Yampi Peninsula (Barrett 2280 & Start)"
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia chippendalei ,sandhill bloodwood,combination resprouter,yes,yes,yes,"WA,NT",O,C,G(3),E. chippendalei 
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia eremaea subsp. oligocarpa ,mallee bloodwood,combination resprouter,yes,yes,yes,NT,O,C,G(1)m,"E. fordeana, E. nelsonii, E. polycarpa var. oligocarpa "
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia eremaea subsp. eremaea ,range bloodwood,combination resprouter,yes,yes,yes,"NT,SA,WA",O,C,G(3)m,"E. australis, E. symonii, E. connerensis "
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,?Corymbia lenziana ,narrow-leaved bloodwood,combination resprouter,yes,yes,yes,WA,O,C,G(2),"Dubious species (possibly = C. eremaea subsp. eremaea), E. lenziana"
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia opaca ,desert bloodwood,combination resprouter,yes,yes,yes,"NT,WA,SA",O,C,G(2),"E. centralis, E. orientalis, E. opaca "
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia hamersleyana ,Hamersley bloodwood,combination resprouter,yes,yes,yes,WA,O,C,G(2)m,"C. semiclara, E. bynoeana, E. hesperis, E. hamersleyana "
Corymbia (bloodwoods),subg. Corymbia,sect. Corymbia (red bloodwoods),,ser. Isobilaterales ms (continued),subser. Limitaneae ms,Corymbia terminalis ,plains bloodwood,combination resprouter,yes,yes,yes,"Qld,NT,NSW,SA",O,C,G(3)m,"C. tumescens, E. terminalis "
