room temp,air humidity,material,species,rep#,max_temp (C),point_burning_time (s),time to edge (s),RoS (cm/s),bulk density (g/cm3),packing ratio,total mass before (g),total mass after (g),fuel consumption (%),FMC%,%N leaves,%C leaves,%P leaves
19.5,80.7,dried,Aca_dor,1,693.60,732.4,152.00,0.082,0.07508486,,110.6,6.359,94.25045208,6.025316456,2.111456981,50.48630582,0.074228837
17.6,76.4,dried,Aca_dor,2,691.68,729.2,222.00,0.056,0.05930075,,87.35,5.581,93.61076131,5.176163549,2.19519339,52.04151061,0.082226524
21.4,58,dried,Aca_dor,3,549.64,782.0,146.00,0.086,0.06042091,,89,15.035,83.10674157,5.786026201,1.994147883,50.60877659,0.070167183
21.8,67.3,dried,Aca_dor,4,645.12,531.4,123.00,0.102,0.05866259,,86.41,,,5.224157095,,,
22.7,74.6,dried,Aca_dor,5,648.40,668.8,174.00,0.072,0.06448744,,94.99,,,5.261910405,,,
23.3,65,dried,Aca_hav,1,653.30,992.4,233.00,0.054,0.07424304,,109.36,11.206,89.753109,6.554878049,1.465770364,48.46174777,0.037455727
18.4,78.7,dried,Allocas,2,596.00,219.8,32.00,0.391,0.02481331,,36.55,7.721,78.875513,6.21761658,1.452431028,51.04063833,0.042480666
18.1,77.7,dried,Allocas,3,623.94,163.6,44.00,0.284,0.02327223,,34.28,3.865,88.7252042,5.662020906,1.441460727,48.6495983,0.04196098
22.9,64.3,dried,Allocas,4,646.78,179.2,37.00,0.338,0.02291921,,33.76,4.826,85.7049763,7.110091743,1.466605117,49.27316643,0.043030687
23.3,72.3,dried,Allocas,5,684.68,200.2,48.00,0.260,0.02328581,,34.3,,,6.979958535,,,
22,69.5,dried,Ast_floc,1,608.72,64.2,23.00,0.543,0.01022403,,15.06,2.095,86.08897742,5.776566757,1.754860363,47.88151765,0.088256701
21.8,58.6,dried,Ast_floc,2,676.18,72.2,25.00,0.500,0.01169043,,17.22,2.244,86.96864111,5.173587474,1.558669059,48.85974021,0.072228755
21.2,57.5,dried,Ast_floc,3,634.96,66.8,25.00,0.500,0.01063815,,15.67,2.259,85.58391832,5.833333333,1.408440065,48.30795671,0.063019018
23.9,62.4,dried,Ast_floc,4,632.84,70.2,26.00,0.481,0.01105906,,16.29,,,7.053072626,,,
22.5,74.4,dried,Ast_floc,5,595.82,72.0,25.00,0.500,0.01082145,,15.94,,,5.854643338,,,
23,65,dried,Bra_pop,1,528.64,152.6,65.00,0.192,0.01704684,,25.11,2.184,91.30227001,7.788036933,2.166978838,49.44997212,0.113441776
20.3,64.7,dried,Bra_pop,2,544.66,142.4,66.00,0.189,0.01735913,,25.57,2.229,91.28275323,6.882591093,2.247857085,49.66656989,0.10806711
21.5,57.1,dried,Bra_pop,3,589.10,146.0,68.00,0.184,0.01712831,,25.23,2.023,91.98176774,8.061094612,2.154431716,48.55918416,0.108505523
21.1,68.8,dried,Bra_pop,4,524.48,136.4,59.00,0.212,0.01629328,,24,,,7.676348548,,,
22,75.8,dried,Bra_pop,5,521.20,131.4,66.00,0.189,0.01627291,,23.97,,,8.094435076,,,
19.4,67.6,dried,Bra_pop,6,505.72,137.8,66.00,0.189,0.01791582,,26.39,,,8.155812538,,,
22.4,65.5,dried,Cor_gum,1,624.10,336.8,70.00,0.179,0.03458927,,50.95,1.829,96.41020608,6.965475469,1.013993077,51.41145296,0.037119109
20.6,67.1,dried,Cor_gum,2,728.98,310.0,112.00,0.112,0.03369993,,49.64,1.981,96.00926672,6.808326106,0.989790667,50.12649351,0.033863074
19,74.3,dried,Cor_gum,3,670.90,292.6,68.00,0.184,0.03276307,,48.26,2.096,95.65685868,7.677053824,1.025565463,51.32519567,0.038699943
20.5,70.2,dried,Cor_gum,4,636.30,286.0,88.00,0.142,0.03512559,,51.74,,,8.050989601,,,
22.5,74.7,dried,Cor_gum,5,592.60,255.6,99.00,0.126,0.03097081,,45.62,,,7.073030477,,,
22.5,59.2,dried,Cor_gum,6,626.48,291.2,65.00,0.192,0.03271555,,48.19,,,6.751054852,,,
21.8,68.9,dried,Dod_vis,1,718.38,585.6,79.00,0.158,0.04848608,,71.42,6.198,91.32175861,5.757984705,1.8206274,51.1136924,0.114740765
20.7,63.6,dried,Dod_vis,2,707.28,612.8,78.00,0.160,0.04600136,,67.76,7.67,88.68063754,5.20361991,1.840163596,51.42564215,0.103687991
22.6,66.7,dried,Ere_lon,1,673.32,472.8,68.00,0.184,0.04224033,,62.22,9.173,85.25715204,5.140334279,1.853098208,48.60443506,0.085014186
18.1,70.4,dried,Ere_lon,2,663.72,747.4,122.00,0.102,0.05663951,,83.43,12.516,84.99820209,5.090252708,1.832191309,48.81574987,0.091603462
22.1,59.9,dried,Ere_lon,3,668.12,441.0,97.00,0.129,0.04585200,,67.54,8.07,88.05152502,5.774088777,1.709667085,47.26779732,0.080094872
20.8,71.5,dried,Ere_lon,4,623.78,447.6,112.00,0.112,0.03967413,,58.44,,,5.020196192,,,
19.7,82.1,dried,Ere_lon,5,618.96,427.4,130.00,0.096,0.04662593,,68.68,,,5.342741935,,,
22,69.7,dried,Euc_dum,1,661.56,726.2,142.00,0.088,0.10125594,,149.15,63.0655,57.71672813,5.792748337,1.050391317,52.20743485,0.056482293
21.3,64.4,dried,Euc_dum,2,690.02,667.6,97.00,0.129,0.09092329,,133.93,41.5415,68.98267752,5.49572967,0.96407328,53.08039912,0.043044054
22,58.5,dried,Euc_dum,3,666.54,853.4,235.00,0.053,0.09427020,,138.86,35.499,74.43540256,5.551497443,0.909226005,52.19439555,0.039549385
22.2,67.7,dried,Euc_haem,1,528.00,663.6,215.00,0.058,0.05842498,,86.06,22.425,73.94259819,6.158877231,0.965441824,52.48003414,0.027676313
21.1,61.6,dried,Euc_haem,2,569.08,704.2,92.00,0.136,0.05940258,,87.5,6.41,92.67428571,6.091973528,0.883224301,53.2107779,0.026535233
21.7,62.5,dried,Euc_haem,3,706.16,499.8,136.00,0.092,0.05547862,,81.72,5.058,93.81057269,6.178132918,0.832866224,51.41695,0.024441813
21,72.3,dried,Euc_haem,4,670.88,420.2,68.00,0.184,0.05378140,,79.22,,,5.794460641,,,
23.4,71.4,dried,Euc_haem,5,619.88,538.4,90.00,0.139,0.05953836,,87.7,,,5.78532154,,,
20.9,64,dried,Euc_haem,6,646.96,549.4,143.00,0.087,0.05321792,,78.39,,,5.815654718,,,
22.8,63.4,dried,Euc_int,1,604.00,902.8,175.00,0.071,0.07384250,,108.77,9.757,91.02969569,6.177076184,1.413209865,48.54248092,0.073792457
23.5,72.3,dried,Euc_int,5,593.22,796.8,145.00,0.086,0.06128988,,90.28,,,6.169296987,,,
22.7,67,dried,Euc_soc,1,670.80,673.2,124.00,0.101,0.08680244,,127.86,44.152,65.46848115,5.293276109,1.080975297,52.38784995,0.050585304
19.5,74.4,dried,Euc_soc,2,711.24,605.6,114.00,0.110,0.08800407,,129.63,45.555,64.85767184,5.097250168,0.998109084,52.53563416,0.044434776
18.6,69.8,dried,Euc_soc,3,722.30,666.4,140.00,0.089,0.09109980,,134.19,36.421,72.85863328,5.58698727,1.083256913,52.45323014,0.045736568
19.8,78.3,dried,Euc_soc,4,682.84,595.0,111.00,0.113,0.08146640,,120,,,5.054789678,,,
21,72.9,dried,Gei_par,1,623.36,259.6,61.00,0.205,0.03504413,,51.62,6.054,88.2719876,7.59760816,1.8173453,45.88045388,0.100872826
19.8,67.1,dried,Gei_par,2,652.24,247.0,99.00,0.126,0.02900883,,42.73,5.134,87.98502223,6.659505908,1.753367557,47.7870009,0.089294624
22.5,60.7,dried,Gei_par,3,641.48,237.4,83.00,0.151,0.03080109,,45.37,5.289,88.34251708,7.303877367,1.760486975,45.64551829,0.091355702
19.2,74.9,dried,Gei_par,4,597.20,219.4,78.00,0.160,0.02984386,,43.96,,,6.658484198,,,
22.1,75.5,dried,Gei_par,5,614.72,228.0,80.00,0.156,0.03101833,,45.69,,,6.836827712,,,
18.6,67.4,dried,Gei_par,6,683.06,198.4,88.00,0.142,0.03042091,,44.81,,,6.485260771,,,
18.3,82.9,dried,Hak_dac,1,753.08,414.2,73.00,0.171,0.05352342,,78.84,5.42,93.1253171,4.986449864,0.715989539,51.85545308,0.020520673
21.5,61.4,dried,Hak_dac,2,747.42,285.8,91.00,0.137,0.04624576,,68.12,7.132,89.53024075,4.945407836,0.661264784,53.74279968,0.018575892
21.3,58.6,dried,Hak_dac,3,734.42,333.2,90.00,0.139,0.05147997,,75.83,6.945,90.84135566,5.047189167,0.732296266,53.25095742,0.020036885
23,64.2,dried,Hak_dac,4,774.94,394.4,75.00,0.167,0.05164291,,76.07,,,4.857530529,,,
22.3,69.1,dried,Hak_tep,1,763.48,1376.6,199.00,0.063,0.11378819,,167.61,10.759,93.58093193,6.488360575,0.928140038,47.90259896,0.032618452
20.8,62.9,dried,Hak_tep,2,739.94,1436.4,199.00,0.063,0.10034623,,147.81,10.012,93.22643935,6.100278552,0.962697921,48.10340888,0.034359044
21.4,70.4,dried,Hak_ter,1,719.80,581.2,92.00,0.136,0.06391039,,94.14,3.489,96.29381772,5.940934066,0.634898012,48.3017782,0.01591588
22.8,66.4,dried,Lam_for,1,629.74,598.0,120.00,0.104,0.06262050,,92.24,15.671,83.01062446,6.436041834,0.614883984,49.87354809,0.019492488
17.8,85.4,dried,Las_fer,1,642.44,107.2,55.00,0.227,0.01737950,,25.6,2.85,88.8671875,6.570657066,1.486661817,47.02068,0.061214491
20.7,62.1,dried,Las_fer,2,637.22,96.0,34.00,0.368,0.01445350,,21.29,1.399,93.42883983,5.829959514,1.635483341,47.54847147,0.064164617
21.4,58.3,dried,Las_fer,3,661.32,101.8,43.00,0.291,0.01429056,,21.05,1.717,91.8432304,6.232132647,1.368932559,47.0495239,0.052117567
22,67.2,dried,Las_fer,4,598.68,96.0,41.00,0.305,0.01463680,,21.56,,,7.221350078,,,
22.5,74.6,dried,Las_fer,5,618.82,99.4,36.00,0.347,0.01311609,,19.32,,,6.142034549,,,
20.3,65.6,dried,Las_fer,6,620.08,92.2,34.00,0.368,0.01440597,,21.22,,,6.127574083,,,
22.1,69.9,dried,Lom_sil,1,432.54,54.8,20.00,0.625,0.00743381,,10.95,0.621,94.32876712,5.743788319,0.753492724,49.26882058,0.06044335
17,78.4,dried,Lom_sil,2,534.62,62.2,20.00,0.625,0.00726409,,10.7,0.462,95.68224299,5.47024952,0.98984034,50.30651256,0.064801171
20.8,69.5,dried,Lom_sil,3,606.60,59.0,17.00,0.735,0.00715547,,10.54,0.548,94.80075901,6.68358714,0.696689515,48.1433233,0.040792839
22.6,65.2,dried,Lom_sil,4,564.74,59.0,19.00,0.658,0.00674134,,9.93,,,6.293706294,,,
22.4,74.4,dried,Lom_sil,5,536.24,71.0,23.00,0.543,0.00693143,,10.21,,,5.832147937,,,
22.1,60.1,dried,Lom_sil,6,,,19.00,0.658,0.00631365,,9.30,,,4.619076185,,,
22.2,68.7,dried,Mac_com,1,736.86,337.8,84.00,0.149,0.04464358,,65.76,1.649,97.49239659,6.89539186,1.536542942,50.86765469,0.066846605
23.2,56.7,dried,Mac_com,2,676.54,311.0,78.00,0.160,0.03991853,,58.8,1.351,97.70238095,6.29222973,1.477104867,52.19769123,0.065331947
