Species,Population,Temp,CO2,Treatment,Vcmax,Jmax,JV,Amax,Asat,gs,WUEi
Waratah,Coastal,30,640,C_640_30,43.17,54.35,1.26,13.81,10.58,0.21,50.38095238
Waratah,Coastal,30,640,C_640_30,55.28,72.87,1.32,19.35,13.87,0.26,53.34615385
Waratah,Coastal,30,640,C_640_30,41.61,49.5,1.19,13.74,9.76,0.14,69.71428571
Waratah,Coastal,30,640,C_640_30,44.07,59.76,1.36,15.59,12.95,0.2,64.75
Waratah,Coastal,30,640,C_640_30,30.64,47.97,1.57,12.9,9.37,0.11,85.18181818
Waratah,Upland,30,640,U_640_30,37.37,47.61,1.27,11.05,8.21,0.13,63.15384615
Waratah,Upland,30,640,U_640_30,38.12,45.59,1.2,13.14,9.15,0.15,61
Waratah,Upland,30,640,U_640_30,42.8,51.03,1.19,14.43,9.43,0.07,134.7142857
Waratah,Upland,30,640,U_640_30,44.17,67.01,1.52,17.92,14.96,0.22,68
Waratah,Upland,30,640,U_640_30,48.33,58.38,1.21,14.79,9.58,0.14,68.42857143
Waratah,Coastal,30,400,C_400_30,39.61,56.22,1.42,16.7,9.32,0.25,37.28
Waratah,Coastal,30,400,C_400_30,49.74,64.39,1.29,17.95,7.46,0.14,53.28571429
Waratah,Coastal,30,400,C_400_30,58,72.27,1.25,21.19,10.3,0.21,49.04761905
Waratah,Coastal,30,400,C_400_30,50.45,61.69,1.22,17.48,7.13,0.13,54.84615385
Waratah,Coastal,30,400,C_400_30,64.47,78.96,1.22,20.7,9.58,0.14,68.42857143
Waratah,Upland,30,400,U_400_30,53.26,75.37,1.42,21.77,9.32,0.21,44.38095238
Waratah,Upland,30,400,U_400_30,44.68,56.76,1.27,17,6.31,0.12,52.58333333
Waratah,Upland,30,400,U_400_30,42.96,62.62,1.46,17.6,9.08,0.2,45.4
Waratah,Upland,30,400,U_400_30,50.44,76.19,1.51,23.03,11.45,0.21,54.52380952
Waratah,Upland,30,400,U_400_30,62.26,76.11,1.22,19.37,10.82,0.18,60.11111111
Waratah,Coastal,26,400,C_400_26,72.96,90.47,1.24,21.52,13.18,0.22,59.90909091
Waratah,Coastal,26,400,C_400_26,70.1,87.21,1.24,18.12,6.9,0.12,57.5
Waratah,Coastal,26,400,C_400_26,42.74,66.52,1.56,16.58,7.9,0.13,60.76923077
Waratah,Coastal,26,400,C_400_26,66.67,85.5,1.28,22.07,11.03,0.16,68.9375
Waratah,Coastal,26,400,C_400_26,50.36,77.67,1.54,19.89,9.04,0.21,43.04761905
Waratah,Upland,26,400,U_400_26,48.93,66.48,1.36,15.98,9.22,0.23,40.08695652
Waratah,Upland,26,400,U_400_26,52.96,73.42,1.39,19.28,10.79,0.19,56.78947368
Waratah,Upland,26,400,U_400_26,63.33,86.93,1.37,21.46,11.92,0.19,62.73684211
Waratah,Upland,26,400,U_400_26,61.92,79.99,1.29,17.94,8.62,0.16,53.875
Waratah,Coastal,26,640,C_640_26,43.72,70.1,1.6,19.08,12.96,0.15,86.4
Waratah,Coastal,26,640,C_640_26,51.02,70.39,1.38,16.36,12.52,0.17,73.64705882
Waratah,Coastal,26,640,C_640_26,48.84,71.54,1.46,18.42,12.96,0.16,81
Waratah,Coastal,26,640,C_640_26,46.47,71.14,1.53,17.74,13.42,0.18,74.55555556
Waratah,Coastal,26,640,C_640_26,46.57,70.35,1.51,16.66,12.61,0.12,105.0833333
Waratah,Coastal,26,640,C_640_26,49.05,69.24,1.41,17.36,11.98,0.16,74.875
Waratah,Upland,26,640,U_640_26,46.29,68.12,1.47,15.53,13.97,0.24,58.20833333
Waratah,Upland,26,640,U_640_26,36.05,59.18,1.64,14.05,11,0.2,55
Waratah,Upland,26,640,U_640_26,36.59,61.24,1.67,16.29,12.77,0.25,51.08
Waratah,Upland,26,640,U_640_26,41.76,65.11,1.56,16.11,12.92,0.23,56.17391304
Waratah,Upland,26,640,U_640_26,46.51,66.95,1.44,19.13,13.35,0.21,63.57142857
