Species,Population,Temp,CO2,Genotype,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),Tleaf (deg C),TBlk (deg C),CO2R (umol mol-1),CO2S (umol mol-1),CiCa (ratio)
Waratah,Coastal,Amb,640,BWK214T2,68,-0.355728102,0.035963406,63.42663775,0.885609974,2.429331047,29.58762741,27.97574425,49.3494072,49.69202042,1.276394826
Waratah,Coastal,Amb,640,BWK214T2,68,0.293245659,0.040588014,84.7665446,0.983823793,2.394624024,29.48248482,27.97704506,100.5135117,100.0829544,0.846962853
Waratah,Coastal,Amb,640,BWK214T2,68,2.113805122,0.044225537,113.6980263,1.042689451,2.332578418,29.23001862,27.97777557,199.6011353,197.0518799,0.57699539
Waratah,Coastal,Amb,640,BWK214T2,68,3.661428632,0.045184174,156.1349577,1.043668168,2.286942155,29.01411057,27.97763824,300.2503357,295.8862305,0.527685785
Waratah,Coastal,Amb,640,BWK214T2,68,5.45076518,0.045989842,190.6606503,1.040704715,2.241584604,28.81827164,27.98050308,399.8857117,393.4453735,0.484592432
Waratah,Coastal,Amb,640,BWK214T2,68,9.261791024,0.042321653,259.5727319,0.950611058,2.223418882,28.6436367,27.98188019,640.8809814,630.0435791,0.411991711
Waratah,Coastal,Amb,640,BWK214T2,68,11.59464653,0.041370856,410.1129936,0.926966428,2.217395701,28.57643318,27.98833084,900.8944702,887.2471924,0.462230816
Waratah,Coastal,Amb,640,BWK214T2,68,13.87426201,0.037051356,546.6602115,0.834322408,2.224200542,28.73531151,27.98060036,1199.83252,1183.500244,0.461901224
Waratah,Coastal,Amb,640,BWK214T2,68,14.75538601,0.033142334,721.9957623,0.775733519,2.308294397,29.10411263,27.97961617,1500.085693,1482.606934,0.486977193
Waratah,Coastal,Amb,640,BWK214T2,68,14.2740332,0.031422156,902.621905,0.695282673,2.183448385,28.39015198,27.98106956,1698.966553,1681.994385,0.536637882
Waratah,Coastal,Amb,640,BWK214T2,68,15.12816194,0.029857705,1109.600772,0.653357028,2.160083757,28.00885773,27.98283386,1999.67041,1981.62207,0.559945707
Waratah,Coastal,Amb,640,BWK216T4,307,-0.481541662,0.273261732,50.93325864,4.26577177,1.666173935,30.03052902,28.08870888,48.91007996,49.23546219,1.034483203
Waratah,Coastal,Amb,640,BWK216T4,307,1.567409771,0.279088441,85.61698545,4.47198717,1.713605644,30.1126461,28.08700943,100.3125305,97.90953064,0.874449963
Waratah,Coastal,Amb,640,BWK216T4,307,5.090698477,0.282651467,156.9380547,4.46300986,1.691980726,29.60979271,28.08771896,200.1405182,193.0077667,0.813117821
Waratah,Coastal,Amb,640,BWK216T4,307,8.698576012,0.281996937,227.852539,4.531301144,1.720363743,29.60245132,28.08888245,300.5969238,288.6063232,0.789492539
Waratah,Coastal,Amb,640,BWK216T4,307,11.49336986,0.277747011,304.1173799,4.47963832,1.723769139,29.66067886,28.09100914,401.3578491,385.5141602,0.788861763
Waratah,Coastal,Amb,640,BWK216T4,307,17.23443496,0.268271693,489.4516359,4.471437056,1.772092481,30.49055099,28.08768845,640.449585,616.4928589,0.793929125
Waratah,Coastal,Amb,640,BWK216T4,307,21.02442934,0.259940933,711.8671912,3.902895101,1.595810686,29.0162735,28.0907135,901.2121582,871.9347534,0.816422546
Waratah,Coastal,Amb,640,BWK216T4,307,23.65482525,0.244539946,966.8135065,4.341020855,1.875187114,30.05605888,28.08905983,1199.919922,1165.510254,0.82951952
Waratah,Coastal,Amb,640,BWK216T4,307,23.71888563,0.222681564,1111.077599,3.948110226,1.85893327,30.23832893,28.07434654,1364.602661,1329.890015,0.83546578
Waratah,Coastal,Amb,640,BWK216T4,307,23.02202031,0.199454536,1130.935093,3.617611543,1.892888115,29.05812263,28.08750534,1398.625122,1365.116333,0.828453272
Waratah,Coastal,Amb,640,BWK216T4,307,22.91127477,0.181947029,1123.254221,3.566623559,2.033191357,29.23324394,28.09249115,1410.487427,1377.145264,0.815639606
Waratah,Coastal,Amb,640,BWK219T2,182,-0.918,0.0832,67.3,1.92,2.32,29.9,27.9,50.43,51.41,1.309083836
Waratah,Coastal,Amb,640,BWK219T2,182,0.156,0.0729,92.4,1.65,2.26,29.68,27.9,99.87,99.49,0.928736556
Waratah,Coastal,Amb,640,BWK219T2,182,2.06,0.0685,142,1.55,2.26,29.71,27.89,200.35,197.51,0.718950939
Waratah,Coastal,Amb,640,BWK219T2,182,3.86,0.0655,190,1.5,2.28,29.88,27.89,300.24,295.08,0.643893182
Waratah,Coastal,Amb,640,BWK219T2,182,5.43,0.0594,232,1.42,2.38,30.04,27.89,400.7,393.51,0.589565704
Waratah,Coastal,Amb,640,BWK219T2,182,8.25,0.0501,342,1.29,2.54,30.25,27.89,641.1,630.22,0.54266764
Waratah,Coastal,Amb,640,BWK219T2,182,10.9,0.0408,424,1.06,2.56,30.22,27.89,899.99,885.73,0.478701184
Waratah,Coastal,Amb,640,BWK219T2,182,12.1,0.0367,613,1.01,2.71,30.3,27.89,1200.88,1184.95,0.517321406
Waratah,Coastal,Amb,640,BWK219T2,182,13.1,0.0335,802,0.901,2.66,29.11,27.89,1499.29,1482.01,0.541156942
Waratah,Coastal,Amb,640,BWK219T2,182,12.9,0.03,846,0.888,2.92,30.12,27.89,1618.02,1600.82,0.528479154
Waratah,Coastal,Amb,640,BWK219T2,182,12.7,0.0256,742,0.789,3.03,30.36,27.89,1617.25,1600.51,0.463602227
Waratah,Coastal,Amb,640,BWK219T4,63,-0.65969677,0.09161505,60.53083424,1.891565654,2.078728978,28.83594704,28.09193039,49.90140152,50.57732773,1.196797794
Waratah,Coastal,Amb,640,BWK219T4,63,0.882607532,0.109113333,82.75295463,2.105671938,1.956524534,28.18838501,28.09209442,100.3271332,99.0195694,0.835723233
Waratah,Coastal,Amb,640,BWK219T4,63,3.535896753,0.107267147,135.8103637,2.035713738,1.924209986,27.82725906,28.09477615,200.1635284,195.4495697,0.69486141
Waratah,Coastal,Amb,640,BWK219T4,63,6.057783531,0.100344495,184.9236671,1.894794169,1.911111222,27.53929901,28.09615898,299.7804871,291.8580017,0.633608351
Waratah,Coastal,Amb,640,BWK219T4,63,8.023009113,0.093224635,238.5749539,1.752591385,1.89904448,27.25056458,28.10077477,400.2931824,389.8600159,0.611950301
Waratah,Coastal,Amb,640,BWK219T4,63,12.17141832,0.085779573,375.9835336,1.62262068,1.907184127,27.03399277,28.1042366,640.2110596,624.4122925,0.602139865
Waratah,Coastal,Amb,640,BWK219T4,63,14.5867487,0.076507226,547.1055651,1.570459849,2.060907578,27.90136147,28.09929657,902.367981,883.225708,0.619440263
Waratah,Coastal,Amb,640,BWK219T4,63,15.49290366,0.072726196,798.1695007,1.407991608,1.943525648,27.18489456,28.10010529,1198.318115,1177.766724,0.677697446
Waratah,Coastal,Amb,640,BWK219T4,63,16.47370538,0.07000298,1049.657851,1.451471551,2.077422571,27.95317078,28.09723473,1499.234375,1476.924805,0.710705005
Waratah,Coastal,Amb,640,BWK219T4,63,15.96240336,0.067876177,1140.773673,1.318948195,1.947683813,27.17856216,28.10763168,1589.317383,1567.710938,0.727668376
Waratah,Coastal,Elv,640,BWK219T5,62,-0.901,0.113,61.1,3.05,2.74,32.11,31.8,49.42,50.32,1.214228935
Waratah,Coastal,Elv,640,BWK219T5,62,0.0401,0.119,94.6,3.1,2.63,32.23,31.8,99.74,99.32,0.952476843
Waratah,Coastal,Elv,640,BWK219T5,62,2.14,0.119,160,3.1,2.63,32.45,31.8,200.84,197.53,0.810003544
Waratah,Coastal,Elv,640,BWK219T5,62,4.23,0.103,216,2.46,2.41,30.69,31.8,299.53,293.59,0.735719881
Waratah,Coastal,Elv,640,BWK219T5,62,5.89,0.106,285,2.87,2.73,31.73,31.79,400.29,391.87,0.727282007
Waratah,Coastal,Elv,640,BWK219T5,62,9.26,0.0928,437,2.69,2.9,32.55,31.8,639.33,626.2,0.697860109
