Species,Population,Temp,CO2,Genotype,Potnum,Potnum_merged,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),Area (cm2),StmRat,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi
Waratah,Coastal,Amb,640,BWK216T4,307,BWK216_307_T4,18.0882529,0.237346368,471.7525294,4.270851054,1.89615557,6,1,28.48617744,29.20675278,28.09972954,644.0912476,619.2438965,16.65200043,21.65952873,42.81477737,55.68988037,500.6477661,999.6598511
Waratah,Coastal,Amb,640,BWK216T4,307,BWK216_307_T4,18.73717739,0.246759743,461.7095591,5.294469989,2.26187745,6,1,28.68782425,31.01999092,28.08901215,638.3798218,612.0427856,16.25946617,22.46162033,41.3218956,57.08408356,500.6854858,1798.609131
Waratah,Coastal,Amb,640,BWK216T4,307,BWK216_307_T4,18.62440681,0.237311555,460.3910398,4.859853991,2.154569053,6,1,28.6219902,30.26131821,28.0905323,639.6965942,613.8023682,15.93004799,21.62811661,40.62594604,55.15756607,500.6690674,1400.734375
Waratah,Coastal,Amb,640,BWK216T4,307,BWK216_307_T4,16.91045265,0.224580245,469.1497934,4.373160617,2.042436261,6,1,28.61211014,29.5817318,28.09131813,639.3238525,615.8305054,15.96532631,21.09565544,40.73736572,53.82799149,500.6586304,901.0604248
Waratah,Coastal,Amb,640,BWK216T4,307,BWK216_307_T4,16.21146516,0.215432926,471.2547851,4.116017218,1.998862688,6,1,28.6374054,29.3737793,28.0881443,639.6642456,617.1932373,16.20406532,21.03269577,41.29209518,53.59667587,500.6943054,700.2091064
Waratah,Coastal,Amb,640,BWK216T4,307,BWK216_307_T4,14.68773542,0.205324106,481.9796418,3.795908841,1.928017417,6,1,28.61448669,29.0933609,28.0880661,641.2645264,620.840271,16.63169861,21.08442307,42.43061829,53.79036713,500.7102051,500.9715576
Waratah,Coastal,Amb,640,BWK216T4,307,BWK216_307_T4,12.57924795,0.190003325,492.2644175,3.475843373,1.899448197,6,1,28.54982758,28.72330666,28.09016037,639.1586304,621.4946899,16.43638039,20.51640892,42.08669662,52.53394318,500.6629028,299.3113403
Waratah,Coastal,Amb,640,BWK216T4,307,BWK216_307_T4,9.77705761,0.172726841,512.3977947,3.218702272,1.924465735,6,1,28.54299545,28.6855526,28.08764076,639.6582031,625.5281372,16.39897346,20.17853737,42.01223373,51.6950264,500.6535645,199.4099579
Waratah,Coastal,Amb,640,BWK216T4,307,BWK216_307_T4,5.443250003,0.152888751,552.5619989,2.846554832,1.911521605,6,1,28.45267296,28.34814835,28.08790779,639.2613525,630.5871582,16.19916534,19.54375839,41.71884918,50.33241653,500.6748047,99.054039
Waratah,Coastal,Amb,640,BWK216T4,307,BWK216_307_T4,3.450355867,0.133539732,571.1363988,2.543023359,1.942669644,6,1,28.45882034,28.35791588,28.09128571,639.2925415,633.2277832,16.26716995,19.25607109,41.8772583,49.57170868,500.663208,59.07312012
Waratah,Coastal,Amb,640,BWK216T4,307,BWK216_307_T4,1.341193549,0.117229744,596.8260673,2.285115453,1.976649171,6,1,28.50292969,28.47937775,28.08703804,639.0252686,635.6773071,16.51221848,19.19803429,42.38372803,49.27770233,500.684906,30.70502663
Waratah,Coastal,Amb,640,BWK216T4,307,BWK216_307_T4,-0.992793103,0.102968815,633.606121,2.078169083,2.03685503,6,1,28.52593231,28.66913414,28.09189987,639.2853394,638.8839722,16.58201027,19.02513123,42.51399231,48.77781677,500.6624756,0.20341143
Waratah,Coastal,Amb,640,BWK219T2,182,BWK219_182_T2,6.408167547,0.034429162,308.3053664,0.965943937,2.758743622,6,1,28.61034203,31.08714485,28.08671951,638.8972778,630.4882202,16.55966759,17.69672394,42.24452209,45.14520645,500.6875305,998.8682251
Waratah,Coastal,Amb,640,BWK219T2,182,BWK219_182_T2,6.649769331,0.034124403,290.2485465,1.128549021,3.242951018,6,1,28.73011208,33.09463501,28.08909607,638.6600342,629.8393555,16.96878815,18.29646111,43.00783157,46.37285233,500.6807861,1798.845459
Waratah,Coastal,Amb,640,BWK219T2,182,BWK219_182_T2,7.228395395,0.034863277,272.8564499,1.017246775,2.864176717,6,1,28.65408897,32.03609467,28.08914375,638.7912598,629.3616333,17.94896698,19.14468193,45.6804924,48.72361374,500.6737976,1400.675537
Waratah,Coastal,Amb,640,BWK219T2,182,BWK219_182_T2,7.316024291,0.03998614,313.5902513,1.021976718,2.51779099,6,1,28.56336212,30.69122314,28.08687592,638.9130859,629.3747559,17.88568115,19.08703995,45.75686264,48.83029556,500.6681824,900.9454346
Waratah,Coastal,Amb,640,BWK219T2,182,BWK219_182_T2,7.140017372,0.039973237,323.0943443,0.966279923,2.386374175,6,1,28.40903473,29.69906044,28.09261513,640.2907104,631.0037842,16.8109436,17.94810486,43.40597534,46.34213638,500.6873169,700.7282715
Waratah,Coastal,Amb,640,BWK219T2,182,BWK219_182_T2,6.937023561,0.037883567,317.4979496,0.871739433,2.27317944,6,1,28.24569321,28.86027527,28.09076881,640.4698486,631.4966431,16.07709122,17.10393333,41.9052887,44.58177567,500.6588135,500.4694519
Waratah,Coastal,Amb,640,BWK219T2,182,BWK219_182_T2,5.74542346,0.034163862,343.8039793,0.746525377,2.158598075,6,1,28.11051559,28.07950974,28.08832932,640.3532715,632.9013062,15.60191917,16.48186111,40.99038696,43.30223083,500.6384277,300.2626648
Waratah,Coastal,Amb,640,BWK219T2,182,BWK219_182_T2,4.786215375,0.029769839,357.8446514,0.631052971,2.09253269,6,1,28.00198936,27.52453804,28.09149933,640.5845947,634.3690186,15.18618774,15.93039799,40.14762878,42.11509323,500.6650085,198.9814453
Waratah,Coastal,Amb,640,BWK219T2,182,BWK219_182_T2,2.786716862,0.023978186,431.52453,0.495933418,2.039450368,6,1,27.91514397,27.07278252,28.09391785,640.3382568,636.6204224,14.91014481,15.49524212,39.62598038,41.18096924,500.6847229,99.75817871
Waratah,Coastal,Amb,640,BWK219T2,182,BWK219_182_T2,1.864372567,0.019277604,461.1873576,0.447120365,2.279699865,6,1,28.24149323,28.32409668,28.08909607,639.902832,637.3270874,15.29098892,15.81833839,39.87198257,41.24707413,500.6710205,58.81706238
Waratah,Coastal,Amb,640,BWK219T2,182,BWK219_182_T2,0.678997274,0.016242037,550.4767259,0.344898438,2.08680867,6,1,28.03608131,27.39015007,28.09376144,639.0578613,637.9804688,15.29291058,15.69974327,40.34817505,41.42154694,500.6730652,30.79400253
Waratah,Coastal,Amb,640,BWK219T2,182,BWK219_182_T2,-0.859817279,0.014198673,714.3654779,0.313580991,2.168523184,6,1,28.1750946,27.73210526,28.092453,640.3226929,641.1121826,15.24960804,15.61953926,39.9173317,40.88566589,500.6600952,0.014351054
Waratah,Coastal,Elv,640,BWK219T5,62,BWK219_62_T5,8.57,0.075,416,2.19,2.93,6,1,31.57,31.12,31.79,640.27,628.33,15.436,18.022,33.35,38.94,499.8,1001
Waratah,Coastal,Elv,640,BWK219T5,62,BWK219_62_T5,8.74,0.0775,411,2.88,3.71,6,1,32,32.93,31.79,640.19,627.52,14.525,17.922,30.62,37.78,499.8,1799
Waratah,Coastal,Elv,640,BWK219T5,62,BWK219_62_T5,8.2,0.0749,420,2.62,3.49,6,1,32.06,32.69,31.79,640.97,629.15,14.68,17.772,30.85,37.35,499.9,1399
Waratah,Coastal,Elv,640,BWK219T5,62,BWK219_62_T5,8.2,0.0768,428,2.34,3.05,6,1,31.83,31.74,31.8,641.09,629.47,14.929,17.689,31.77,37.64,499.8,900
Waratah,Coastal,Elv,640,BWK219T5,62,BWK219_62_T5,7.85,0.0776,438,2.25,2.9,6,1,31.83,31.56,31.8,640.5,629.38,15.29,17.939,32.53,38.17,499.9,700
Waratah,Coastal,Elv,640,BWK219T5,62,BWK219_62_T5,7.58,0.0771,444,2.1,2.72,6,1,31.83,31.39,31.79,640.02,629.33,16.136,18.605,34.35,39.61,499.9,500
Waratah,Coastal,Elv,640,BWK219T5,62,BWK219_62_T5,6.42,0.0762,469,1.95,2.57,6,1,31.83,31.22,31.8,639.74,630.56,16.727,19.027,35.61,40.5,500.1,300
Waratah,Coastal,Elv,640,BWK219T5,62,BWK219_62_T5,5.62,0.0734,484,1.88,2.56,6,1,31.72,30.91,31.79,641.22,633.05,15.849,18.06,33.93,38.66,499.9,200
Waratah,Coastal,Elv,640,BWK219T5,62,BWK219_62_T5,2.9,0.0678,542,1.71,2.52,6,1,31.71,30.82,31.79,640.68,635.89,15.951,17.969,34.17,38.5,499.9,99
Waratah,Coastal,Elv,640,BWK219T5,62,BWK219_62_T5,1.85,0.0619,564,1.56,2.51,6,1,31.57,30.46,31.79,640.89,637.48,15.478,17.311,33.43,37.39,500.3,60
Waratah,Coastal,Elv,640,BWK219T5,62,BWK219_62_T5,0.681,0.0544,593,1.38,2.52,6,1,31.58,30.49,31.8,640.79,638.92,15.685,17.311,33.86,37.37,499.9,29
Waratah,Coastal,Elv,640,BWK219T5,62,BWK219_62_T5,-0.798,0.0474,640,1.24,2.59,6,1,31.71,30.84,31.8,640.14,640.14,15.973,17.436,34.22,37.36,499.9,0
Waratah,Coastal,Amb,640,BWK219T4,63,BWK219_63_T4,12.07627969,0.061559844,292.8590804,1.175808253,1.897681599,6,1,28.37545395,29.74760437,28.09154129,642.2293701,626.8733521,21.52344322,22.9003067,55.766716,59.33413315,500.6517639,1000.456116
Waratah,Coastal,Amb,640,BWK219T4,63,BWK219_63_T4,11.97578214,0.07435167,341.1265619,1.784373447,2.389546884,6,1,28.66958427,31.53655052,28.09712982,639.2357788,623.5510254,20.41775513,22.50796127,51.99996185,57.32329941,500.6809998,1799.855591
Waratah,Coastal,Amb,640,BWK219T4,63,BWK219_63_T4,12.20566411,0.068818158,316.2294021,1.622575146,2.341764234,6,1,28.84916496,31.66421318,28.09770775,639.836731,623.9978027,21.42096519,23.31991005,53.99052429,58.77672195,500.721283,1399.701294
Waratah,Coastal,Amb,640,BWK219T4,63,BWK219_63_T4,11.18318978,0.067719052,338.8804334,1.460944806,2.142883053,6,1,28.89808655,31.0753746,28.07999992,639.982605,625.484375,22.05699921,23.7663269,55.4304924,59.72613144,500.6261292,901.2808228
Waratah,Coastal,Amb,640,BWK219T4,63,BWK219_63_T4,11.81180591,0.071110521,342.2753102,1.229072252,1.723182778,6,1,28.4206543,29.14220428,28.09526443,642.5164795,627.4369507,21.77336311,23.21210289,56.24396896,59.96045685,500.6643677,699.1105347
Waratah,Coastal,Amb,640,BWK219T4,63,BWK219_63_T4,10.8166776,0.077020375,380.5014754,1.416824221,1.836374858,6,1,28.59586143,29.65827179,28.09302711,639.5968628,625.5715942,21.64804649,23.30644226,55.35129547,59.59160233,500.6536255,498.7018433
Waratah,Coastal,Amb,640,BWK219T4,63,BWK219_63_T4,11.46349744,0.072377269,352.2827499,1.41353653,1.946930039,6,1,28.69222641,29.75247955,28.09079361,641.6605835,626.8612671,20.77902603,22.4349556,52.8261528,57.03599167,500.6821289,298.8651733
Waratah,Coastal,Amb,640,BWK219T4,63,BWK219_63_T4,7.966771301,0.062806247,408.7395684,1.052254056,1.669629809,6,1,28.17615891,27.88359451,28.09576988,640.0615845,629.7197876,19.66993141,20.90463066,51.52675629,54.7611351,500.6516724,199.888504
Waratah,Coastal,Amb,640,BWK219T4,63,BWK219_63_T4,4.787414484,0.061038147,487.6387441,1.205712643,1.966101648,6,1,28.47501373,28.74170303,28.09361076,640.1370239,633.4840698,18.46032715,19.87661362,47.51690292,51.16242218,500.6390381,99.18817139
Waratah,Coastal,Amb,640,BWK219T4,63,BWK219_63_T4,2.511951195,0.050280696,535.8920323,1.074064135,2.117491569,6,1,28.64515686,29.20829391,28.09421349,641.2226563,637.3917847,18.18733406,19.44949913,46.3529129,49.56971359,500.6512146,58.95832443
Waratah,Coastal,Amb,640,BWK219T4,63,BWK219_63_T4,1.744209046,0.040516511,546.7207125,0.871597568,2.124595006,6,1,28.65907478,29.24985123,28.09412575,639.8178711,637.0625,18.45661926,19.48067665,46.99042892,49.59767532,500.724823,30.7353611
Waratah,Coastal,Amb,640,BWK219T4,63,BWK219_63_T4,-1.091991335,0.033883263,668.2649954,0.749807047,2.180851938,6,1,28.63967514,29.26456833,28.08950233,638.8287964,639.5627441,18.0749836,18.95651436,46.06659698,48.31330109,500.6699829,0.142265186
Waratah,Coastal,Amb,640,BWK219T2,68,BWK219_68_T2,6.93,0.0295,234,0.78,2.63,5.3,1,28.15,28.78,27.9,639.65,631.81,15.185,15.995,40.18,42.32,502.4,1000
Waratah,Coastal,Amb,640,BWK219T2,68,BWK219_68_T2,7.29,0.0313,232,1.08,3.42,5.3,1,28.67,30.92,27.9,639.87,631.41,15.102,16.233,38.79,41.7,499.8,1800
Waratah,Coastal,Amb,640,BWK219T2,68,BWK219_68_T2,7.2,0.0302,227,0.886,2.91,5.3,1,28.18,29.33,27.91,639.86,631.64,14.942,15.866,39.49,41.93,500.2,1400
Waratah,Coastal,Amb,640,BWK219T2,68,BWK219_68_T2,7.09,0.0308,243,0.759,2.45,5.3,1,27.72,27.72,27.9,639.73,631.7,14.265,15.058,38.74,40.89,499.7,900
Waratah,Coastal,Amb,640,BWK219T2,68,BWK219_68_T2,7.03,0.0316,256,0.721,2.28,5.3,1,27.46,26.93,27.9,639.62,631.69,13.765,14.518,37.95,40.02,499.8,701
Waratah,Coastal,Amb,640,BWK219T2,68,BWK219_68_T2,7.36,0.0328,254,0.697,2.12,5.3,1,27.26,26.28,27.91,639.98,631.71,13.399,14.128,37.39,39.42,500,501
Waratah,Coastal,Amb,640,BWK219T2,68,BWK219_68_T2,7.01,0.0336,280,0.696,2.07,5.3,1,27.35,26.3,27.91,639.81,631.9,13.297,14.025,36.92,38.94,499.7,299
Waratah,Coastal,Amb,640,BWK219T2,68,BWK219_68_T2,6.58,0.0309,275,0.614,1.98,5.3,1,27.32,26.08,27.9,640.62,633.23,13.615,14.256,37.86,39.64,500.2,201
Waratah,Coastal,Amb,640,BWK219T2,68,BWK219_68_T2,4.41,0.0298,380,0.586,1.96,5.3,1,27.32,26,27.9,639.7,634.63,13.422,14.034,37.34,39.04,500,101
Waratah,Coastal,Amb,640,BWK219T2,68,BWK219_68_T2,3.05,0.0256,428,0.491,1.91,5.3,1,27.27,25.84,27.9,639.34,635.79,13.667,14.179,38.14,39.57,501,60
Waratah,Coastal,Amb,640,BWK219T2,68,BWK219_68_T2,1.53,0.0245,518,0.489,1.99,5.3,1,27.46,26.29,27.91,639.42,637.47,13.624,14.135,37.6,39.01,500.1,29
Waratah,Coastal,Amb,640,BWK219T2,68,BWK219_68_T2,-0.376,0.0225,647,0.446,1.98,5.3,1,27.4,26.23,27.9,640.1,640.2,13.613,14.079,37.7,38.99,500.2,0
Waratah,Coastal,Elv,640,BWK219T7,94,BWK219_94_T7,10.49567424,0.067461811,349.6961876,1.917493924,2.828112118,5.5,1,31.77404022,31.24055862,32.02416229,638.7974854,625.9263306,15.29263592,17.36616516,32.60469437,37.0255661,499.7792664,999.1060791
Waratah,Coastal,Elv,640,BWK219T7,94,BWK219_94_T7,10.7841696,0.072846825,358.9610548,2.250931727,3.073684514,5.5,1,31.86661911,32.3864975,32.02416611,638.8988647,625.4835205,15.5457468,17.9779911,32.96809769,38.12619019,499.8492432,1799.499634
Waratah,Coastal,Elv,640,BWK219T7,94,BWK219_94_T7,10.89516215,0.07324136,358.9293768,2.151258546,2.923400388,5.5,1,31.87036896,31.93346786,32.02310181,638.894104,625.4232788,15.92214966,18.246418,33.75722122,38.68500137,499.7715454,1400.67334
Waratah,Coastal,Elv,640,BWK219T7,94,BWK219_94_T7,10.6290297,0.07198967,362.7357622,1.961622971,2.714001679,5.5,1,31.82262039,31.24343681,32.02386093,638.7617798,625.7109375,16.38659096,18.505867,34.84671402,39.35343552,499.6643982,899.6356812
Waratah,Coastal,Elv,640,BWK219T7,94,BWK219_94_T7,10.3993574,0.071741085,370.5243491,1.864264365,2.588577113,5.5,1,31.77064705,30.87760162,32.02316666,641.0317383,628.2929077,16.80284882,18.81670761,35.83332443,40.12802887,499.564209,700.1203613
Waratah,Coastal,Elv,640,BWK219T7,94,BWK219_94_T7,9.591148546,0.070142899,385.0330433,1.742585735,2.474410679,5.5,1,31.72826195,30.53377151,32.02149582,640.4077759,628.6494751,17.20348549,19.08423042,36.77823639,40.79896164,499.8718262,499.3432617
Waratah,Coastal,Elv,640,BWK219T7,94,BWK219_94_T7,8.590401327,0.067555518,402.7604658,1.608448797,2.371640815,5.5,1,31.61566162,29.98627853,32.02425385,640.6791992,630.1094971,17.01825333,18.75525284,36.61740112,40.35482407,499.743988,299.9486389
