Event ID,Accession Number,Scientific Name,Dataset Title,Locality,Decimal Latitude,Decimal Longitude,Seed/gm,Quantity (count),Quantity (g),Thousand Seed Weight,Storage Relative Humidity,Purity,Storage Temperature,Collection Date,Storage Date,Storage Seed Bank,Collector,Pre-Storage Treatment/History,Plant Form,Form in Storage,Cultivated,Duplicates / Replicates,Permit Number,Collection Fill Rate / X-Ray,Publication DOI,Date Tested,Test Length,Number Germinated,Number Full,Number Empty,Number Not Viable,Number Tested,Germination Rate,Adjusted Germination,Viability,Pre-test Processing Notes,Treatment Media/Substrate,Treatment Day Temp,Treatment Night Temp,Treatment Light Hours,Treatment Dark Hours,Treatment Pretreatment,location_name,location_name2,location_name3
vcsb-6795,1795,Lemooria burkittii,Victorian Conservation Seed Bank,"Near Lindsay Point (industrial area). Ca. 3 km SW (by road) from the intersection of Lacy Road and Kempe Road. Off Lacy Road (on N side of road), ca. 80 metres N of the road. 2.6 km (by road) from Boundary Fence Road.",-34.116444,140.983861,NA,1300,NA,NA,NA,NA,15,NA,11/17/2014,Victorian Conservation Seedbank,"Stajsic, V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.116444_lat_and_140.983861_long,location_at_-34.116444_lat_and_140.983861_long,location_at_-34.116444_lat_and_140.983861_long
vcsb-6795,1795,Lemooria burkittii,Victorian Conservation Seed Bank,"Near Lindsay Point (industrial area). Ca. 3 km SW (by road) from the intersection of Lacy Road and Kempe Road. Off Lacy Road (on N side of road), ca. 80 metres N of the road. 2.6 km (by road) from Boundary Fence Road.",-34.116444,140.983861,NA,1300,NA,NA,NA,NA,15,NA,11/17/2014,Victorian Conservation Seedbank,"Stajsic, V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.116444_lat_and_140.983861_long,location_at_-34.116444_lat_and_140.983861_long,location_at_-34.116444_lat_and_140.983861_long
vcsb-4888-trial,1795,Lemooria burkittii,Victorian Conservation Seed Bank,"Near Lindsay Point (industrial area). Ca. 3 km SW (by road) from the intersection of Lacy Road and Kempe Road. Off Lacy Road (on N side of road), ca. 80 metres N of the road. 2.6 km (by road) from Boundary Fence Road.",-34.116444,140.983861,NA,NA,NA,NA,NA,NA,NA,NA,11/17/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/25/2013,110 days,NA,7,NA,NA,25,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.116444_lat_and_140.983861_long,location_at_-34.116444_lat_and_140.983861_long,location_at_-34.116444_lat_and_140.983861_long
vcsb-4888-trial,1795,Lemooria burkittii,Victorian Conservation Seed Bank,"Near Lindsay Point (industrial area). Ca. 3 km SW (by road) from the intersection of Lacy Road and Kempe Road. Off Lacy Road (on N side of road), ca. 80 metres N of the road. 2.6 km (by road) from Boundary Fence Road.",-34.116444,140.983861,NA,NA,NA,NA,NA,NA,NA,NA,11/17/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/25/2013,110 days,NA,7,NA,NA,25,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.116444_lat_and_140.983861_long,location_at_-34.116444_lat_and_140.983861_long,location_at_-34.116444_lat_and_140.983861_long
vcsb-IRKS 15/01,1546,Trianthema triquetrum,Victorian Conservation Seed Bank,"Calder Hwy road reserve, N side opposite Meridian Rd, Yelta.",-34.116944,141.987778,NA,22000,NA,NA,NA,NA,15,2/20/2015,10/22/2015,Victorian Conservation Seedbank,"Sluiter, I.R.K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.116944_lat_and_141.987778_long,location_at_-34.116944_lat_and_141.987778_long,location_at_-34.116944_lat_and_141.987778_long
vcsb-5185-trial,1546,Trianthema triquetrum,Victorian Conservation Seed Bank,"Calder Hwy road reserve, N side opposite Meridian Rd, Yelta.",-34.116944,141.987778,NA,NA,NA,NA,NA,NA,NA,2/20/2015,10/22/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/10/2015,185 days,NA,21,NA,NA,25,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.116944_lat_and_141.987778_long,location_at_-34.116944_lat_and_141.987778_long,location_at_-34.116944_lat_and_141.987778_long
vcsb-5396-trial,1546,Trianthema triquetrum,Victorian Conservation Seed Bank,"Calder Hwy road reserve, N side opposite Meridian Rd, Yelta.",-34.116944,141.987778,NA,NA,NA,NA,NA,NA,NA,2/20/2015,10/22/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/10/2016,79 days,NA,NA,NA,NA,25,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.116944_lat_and_141.987778_long,location_at_-34.116944_lat_and_141.987778_long,location_at_-34.116944_lat_and_141.987778_long
vcsb-7240,1498,Duma horrida subsp. horrida,Victorian Conservation Seed Bank,"Yelta. Meridian Road, ca. 800 metres S (as the crow flies) from the intersection of Calder Highway and Meridian Road, ca. 200 metres W from Calder Highway.",-34.12285,141.9887,NA,11728,NA,NA,NA,NA,15,NA,10/22/2015,Victorian Conservation Seedbank,"Stajsic, V.",NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.12285_lat_and_141.9887_long,location_at_-34.12285_lat_and_141.9887_long,location_at_-34.12285_lat_and_141.9887_long
vcsb-5314-trial,1498,Duma horrida subsp. horrida,Victorian Conservation Seed Bank,"Yelta. Meridian Road, ca. 800 metres S (as the crow flies) from the intersection of Calder Highway and Meridian Road, ca. 200 metres W from Calder Highway.",-34.12285,141.9887,NA,NA,NA,NA,NA,NA,NA,NA,10/22/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/2015,50 days,NA,7,NA,NA,19,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.12285_lat_and_141.9887_long,location_at_-34.12285_lat_and_141.9887_long,location_at_-34.12285_lat_and_141.9887_long
vcsb-5038-trial,1498,Duma horrida subsp. horrida,Victorian Conservation Seed Bank,"Yelta. Meridian Road, ca. 800 metres S (as the crow flies) from the intersection of Calder Highway and Meridian Road, ca. 200 metres W from Calder Highway.",-34.12285,141.9887,NA,NA,NA,NA,NA,NA,NA,NA,10/22/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/20/2014,161 days,NA,2,NA,NA,25,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.12285_lat_and_141.9887_long,location_at_-34.12285_lat_and_141.9887_long,location_at_-34.12285_lat_and_141.9887_long
vcsb-5032-trial,1498,Duma horrida subsp. horrida,Victorian Conservation Seed Bank,"Yelta. Meridian Road, ca. 800 metres S (as the crow flies) from the intersection of Calder Highway and Meridian Road, ca. 200 metres W from Calder Highway.",-34.12285,141.9887,NA,NA,NA,NA,NA,NA,NA,NA,10/22/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/20/2014,125 days,NA,NA,NA,NA,25,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.12285_lat_and_141.9887_long,location_at_-34.12285_lat_and_141.9887_long,location_at_-34.12285_lat_and_141.9887_long
vcsb-2822,1338,Ranunculus pentandrus var. platycarpus,Victorian Conservation Seed Bank,Neds Corner Trust for Nature property about 5 km west of homestead.,-34.135556,141.281389,NA,5000,NA,NA,NA,NA,15,NA,5/21/2013,Victorian Conservation Seedbank,"Jeanes, J.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.135556_lat_and_141.281389_long,location_at_-34.135556_lat_and_141.281389_long,location_at_-34.135556_lat_and_141.281389_long
vcsb-4786-trial,1338,Ranunculus pentandrus var. platycarpus,Victorian Conservation Seed Bank,Neds Corner Trust for Nature property about 5 km west of homestead.,-34.135556,141.281389,NA,NA,NA,NA,NA,NA,NA,NA,5/21/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148 days,NA,15,NA,NA,25,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.135556_lat_and_141.281389_long,location_at_-34.135556_lat_and_141.281389_long,location_at_-34.135556_lat_and_141.281389_long
vcsb-3014,1410,Rhodanthe stricta,Victorian Conservation Seed Bank,Neds Corner Trust for Nature Station. Beside track about 1.5 km WNW of station.,-34.135833,141.303333,NA,323,NA,NA,NA,NA,15,11/20/2013,11/17/2014,Victorian Conservation Seedbank,"Jeanes, J.A.",NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.135833_lat_and_141.303333_long,location_at_-34.135833_lat_and_141.303333_long,location_at_-34.135833_lat_and_141.303333_long
vcsb-3014,1410,Rhodanthe stricta,Victorian Conservation Seed Bank,Neds Corner Trust for Nature Station. Beside track about 1.5 km WNW of station.,-34.135833,141.303333,NA,323,NA,NA,NA,NA,15,11/20/2013,11/17/2014,Victorian Conservation Seedbank,"Jeanes, J.A.",NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.135833_lat_and_141.303333_long,location_at_-34.135833_lat_and_141.303333_long,location_at_-34.135833_lat_and_141.303333_long
vcsb-4897-trial,1410,Rhodanthe stricta,Victorian Conservation Seed Bank,Neds Corner Trust for Nature Station. Beside track about 1.5 km WNW of station.,-34.135833,141.303333,NA,NA,NA,NA,NA,NA,NA,11/20/2013,11/17/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170 days,NA,0,NA,NA,25,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.135833_lat_and_141.303333_long,location_at_-34.135833_lat_and_141.303333_long,location_at_-34.135833_lat_and_141.303333_long
vcsb-4897-trial,1410,Rhodanthe stricta,Victorian Conservation Seed Bank,Neds Corner Trust for Nature Station. Beside track about 1.5 km WNW of station.,-34.135833,141.303333,NA,NA,NA,NA,NA,NA,NA,11/20/2013,11/17/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170 days,NA,0,NA,NA,25,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.135833_lat_and_141.303333_long,location_at_-34.135833_lat_and_141.303333_long,location_at_-34.135833_lat_and_141.303333_long
vcsb-2693,1077,Sphaeromorphaea littoralis,Victorian Conservation Seed Bank,Neds Corner Station. Lindsay River about 4.5 km west of Neds Corner Homestead.,-34.136944,141.279722,NA,6600,NA,NA,NA,NA,NA,11/22/2011,4/16/2013,Victorian Conservation Seedbank,"Jeanes, J.A.",NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long
vcsb-2693,1077,Sphaeromorphaea littoralis,Victorian Conservation Seed Bank,Neds Corner Station. Lindsay River about 4.5 km west of Neds Corner Homestead.,-34.136944,141.279722,NA,6600,NA,NA,NA,NA,NA,11/22/2011,4/16/2013,Victorian Conservation Seedbank,"Jeanes, J.A.",NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long
vcsb-2698,1060,Alternanthera nodiflora,Victorian Conservation Seed Bank,Neds Corner Station. Lindsay River about 4.5 km west of Neds Corner Homestead.,-34.136944,141.279722,NA,2500,NA,NA,NA,NA,15,11/22/2011,4/16/2013,Victorian Conservation Seedbank,"Jeanes, J.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long,location_at_-34.136944_lat_and_141.279722_long
