species,height (m),LMA,root wood density (g cm-3),stem wood density (g cm-3),leaf size (mm2)
Acacia colletioides,1.6,,,,
Acacia colletioides,1.15,,,,
Acacia colletioides,1.1,,,,
Acacia colletioides,1.2,,,,
Acacia colletioides,1.3,,,,
Acacia colletioides,1.4,,,,
Acacia colletioides,1.25,,,,
Acacia colletioides,1,,,,
Acacia colletioides,1.6,,,,
Acacia colletioides,1.1,,,,
Acacia colletioides,,262.4,,,
Acacia colletioides,,,0.88,0.98,31
Acacia deanei subsp. paucijuga,1.9,,,,
Acacia deanei subsp. paucijuga,1.6,,,,
Acacia deanei subsp. paucijuga,1.4,,,,
Acacia deanei subsp. paucijuga,2.3,,,,
Acacia deanei subsp. paucijuga,2.6,,,,
Acacia deanei subsp. paucijuga,,231.4,,,
Acacia deanei subsp. paucijuga,,,0.86,0.84,1063
Acacia hakeoides,1.7,,,,
Acacia hakeoides,1.85,,,,
Acacia hakeoides,0.98,,,,
Acacia hakeoides,2.4,,,,
Acacia hakeoides,2.3,,,,
Acacia hakeoides,1.39,,,,
Acacia hakeoides,,279.33,,,
Acacia hakeoides,,,0.78,0.87,647
Acacia havilandiorum,1.15,,,,
Acacia havilandiorum,1.9,,,,
Acacia havilandiorum,2.3,,,,
Acacia havilandiorum,2.2,,,,
Acacia havilandiorum,2.3,,,,
Acacia havilandiorum,,266,,,
Acacia havilandiorum,,,0.75,0.97,67
Acacia irrorata subsp. irrorata,1.97,,,,
Acacia irrorata subsp. irrorata,1.82,,,,
Acacia irrorata subsp. irrorata,1.98,,,,
Acacia irrorata subsp. irrorata,3.64,,,,
Acacia irrorata subsp. irrorata,3.2,,,,
Acacia irrorata subsp. irrorata,3.4,,,,
Acacia irrorata subsp. irrorata,,151.83,,,
Acacia irrorata subsp. irrorata,,,0.54,0.55,1575
Acacia linearis,2.2,,,,
Acacia linearis,2.3,,,,
Acacia linearis,2.2,,,,
Acacia linearis,4,,,,
Acacia linearis,3.7,,,,
Acacia linearis,2.4,,,,
Acacia linearis,,150.5,,,
Acacia linearis,,,0.68,0.83,58
Acacia oswaldii,1.64,,,,
Acacia oswaldii,1.7,,,,
Acacia oswaldii,1.38,,,,
Acacia oswaldii,1.8,,,,
Acacia oswaldii,1.1,,,,
Acacia oswaldii,2.89,,,,
Acacia oswaldii,,432.5,,,
Acacia oswaldii,,,0.89,1.03,194
Acacia oxycedrus,3.1,,,,
Acacia oxycedrus,2.34,,,,
Acacia oxycedrus,1.73,,,,
Acacia oxycedrus,2.69,,,,
Acacia oxycedrus,2.41,,,,
Acacia oxycedrus,2.47,,,,
Acacia oxycedrus,,204.17,,,
Acacia oxycedrus,,,0.53,0.68,31
Acacia wilhelmiana,2.2,,,,
Acacia wilhelmiana,1.15,,,,
Acacia wilhelmiana,2.15,,,,
Acacia wilhelmiana,1.15,,,,
Acacia wilhelmiana,2.25,,,,
Acacia wilhelmiana,1.95,,,,
Acacia wilhelmiana,2.4,,,,
Acacia wilhelmiana,,193.8,,,
Acacia wilhelmiana,,,0.67,0.78,16
Acmena smithii,2.4,,,,
Acmena smithii,2.28,,,,
Acmena smithii,2.6,,,,
Acmena smithii,3.56,,,,
Acmena smithii,3.2,,,,
Acmena smithii,2.1,,,,
Acmena smithii,,104.83,,,
Acmena smithii,,,0.75,0.75,2017
Allocasuarina torulosa,2.02,,,,
Allocasuarina torulosa,3.02,,,,
Allocasuarina torulosa,3.1,,,,
Allocasuarina torulosa,2.9,,,,
Allocasuarina torulosa,3,,,,
Allocasuarina torulosa,3,,,,
Allocasuarina torulosa,,96.17,,,
Allocasuarina torulosa,,,0.85,0.75,84
Apophyllum anomalum,0.83,,,,
Apophyllum anomalum,1.52,,,,
Apophyllum anomalum,1.72,,,,
Apophyllum anomalum,1.74,,,,
Apophyllum anomalum,1.47,,,,
Apophyllum anomalum,1.56,,,,
Apophyllum anomalum,,538,,,
Apophyllum anomalum,,,0.96,0.81,183
Banksia serrata,2.9,,,,
Banksia serrata,3.5,,,,
Banksia serrata,3.9,,,,
Banksia serrata,1.7,,,,
Banksia serrata,1.8,,,,
Banksia serrata,2.6,,,,
Banksia serrata,,244.67,,,
Banksia serrata,,,0.76,0.59,2324
Banksia spinulosa var. collina,1.62,,,,
Banksia spinulosa var. collina,1.55,,,,
Banksia spinulosa var. collina,1.01,,,,
Banksia spinulosa var. collina,1.23,,,,
Banksia spinulosa var. collina,0.75,,,,
Banksia spinulosa var. collina,1.23,,,,
Banksia spinulosa var. collina,,211.83,,,
Banksia spinulosa var. collina,,,0.80,0.73,239
Bertya cunninghamii,2.1,,,,
Bertya cunninghamii,1.6,,,,
Bertya cunninghamii,1.4,,,,
Bertya cunninghamii,1.75,,,,
Bertya cunninghamii,1.2,,,,
Bertya cunninghamii,1.2,,,,
Bertya cunninghamii,1.3,,,,
Bertya cunninghamii,0.7,,,,
Bertya cunninghamii,1.1,,,,
Bertya cunninghamii,1.05,,,,
Bertya cunninghamii,0.7,,,,
Bertya cunninghamii,1.83,,,,
Bertya cunninghamii,1.64,,,,
Bertya cunninghamii,2.3,,,,
Bertya cunninghamii,2.45,,,,
Bertya cunninghamii,1.7,,,,
Bertya cunninghamii,,167.2,,,
Bertya cunninghamii,,161.6,,,
Bertya cunninghamii,,,0.75,0.73,12
Bertya cunninghamii,,,0.75,0.77,15
Beyeria opaca,0.9,,,,
Beyeria opaca,1.1,,,,
Beyeria opaca,1.15,,,,
Beyeria opaca,1.1,,,,
Beyeria opaca,0.85,,,,
Beyeria opaca,0.8,,,,
Beyeria opaca,,,,,
Beyeria opaca,1.3,,,,
Beyeria opaca,1.2,,,,
Beyeria opaca,,193.6,,,
Beyeria opaca,,,0.72,0.78,18
Bossiaea walkeri,1.3,,,,
Bossiaea walkeri,1.15,,,,
Bossiaea walkeri,1.15,,,,
Bossiaea walkeri,1.3,,,,
Bossiaea walkeri,1.3,,,,
Bossiaea walkeri,1.5,,,,
Bossiaea walkeri,0.95,,,,
Bossiaea walkeri,,395.42,,,
Bossiaea walkeri,,,0.90,0.98,186
Breynia oblongifolia,2.37,,,,
Breynia oblongifolia,1.47,,,,
Breynia oblongifolia,1.97,,,,
Breynia oblongifolia,2.7,,,,
Breynia oblongifolia,1.75,,,,
Breynia oblongifolia,1.33,,,,
Breynia oblongifolia,,60,,,
Breynia oblongifolia,,,0.75,0.62,476
Callitris glaucophylla,3,,,,
Callitris glaucophylla,2.7,,,,
Callitris glaucophylla,3.05,,,,
Callitris glaucophylla,2.8,,,,
Callitris glaucophylla,1.68,,,,
Callitris glaucophylla,1.7,,,,
Callitris glaucophylla,,266.2,,,
Callitris glaucophylla,,,0.63,0.76,310
Cassinia laevis,1.1,,,,
Cassinia laevis,1.5,,,,
Cassinia laevis,1.7,,,,
Cassinia laevis,1.3,,,,
Cassinia laevis,1.15,,,,
Cassinia laevis,1.8,,,,
Cassinia laevis,2.4,,,,
Cassinia laevis,,145.6,,,
Cassinia laevis,,,0.76,0.81,19
Daviesia ulicifolia,1.85,,,,
Daviesia ulicifolia,2.3,,,,
Daviesia ulicifolia,1.99,,,,
Daviesia ulicifolia,1.75,,,,
Daviesia ulicifolia,1.97,,,,
Daviesia ulicifolia,1.78,,,,
Daviesia ulicifolia,,77.17,,,
Daviesia ulicifolia,,,0.58,0.79,14
Dodonea triquetra,2.9,,,,
Dodonea triquetra,3.15,,,,
Dodonea triquetra,2.9,,,,
Dodonea triquetra,3.35,,,,
Dodonea triquetra,2.98,,,,
Dodonea triquetra,3.3,,,,
Dodonea triquetra,,70.67,,,
Dodonea triquetra,,,0.76,0.85,1407
Dodonea viscosa,0.7,,,,
Dodonea viscosa subsp. angustissima,2.43,,,,
Dodonea viscosa subsp. angustissima,1.4,,,,
Dodonea viscosa subsp. angustissima,2.01,,,,
Dodonea viscosa subsp. angustissima,2.6,,,,
Dodonea viscosa subsp. angustissima,1.66,,,,
Dodonea viscosa subsp. angustissima,1.65,,,,
Dodonea viscosa subsp. angustissima,,176,,,
Dodonea viscosa subsp. angustissima,,,0.88,1.06,40
Dodonea viscosa subsp. cuneata,1.5,,,,
Dodonea viscosa subsp. cuneata,0.7,,,,
Dodonea viscosa subsp. cuneata,1.2,,,,
Dodonea viscosa subsp. cuneata,1.05,,,,
Dodonea viscosa subsp. cuneata,0.8,,,,
Dodonea viscosa subsp. cuneata,1.6,,,,
Dodonea viscosa subsp. cuneata,1,,,,
Dodonea viscosa subsp. cuneata,1.2,,,,
Dodonea viscosa subsp. cuneata,0.9,,,,
Dodonea viscosa subsp. cuneata,0.75,,,,
Dodonea viscosa subsp. cuneata,1.2,,,,
Dodonea viscosa subsp. cuneata,1.21,,,,
Dodonea viscosa subsp. cuneata,1.34,,,,
Dodonea viscosa subsp. cuneata,0.99,,,,
Dodonea viscosa subsp. cuneata,1.01,,,,
Dodonea viscosa subsp. cuneata,1,,,,
Dodonea viscosa subsp. cuneata,,134.8,,,
Dodonea viscosa subsp. cuneata,,135.09,,,
Dodonea viscosa subsp. cuneata,,,0.86,0.88,40
Dodonea viscosa subsp. cuneata,,,0.71,0.90,52
Dodonea viscosa subsp. spatulata,2.3,,,,
Dodonea viscosa subsp. spatulata,1.77,,,,
Dodonea viscosa subsp. spatulata,1.81,,,,
Dodonea viscosa subsp. spatulata,1.83,,,,
Dodonea viscosa subsp. spatulata,2,,,,
Dodonea viscosa subsp. spatulata,2.15,,,,
Dodonea viscosa subsp. spatulata,,150,,,
Dodonea viscosa subsp. spatulata,,,0.79,0.90,194
Eremophila desertorum,1.56,,,,
Eremophila desertorum,1.4,,,,
Eremophila desertorum,1.54,,,,
Eremophila desertorum,0.8,,,,
Eremophila desertorum,1.43,,,,
Eremophila desertorum,1.77,,,,
Eremophila desertorum,,273,,,
Eremophila desertorum,,,0.83,0.90,94
Eremophila glabra,0.9,,,,
Eremophila glabra,1,,,,
Eremophila glabra,0.8,,,,
Eremophila glabra,0.9,,,,
Eremophila glabra,0.7,,,,
Eremophila glabra,1.15,,,,
Eremophila glabra,0.95,,,,
Eremophila glabra,1.6,,,,
Eremophila glabra,1.1,,,,
Eremophila glabra,0.9,,,,
Eremophila glabra,1.46,,,,
Eremophila glabra,1.26,,,,
Eremophila glabra,1.25,,,,
Eremophila glabra,1.26,,,,
Eremophila glabra,1.48,,,,
Eremophila glabra,1.65,,,,
Eremophila glabra,,188.2,,,
Eremophila glabra,,191.18,,,
Eremophila glabra,,,0.88,0.83,80
Eremophila glabra,,,0.80,0.85,96
Eremophila longifolia,2.4,,,,
Eremophila longifolia,2.1,,,,
Eremophila longifolia,2.5,,,,
Eremophila longifolia,0.85,,,,
Eremophila longifolia,1.85,,,,
Eremophila longifolia,3.13,,,,
Eremophila longifolia,2.98,,,,
Eremophila longifolia,1.68,,,,
Eremophila longifolia,2.7,,,,
Eremophila longifolia,2.42,,,,
Eremophila longifolia,1.9,,,,
Eremophila longifolia,2.15,,,,
Eremophila longifolia,,295,,,
Eremophila longifolia,,259.5,,,
Eremophila longifolia,,,0.85,0.78,238
Eremophila longifolia,,,0.73,0.75,266
Eremophila mitchelli,1.7,,,,
Eremophila mitchellii,2.53,,,,
Eremophila mitchellii,2.95,,,,
Eremophila mitchellii,3,,,,
Eremophila mitchellii,2.53,,,,
Eremophila mitchellii,3.4,,,,
Eremophila mitchellii,1.99,,,,
Eremophila mitchellii,,187.83,,,
Eremophila mitchellii,,,0.78,0.77,130
Eutaxia microphylla,0.3,,,,
Eutaxia microphylla,0.9,,,,
Eutaxia microphylla,0.55,,,,
Eutaxia microphylla,0.85,,,,
Eutaxia microphylla,0.9,,,,
Eutaxia microphylla,0.7,,,,
Eutaxia microphylla,0.7,,,,
Eutaxia microphylla,0.9,,,,
Eutaxia microphylla,,102,,,
Eutaxia microphylla,,,0.75,0.94,1
Exocarpus stricta,2.7,,,,
Exocarpus stricta,2.81,,,,
Exocarpus stricta,1.75,,,,
Exocarpus stricta,2.5,,,,
Exocarpus stricta,2.36,,,,
Exocarpus stricta,2.7,,,,
Exocarpus stricta,,139.83,,,
Exocarpus strictus,,,1.03,0.83,73
Glochidion ferdinandi,3.2,,,,
Glochidion ferdinandi,3.45,,,,
Glochidion ferdinandi,3.1,,,,
Glochidion ferdinandi,2.98,,,,
Glochidion ferdinandi,2.3,,,,
Glochidion ferdinandi,2.3,,,,
Glochidion ferdinandi,,74.5,,,
Glochidion ferdinandi,,,0.78,0.49,2535
Gompholobium grandiflorum,0.86,,,,
Gompholobium grandiflorum,0.67,,,,
Gompholobium grandiflorum,0.86,,,,
Gompholobium grandiflorum,1.08,,,,
Gompholobium grandiflorum,0.98,,,,
Gompholobium grandiflorum,0.86,,,,
Gompholobium grandiflorum,,178.33,,,
