var_name,trait_name,unit
height (m),plant_height,m
LMA,leaf_mass_per_area,g/m2
root wood density (g cm-3),root_wood_density,g/cm3
stem wood density (g cm-3),wood_density,g/cm3
leaf size (mm2),leaf_area,mm2
