Run,Treatment,Cell,FvFm,ID,Family,Genus,Species,Species.s,distance,Rep,Salinity,ppt,Date,FM,DM,WCg,Wca.m2,Succulence,thermocouple,F id,LMA,WCi,GF,Tcrit,Tmax,location_name,latitude (deg),longitude (deg)
Part-2,D1,c5,0.772,Aa-H-1,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.low,14.14,1,Low,7,4/07/2022,0.0189,0.006,2.15,256.71,256.71,23,23,119.4,100,Tree,44.71,54.3,Daintree National Park 5,-16.24,145.35
Part-2,D1,e5,0.799,Aa-H-2,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.low,14.14,2,Low,7,4/07/2022,0.0175,0.0058,2.017241379,232.7896551,232.7896551,41,41,115.4,100,Tree,46.74,54.84,Daintree National Park 5,-16.24,145.35
Part-2,D1,d1,0.785,Aa-H-3,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.low,14.14,3,Low,7,4/07/2022,0.0154,0.0043,2.581395349,220.7093023,220.7093023,28,28,85.5,100,Tree,44,54.56,Daintree National Park 5,-16.24,145.35
Part-2,D1,c3,0.804,Aa-H-4,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.low,14.14,4,Low,7,4/07/2022,0.0154,0.0053,1.905660377,200.8566037,200.8566037,21,21,105.4,100,Tree,45.2,55.59,Daintree National Park 5,-16.24,145.35
Part-2,D1,e8,0.804,Aa-H-5,Rhizophoraceae,Bruguiera,Bruguiera gymnorrhiza,Bg.low,14.14,5,Low,7,4/07/2022,0.0187,0.006,2.116666667,252.73,252.73,44,44,119.4,100,Tree,43.93,55.48,Daintree National Park 5,-16.24,145.35
Part-2,D1,a2,0.764,Ac-L-1,Primulaceae,Aegiceras,Aegiceras corniculatum,Ac.low,13.23,1,Low,7,4/07/2022,0.0185,0.0054,2.425925926,260.5444445,260.5444445,2,2,107.4,100,Tree,45.02,51.19,Daintree National Park 2,-16.24,145.36
Part-2,D1,c2,0.741,Ac-L-2,Primulaceae,Aegiceras,Aegiceras corniculatum,Ac.low,13.23,2,Low,7,4/07/2022,0.022,0.0077,1.857142857,284.5142857,284.5142857,20,20,153.2,100,Tree,43.83,50.27,Daintree National Park 2,-16.24,145.36
Part-2,D1,d4,0.77,Ac-L-3,Primulaceae,Aegiceras,Aegiceras corniculatum,Ac.low,13.23,3,Low,7,4/07/2022,0.0213,0.0085,1.505882353,254.6447059,254.6447059,31,31,169.1,100,Tree,45.69,52.26,Daintree National Park 2,-16.24,145.36
Part-2,D1,a3,0.8,Ac-L-4,Primulaceae,Aegiceras,Aegiceras corniculatum,Ac.low,13.23,4,Low,7,4/07/2022,0.0243,0.0067,2.626865672,350.1611941,350.1611941,3,3,133.3,100,Tree,43.71,51.14,Daintree National Park 2,-16.24,145.36
Part-2,D1,b5,0.756,Ac-L-5,Primulaceae,Aegiceras,Aegiceras corniculatum,Ac.low,13.23,5,Low,7,4/07/2022,0.0231,0.0074,2.121621622,312.3027028,312.3027028,14,14,147.2,100,Tree,45.27,53.57,Daintree National Park 2,-16.24,145.36
Part-1,D1,b2,0.69,Ai-L-1,Acanthaceae,Acanthus,Acanthus ilicifolius,Ai.low,16.82,1,Low,7,4/07/2022,0.0215,0.0028,6.678571429,371.9964286,371.9964286,11,11,55.7,100,Shrub,46.64,51.98,Daintree National Park 1,-16.25,145.34
Part-1,D1,e1,0.761,Ai-L-2,Acanthaceae,Acanthus,Acanthus ilicifolius,Ai.low,16.82,2,Low,7,4/07/2022,0.0295,0.0044,5.704545455,499.1477273,499.1477273,37,37,87.5,100,Shrub,45.31,53.94,Daintree National Park 1,-16.25,145.34
Part-1,D1,c1,0.707,Ai-L-3,Acanthaceae,Acanthus,Acanthus ilicifolius,Ai.low,16.82,3,Low,7,4/07/2022,0.023,0.0036,5.388888889,385.8444445,385.8444445,19,19,71.6,100,Shrub,46.59,52.14,Daintree National Park 1,-16.25,145.34
Part-1,D1,a5,0.741,Ai-L-4,Acanthaceae,Acanthus,Acanthus ilicifolius,Ai.low,16.82,4,Low,7,4/07/2022,0.0226,0.0037,5.108108108,375.9567567,375.9567567,5,5,73.6,100,Shrub,44.32,50.18,Daintree National Park 1,-16.25,145.34
Part-1,D1,b3,0.731,Ai-L-5,Acanthaceae,Acanthus,Acanthus ilicifolius,Ai.low,16.82,5,Low,7,4/07/2022,0.0311,0.0063,3.936507937,493.2444445,493.2444445,12,12,125.3,100,Shrub,45.46,50.39,Daintree National Park 1,-16.25,145.34
Part-2,D1,d3,0.797,Am-H-1,Acanthaceae,Avicennia,Avicennia marina,Am.high,0.6,1,High,11,4/07/2022,0.0252,0.0073,2.452054795,356.0383562,356.0383562,30,30,145.2,100,Tree,49.95,53.98,Daintree National Park 3,-16.28,145.45
Part-2,D1,b4,0.78,Am-H-2,Acanthaceae,Avicennia,Avicennia marina,Am.high,0.6,2,High,11,4/07/2022,0.0254,0.0077,2.298701299,352.161039,352.161039,13,13,153.2,100,Tree,49.5,54.1,Daintree National Park 3,-16.28,145.45
Part-2,D1,d6,0.801,Am-H-3,Acanthaceae,Avicennia,Avicennia marina,Am.high,0.6,3,High,11,4/07/2022,0.0253,0.0069,2.666666667,366.1333334,366.1333334,33,33,137.3,100,Tree,48.92,53.75,Daintree National Park 3,-16.28,145.45
Part-2,D1,d8,0.771,Am-H-4,Acanthaceae,Avicennia,Avicennia marina,Am.high,0.6,4,High,11,4/07/2022,0.0254,0.008,2.175,346.26,346.26,35,35,159.2,100,Tree,50.16,55.69,Daintree National Park 3,-16.28,145.45
Part-2,D1,e6,0.812,Am-H-5,Acanthaceae,Avicennia,Avicennia marina,Am.high,0.6,5,High,11,4/07/2022,0.0219,0.0069,2.173913043,298.4782608,298.4782608,42,42,137.3,100,Tree,47.97,53.3,Daintree National Park 3,-16.28,145.45
Part-2,D1,c9,0.809,Am-L-1,Acanthaceae,Avicennia,Avicennia marina,Am.low,6.35,1,Low,6,4/07/2022,0.0247,0.0074,2.337837838,344.1297298,344.1297298,27,27,147.2,100,Tree,44.85,53.95,Daintree National Park 4,-16.29,145.41
Part-2,D1,e3,0.813,Am-L-2,Acanthaceae,Avicennia,Avicennia marina,Am.low,6.35,2,Low,6,4/07/2022,0.0223,0.0076,1.934210526,292.4526315,292.4526315,39,39,151.2,100,Tree,46.97,53.8,Daintree National Park 4,-16.29,145.41
