site text,latitude,longitude,soil total P (ppm),soil total N %,soil total C %,cation exchance capacity (meq/kg)
syd_hiP,-33.57888889,151.2922222,442.3,0.256,5.91,55.6
syd_loP,-33.69388889,151.1430556,93.6,0.03,0.95,9
wnsw_hiP,-32.96666667,146.1547222,250.4,0.071,1.2,65.8
wnsw_loP,-32.97638889,146.1458333,132.4,0.031,0.67,38.7
