,Species,Vcmax
1,Acacia longifolia,56.4672483
2,Allocasuarina littoralis ,48.733623
3,Angophola hispida,42.11653575
4,Banksia oblongifolia,81.20652968
5,Banksia serrata,78.15680035
6,Banksia spinulosa,55.18185028
7,Dodonaea triquetra,63.48775652
8,Eucalyptus haemastoma,74.60068445
9,Hakea sericea,34.94316399
10,Lambertia formosa,72.89334507
11,Leptospermum trinervium ,71.24385318
12,Pittosporum undulatum,40.6319696
