Species,Leaf N %,SLA (cm2g),site
Archidendron kanisii,2.2,181,daintree_creek_edge_71
Archidendron whitei,2.8,230,daintree_flats_above_creek_71
Gardenia actinocarpa,1.5,223,daintree_creek_edge_71
Gardenia ovularis,1.5,168,daintree_creek_edge_71
Xanthostemon formosus,1.1,159,daintree_creek_edge_71
Xanthostemon chrysanthus,1.1,130,daintree_creek_edge_71
