species_name,SITE_ID,area leaf mm2,C:N ratio leaf ratio,carbon content leaf % dry weight,force of fracture N,lamina thickness mm,nitrogen content leaf % dry weight,SLA cm2/g,toughness leaf Nm-1,water content leaf %,veg,%Lignin,%Hemicell,%Cellulose,%Holocellulose,Lignin (g cm-2),mf_holo,mf_lignin,mf_hemi,mf_cellu,totStrucPoly,lgSLA,lgH2O,lgthick,lgsize,lgFF,lgTough,lgLignin,lgHemiC,lgCellulose,lgHoloC,lgLignin_a
Acacia floribunda,Dyke KCNP,182.7,16.51,46.4,0.27,0.29,2.8,99.5,962,43.2,Wet,20.5,9,13.1,22.1,0.0021,0.52,0.48,0.21,0.31,42.6,1.998,1.635,-0.538,2.262,-0.569,2.969,1.312,0.954,1.117,1.344,-2.686
Acacia suaveolens,Bundeena Road Royal NP,305,35.89,49.7,1.06,0.6,1.4,38.6,1709,57.5,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia suaveolens,Challenger Track KCNP,335,61.4,50.9,1.2,0.6,0.9,42.4,1874,43,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia suaveolens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,21.2,8.2,14.6,22.8,0.0052,0.52,0.48,0.19,0.33,44,1.607,1.633,-0.222,2.505,0.053,3.275,1.326,0.914,1.164,1.358,-2.281
Acmena smithii,Bola Creek Royal NP,3734,40.21,49.4,0.4,0.3,1.2,143.9,1672,63.1,Wet,17.4,12.3,22.2,34.5,0.0012,0.66,0.34,0.24,0.43,51.9,2.158,1.8,-0.523,3.572,-0.398,3.125,1.241,1.09,1.346,1.538,-2.918
Allocasuarina distyla,Bundeena Road Royal NP,395,72.01,48.5,2.4,1.5,0.69,18,1654,37.6,Dry,19,12.6,28.5,41.1,0.0106,0.68,0.32,0.21,0.47,60.1,1.255,1.575,0.176,2.597,0.38,3.204,1.279,1.1,1.455,1.614,-1.977
Allocasuarina torulosa,Dyke KCNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wet,15.9,11.6,25.2,36.8,NA,0.7,0.3,0.22,0.48,52.7,NA,NA,NA,NA,NA,NA,1.201,1.064,1.401,1.566,NA
Angophora hispida,Bundeena Road Royal NP,3004,49.5,49.7,2.1,0.49,1.2,38.9,4270,43.8,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angophora hispida,Challenger Track KCNP,2904,67.4,49.2,2,0.4,0.7,46,4733,42.4,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angophora hispida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,20.4,12.3,16.3,28.6,0.0048,0.58,0.42,0.25,0.33,49,1.628,1.634,-0.352,3.47,0.312,3.663,1.31,1.09,1.212,1.456,-2.318
Banksia serrata,Bundeena Road Royal NP,1829,83.7,50,2.1,0.5,0.6,39.8,4329,45.1,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
