trait_name,find,replace
habitat,low woodland,low_woodland
habitat,mosaic,NA
habitat,rock outcrops,rock_outcrops
habitat,shrub heath,scrub_heath
habitat,succulent steppe,saltbush
reproductive_maturity,?,NA
resprouting_capacity,?,NA
resprouting_capacity,os,fire_killed
resprouting_capacity,os/rs bs,partial_resprouting
resprouting_capacity,os/rs ep,partial_resprouting
resprouting_capacity,os/rs ep?,partial_resprouting
resprouting_capacity,os/rs?,partial_resprouting
resprouting_capacity,os/ss,fire_killed
resprouting_capacity,os?,fire_killed
resprouting_capacity,os?/rs bs,partial_resprouting
resprouting_capacity,rs bs,resprouts
resprouting_capacity,rs bs/ss,partial_resprouting
resprouting_capacity,rs bs/ss?,partial_resprouting
resprouting_capacity,rs bs?,resprouts
resprouting_capacity,rs ep,resprouts
resprouting_capacity,rs?,resprouts
resprouting_capacity,s?,fire_killed
resprouting_capacity,ss,fire_killed
resprouting_capacity,ss/rs bs,partial_resprouting
resprouting_capacity,ss?,fire_killed
seedbank_location,?,NA
seedbank_location,os,canopy_seedbank
seedbank_location,os/rs bs,canopy_seedbank
seedbank_location,os/rs ep,canopy_seedbank
seedbank_location,os/rs ep?,canopy_seedbank
seedbank_location,os/rs?,canopy_seedbank
seedbank_location,os/ss,soil_seedbank canopy_seedbank
seedbank_location,os?,canopy_seedbank
seedbank_location,os?/rs bs,canopy_seedbank
seedbank_location,rs bs,NA
seedbank_location,rs bs/ss,soil_seedbank
seedbank_location,rs bs/ss?,soil_seedbank
seedbank_location,rs bs?,NA
seedbank_location,rs ep,NA
seedbank_location,rs?,NA
seedbank_location,s?,soil_seedbank
seedbank_location,ss,soil_seedbank
seedbank_location,ss/rs bs,soil_seedbank
seedbank_location,ss?,soil_seedbank
post_fire_recruitment,?,NA
post_fire_recruitment,os,post_fire_recruitment
post_fire_recruitment,os/rs bs,post_fire_recruitment
post_fire_recruitment,os/rs ep,post_fire_recruitment
post_fire_recruitment,os/rs ep?,post_fire_recruitment
post_fire_recruitment,os/rs?,post_fire_recruitment
post_fire_recruitment,os/ss,post_fire_recruitment
post_fire_recruitment,os?,post_fire_recruitment
post_fire_recruitment,os?/rs bs,post_fire_recruitment
post_fire_recruitment,rs bs,NA
post_fire_recruitment,rs bs/ss,post_fire_recruitment
post_fire_recruitment,rs bs/ss?,post_fire_recruitment
post_fire_recruitment,rs bs?,NA
post_fire_recruitment,rs ep,NA
post_fire_recruitment,rs?,NA
post_fire_recruitment,s?,post_fire_recruitment
post_fire_recruitment,ss,post_fire_recruitment
post_fire_recruitment,ss/rs bs,post_fire_recruitment
post_fire_recruitment,ss?,post_fire_recruitment
bud_bank_location,?,NA
bud_bank_location,os,NA
bud_bank_location,os/rs bs,basal_buds
bud_bank_location,os/rs ep,epicormic_buds
bud_bank_location,os/rs ep?,epicormic_buds
bud_bank_location,os/rs?,NA
bud_bank_location,os/ss,NA
bud_bank_location,os?,NA
bud_bank_location,os?/rs bs,basal_buds
bud_bank_location,rs bs,basal_buds
bud_bank_location,rs bs/ss,basal_buds
bud_bank_location,rs bs/ss?,basal_buds
bud_bank_location,rs bs?,basal_buds
bud_bank_location,rs ep,epicormic_buds
bud_bank_location,rs?,NA
bud_bank_location,s?,NA
bud_bank_location,ss,NA
bud_bank_location,ss/rs bs,basal_buds
bud_bank_location,ss?,NA

