error,dataset_id,taxon_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Duplicate of Barlow_1981_0014,Kooyman_2011,Adenanthera pavonina,NA,NA,Kooyman_2011_1494,leaf_compoundness,compound,NA,NA,expert_mean,NA,Adenanthera pavonina
Duplicate of Barlow_1981_0014,Kooyman_2011,Adenanthera pavonina,NA,NA,Kooyman_2011_1494,leaf_length,15,mm,NA,expert_min,NA,Adenanthera pavonina
Duplicate of Barlow_1981_0014,Kooyman_2011,Adenanthera pavonina,NA,NA,Kooyman_2011_1494,plant_growth_form,tree,NA,NA,expert_mean,NA,Adenanthera pavonina
Duplicate of Barlow_1981_0059,Kooyman_2011,Agastachys odorata,NA,NA,Kooyman_2011_1853,leaf_compoundness,simple,NA,NA,expert_mean,NA,Agastachys odorata
Duplicate of Barlow_1981_0060,Kooyman_2011,Agathis atropurpurea,NA,NA,Kooyman_2011_0065,leaf_compoundness,simple,NA,NA,expert_mean,NA,Agathis atropurpurea
Duplicate of Barlow_1981_0060,Kooyman_2011,Agathis atropurpurea,NA,NA,Kooyman_2011_0065,leaf_length,30,mm,NA,expert_min,NA,Agathis atropurpurea
Duplicate of Barlow_1981_0060,Kooyman_2011,Agathis atropurpurea,NA,NA,Kooyman_2011_0065,leaf_length,70,mm,NA,expert_max,NA,Agathis atropurpurea
Duplicate of Barlow_1981_0060,Kooyman_2011,Agathis atropurpurea,NA,NA,Kooyman_2011_0065,leaf_width,5,mm,NA,expert_min,NA,Agathis atropurpurea
Duplicate of Barlow_1981_0060,Kooyman_2011,Agathis atropurpurea,NA,NA,Kooyman_2011_0065,plant_growth_form,tree,NA,NA,expert_mean,NA,Agathis atropurpurea
Duplicate of Barlow_1981_0060,Kooyman_2011,Agathis atropurpurea,NA,NA,Kooyman_2011_0065,plant_height,50,m,NA,expert_max,NA,Agathis atropurpurea
