name original,growth form,flowering duration,maximum height (m),dispersal mode,seritony,plant longevity,plant_height_duplicate,maximum height (m)_filtered
Dioscorea transversa,Climber,Sep - Oct,NA,anemochory,NA,NA,NA,NA
Glycine clandestina,climber,All year,NA,NA,no,NA,NA,NA
Cissus hypoglauca,climber,Nov - Dec,NA,NA,no,NA,NA,NA
Desmodium brachypodum,climber,NA,0.05,NA,no,NA,NA,0.05
Desmodium varians,climber,Dec - Feb,0.1,NA,no,NA,NA,0.1
Comesperma volubile,climber,Aug - Nov,NA,anemochory,no,NA,NA,NA
Clematis glycinoides,climber,Aug - Oct,NA,anemochory,no,NA,NA,NA
Clematis aristata,climber,Oct - Nov,NA,anemochory,no,NA,NA,NA
Tylophora barbata,climber,Aug - Dec,NA,anemochory,NA,NA,NA,NA
Cissus antarctica,climber,Dec - Jan,NA,endozoochory,no,NA,NA,NA
Stephania japonica,climber,Dec - Jan,NA,endozoochory,no,NA,NA,NA
Cayratia clematidea,climber,Jan - Feb,NA,endozoochory,no,NA,NA,NA
Palmeria scandens,climber,Jun - Aug,NA,endozoochory,no,NA,NA,NA
Sarcopetalum harveyanum,climber,Oct - Dec,NA,endozoochory,no,NA,NA,NA
Passiflora herbertiana,climber,Oct -Dec,NA,endozoochory,no,NA,NA,NA
Billardiera scandens,climber,Sep - Dec,NA,endozoochory,no,NA,NA,NA
Morinda jasminoides,Climber,Nov - Dec,NA,endozoochory,NA,NA,NA,NA
Geitonoplesium cymosum,Climber,Oct - Dec,NA,endozoochory,NA,NA,NA,NA
Eustrephus latifolius,Climber,Oct - Nov,NA,endozoochory,NA,NA,NA,NA
Desmodium rhytidophyllum,climber,Dec - Feb,0.05,exo-zoochory,no,NA,NA,0.05
Kennedia rubicunda,climber,Jul - Nov,NA,myrmecochory,no,NA,NA,NA
Hardenbergia violacea,climber,Jul - Oct,NA,myrmecochory,no,NA,NA,NA
Dendrobium speciosum,Epiphyte,Aug - Sep,0.4,NA,NA,NA,NA,0.4
Bulbophyllum exiguum,Epiphyte,Mar - May,0.1,NA,NA,NA,NA,0.1
Liparis reflexa,Epiphyte,Mar - May,0.2,NA,NA,NA,NA,0.2
Sarcochilus hillii,Epiphyte,Oct - Feb,0.1,NA,NA,NA,NA,0.1
Dendrobium pugioniforme,Epiphyte,Oct - Nov,0.3,NA,NA,NA,NA,0.3
Plectorrhiza tridentata,Epiphyte,Sep - Dec,0.1,NA,NA,NA,NA,0.1
Sarcochilus falcatus,Epiphyte,Sep - Nov,0.15,NA,NA,NA,NA,0.15
Dendrobium linguiforme,Epiphyte,Sep - Oct,0.2,NA,NA,NA,NA,0.2
Dendrobium aemulum,Epiphyte,Sep - Oct,0.3,NA,NA,NA,NA,0.3
Posidonia australis,Floater,NA,NA,NA,NA,NA,NA,NA
Zostera capricorni,Floater,NA,NA,NA,NA,NA,NA,NA
Vallisneria gigantea,Floater,Feb - Apr,NA,NA,NA,NA,NA,NA
Restio complanatus,Graminoid,Nov - Dec,0.7,NA,NA,NA,NA,0.7
Restio gracilis,Graminoid,Sep - Dec,0.7,NA,NA,NA,NA,0.7
Restio tetraphyllus,Graminoid,Sep - Nov,1,NA,NA,NA,NA,1
Lomandra glauca,Graminoid,Jul - Oct,0.2,myrmecochory,NA,NA,NA,0.2
Stypandra umbellata,Graminoid,Aug - Oct,0.3,NA,NA,NA,NA,0.3
Blandfordia nobilis,Graminoid,Dec - Feb,0.6,NA,NA,NA,NA,0.6
Blandfordia grandiflora,Graminoid,Dec - Jan,0.5,NA,NA,NA,NA,0.5
Lepyrodia scariosa,Graminoid,Jan - Feb,1,NA,NA,NA,NA,1
Leptocarpus tenax,Graminoid,Oct - Dec,1,NA,NA,NA,Duplicate of WAH_1998_3738,NA
Sowerbaea juncea,Graminoid,Oct - Nov,0.4,NA,NA,NA,NA,0.4
Juncus bufonius,Graminoid,NA,0.1,NA,NA,annual,NA,0.1
Lomandra micrantha,Graminoid,Apr - Jun,0.3,NA,NA,NA,NA,0.3
Xyris operculata,Graminoid,Aug - Nov,0.6,NA,NA,NA,NA,0.6
Arthropodium minus,Graminoid,Nov - Dec,0.2,NA,NA,NA,NA,0.2
Xyris juncea,Graminoid,Nov - Dec,0.2,NA,NA,NA,NA,0.2
Juncus krausii,Graminoid,Nov - Feb,1,NA,NA,NA,NA,1
Haemodorum planifolium,Graminoid,Nov - Jan,0.4,NA,NA,NA,NA,0.4
Xyris gracilis,Graminoid,Nov - Jan,0.6,NA,NA,NA,NA,0.6
Juncus planifolius,Graminoid,Nov - Mar,0.4,NA,NA,NA,NA,0.4
Lomandra brevis,Graminoid,Sep - Dec,0.15,NA,NA,NA,NA,0.15
Tricoryne simplex,Graminoid,Sep - Dec,0.3,NA,NA,NA,NA,0.3
Hypolaena fastigiata,Graminoid,Sep - Dec,0.8,NA,NA,NA,NA,0.8
Juncus usitatus,Graminoid,Sep - Jan,1,NA,NA,NA,NA,1
Burchardia umbellata,Graminoid,Sep - Nov,0.35,NA,NA,NA,NA,0.35
Empodisma minus,Graminoid,Sep - Nov,0.5,NA,NA,NA,NA,0.5
Libertia paniculata,Graminoid,Sep - Oct,0.6,NA,NA,NA,NA,0.6
Juncus polyanthemus,Graminoid,Summer,0.8,NA,NA,NA,NA,0.8
Haemodorum corymbosum,Graminoid,Nov - Jan,0.5,anemochory,NA,NA,NA,0.5
Dianella laevis,Graminoid,Oct - Dec,0.6,endozoochory,NA,NA,NA,0.6
Dianella caerulea,Graminoid,Oct - Feb,0.5,endozoochory,NA,NA,Duplicate of Barlow_1981_1151,NA
Dianella revoluta,Graminoid,Oct - Jan,0.6,endozoochory,NA,NA,NA,0.6
Dianella tasmanica,Graminoid,Summer,0.6,endozoochory,NA,NA,NA,0.6
Lomandra longifolia,Graminoid,Aug - Dec,0.8,myrmecochory,NA,NA,NA,0.8
Patersonia sericea,Graminoid,Jul - Dec,0.4,myrmecochory,NA,NA,NA,0.4
Lomandra confertifolia,Graminoid,Jul - Nov,0.4,myrmecochory,NA,NA,NA,0.4
Caesia vittata,Graminoid,Nov - Dec,0.3,myrmecochory,NA,NA,NA,0.3
Lomandra filiformis,Graminoid,Oct - Dec,0.3,myrmecochory,NA,NA,NA,0.3
Thysanotus juncifolius,Graminoid,Oct - Dec,0.4,myrmecochory,NA,NA,NA,0.4
Thysanotus tuberosus,Graminoid,Oct - Dec,0.4,myrmecochory,NA,NA,NA,0.4
Schelhammera undulata,Graminoid,Oct - Nov,0.2,myrmecochory,NA,NA,Duplicate of Barlow_1981_3826,NA
Restio dimorphus,Graminoid,Sep - Dec,0.5,myrmecochory,NA,NA,NA,0.5
Lomandra cylindrica,Graminoid,Sep - Dec,0.6,myrmecochory,NA,NA,NA,0.6
Restio fastigiatus,Graminoid,Sep - Dec,0.7,myrmecochory,NA,NA,NA,0.7
Lomandra multiflora,Graminoid,Sep - Jan,0.3,myrmecochory,NA,NA,NA,0.3
Lomandra obliqua,Graminoid,Sep - Nov,0.3,myrmecochory,NA,NA,NA,0.3
Patersonia glabrata,Graminoid,Sep - Nov,0.3,myrmecochory,NA,NA,Duplicate of Barlow_1981_3217,NA
Lomandra gracilis,Graminoid,Sep - Oct,0.6,myrmecochory,NA,NA,NA,0.6
Patersonia sericea  var,Graminoid,Oct - Dec,0.3,NA,NA,NA,NA,0.3
Sorghum leiocladum,Grass,Summer,1,NA,NA,NA,NA,1
Eragrostis brownii,Grass,Summer,0.4,NA,NA,NA,NA,0.4
Agrostis avenacea,Grass,Oct - Dec,0.7,NA,NA,annual,NA,0.7
Echinopogon caespitosus,Grass,Nov - Jan,0.6,NA,NA,NA,NA,0.6
Entolasia stricta,Grass,Oct - Mar,0.4,NA,NA,NA,NA,0.4
Anisopogon avenaceus,Grass,Oct - Nov,0.5,NA,NA,NA,NA,0.5
Sporobolus virginicus,Grass,Spring - Summer,0.2,NA,NA,NA,NA,0.2
Panicum effusum,Grass,Spring - Summer,0.5,NA,NA,NA,NA,0.5
Entolasia marginata,Grass,Spring - Summer,0.6,NA,NA,NA,Duplicate of GrassBase_2014_0427,NA
Microlaena stipoides,Grass,Summer,0.3,NA,NA,NA,Duplicate of GrassBase_2014_0678,NA
Paspalidium radiatum,Grass,Summer,0.3,NA,NA,NA,Duplicate of GrassBase_2014_0751,NA
Panicum simile,Grass,Summer,0.4,NA,NA,NA,NA,0.4
Oplismenus aemulus,Grass,Summer - Autumn,0.1,NA,NA,NA,NA,0.1
Oplismenus imbecillus,Grass,Summer - Autumn,0.2,NA,NA,NA,NA,0.2
Pennisetum alopecuroides,Grass,Dec - Mar,1,NA,NA,NA,NA,1
