location_name,location_code,latitude (deg),longitude (deg),description,locality,geology (stratigraphic map unit),soil_type,"precipitation, MAP (mm)",notes
Nicholson Road,NR,,,urban bushland reserve,"Bush Forever site 456, Perth, Western Australia",Bassendean sand,leached siliceous sands,816,"Rainfall is the paper's single stated value for the near-coast sites (NR, KH, FR), not measured per-site. Coordinates not printed in text -- shown only as an unlabelled point on the regional map (Fig. 2); not estimated from the map. 'Nicholson Road' is a named, identifiable place in Perth WA a curator could geocode; that would not be a value from the source."
Ken Hurst Reserve,KH,,,urban bushland reserve,"~5 km southwest of Nicholson Road (NR), Perth, Western Australia",Bassendean sand,leached siliceous sands,816,Same land system as NR. Rainfall is the paper's single stated value for the near-coast sites. Coordinates not printed in text -- shown only as a map point (Fig. 2).
Forrest Road,FR,,,urban bushland reserve,"~13 km from Nicholson Road (NR), Perth, Western Australia",Spearwood limestone,younger soils over limestone,816,"'Spearwood land system, McArthur and Bettenay 1960' in source. Rainfall is the paper's single stated value for the near-coast sites. Coordinates not printed in text -- shown only as a map point (Fig. 2)."
Mocardy Hill,MH,,,granite outcrop,"~150 km northeast of Perth, Western Australia",granite,"granite outcrop, very shallow soil",390,"Rainfall stated as 'approximately 390 mm' -- approximate, not exact. Coordinates not printed in text -- shown only as a map point (Fig. 2)."
